D:\Documents and Settings\All Users\Documents\Thermo\PolySoft\Projects\JanLDHTEST Dec2015.pmp\JanDec_0000.pld


 ;t [min];Revolution Speed [1/min];Torque [Nm];TM [°C];E [kJ];
1-1;0.007550;49.97;39.80;170.6;0.02359;
1-2;0.02422;49.97;32.80;166.9;0.214;
1-3;0.04088;49.97;30.70;160.4;0.380;
1-4;0.05755;49.97;27.80;156.1;0.533;
1-5;0.07422;49.97;27.10;154.8;0.676;
1-6;0.09088;49.97;24.90;153.6;0.813;
1-7;0.108;49.97;24.60;153.2;0.942;
1-8;0.124;49.97;23.20;153.1;1.067;
1-9;0.141;49.97;22.40;153.2;1.186;
1-10;0.158;49.97;22.40;153.6;1.304;
1-11;0.174;49.97;21.70;153.9;1.419;
1-12;0.191;49.97;21.20;154.7;1.531;
1-13;0.208;49.97;20.50;155.6;1.640;
1-14;0.224;49.97;19.30;156.1;1.745;
1-15;0.241;49.97;18.90;157.1;1.845;
1-16;0.258;49.97;18.40;158.2;1.942;
1-17;0.274;49.97;18.20;158.7;2.038;
1-18;0.291;49.97;17.60;159.8;2.132;
1-19;0.308;49.97;16.90;161.0;2.222;
1-20;0.324;49.97;16.10;161.5;2.308;
1-21;0.341;49.97;15.80;162.6;2.392;
1-22;0.358;49.97;15.70;163.8;2.474;
1-23;0.374;49.97;14.80;164.3;2.554;
1-24;0.391;49.97;14.30;165.4;2.630;
1-25;0.408;49.97;14.10;166.4;2.704;
1-26;0.424;49.97;13.50;166.9;2.777;
1-27;0.441;49.97;12.90;167.9;2.846;
1-28;0.458;49.97;12.60;168.9;2.912;
1-29;0.474;49.97;12.30;169.4;2.978;
1-30;0.491;49.97;12.00;170.3;3.041;
1-31;0.508;49.97;11.40;171.2;3.102;
1-32;0.524;49.97;11.00;171.6;3.161;
1-33;0.541;49.97;10.80;172.5;3.218;
1-34;0.558;49.97;10.50;173.2;3.274;
1-35;0.574;49.97;10.10;173.6;3.328;
1-36;0.591;49.97;10.00;174.3;3.380;
1-37;0.608;49.97;9.800;175.0;3.432;
1-38;0.624;49.97;9.600;175.3;3.483;
1-39;0.641;49.97;9.500;176.0;3.533;
1-40;0.658;49.97;9.200;176.7;3.582;
