D:\Documents and Settings\All Users\Documents\Thermo\PolySoft\Projects\JanLDHTEST Dec2015.pmp\JanDec_0005.pld


 ;t [min];Revolution Speed [1/min];Torque [Nm];TM [°C];E [kJ];
1-1;0.004700;49.97;36.00;173.8;0.01328;
1-2;0.02137;49.97;29.30;163.6;0.184;
1-3;0.03803;49.97;25.40;156.1;0.327;
1-4;0.05470;49.97;24.50;153.4;0.458;
1-5;0.07137;49.97;21.90;150.0;0.579;
1-6;0.08803;49.97;21.80;148.3;0.694;
1-7;0.105;49.97;19.90;147.9;0.803;
1-8;0.121;49.97;20.40;147.7;0.908;
1-9;0.138;49.97;19.20;147.9;1.012;
1-10;0.155;49.97;19.20;148.1;1.112;
1-11;0.171;49.97;18.00;148.5;1.210;
1-12;0.188;49.97;18.20;149.0;1.304;
1-13;0.205;49.97;17.00;149.4;1.396;
1-14;0.221;49.97;17.00;150.4;1.485;
1-15;0.238;49.97;16.80;151.6;1.574;
1-16;0.255;49.97;16.20;152.2;1.660;
1-17;0.271;49.97;16.10;153.5;1.745;
1-18;0.288;49.97;15.30;154.9;1.827;
1-19;0.305;49.97;15.30;155.6;1.907;
1-20;0.321;49.97;14.70;156.9;1.985;
1-21;0.338;49.97;14.40;158.0;2.062;
1-22;0.355;49.97;14.20;158.7;2.136;
1-23;0.371;49.97;13.90;160.1;2.210;
1-24;0.388;49.97;13.70;161.5;2.282;
1-25;0.405;49.97;12.70;162.2;2.351;
1-26;0.421;49.97;12.90;163.5;2.418;
1-27;0.438;49.97;12.40;164.8;2.484;
1-28;0.455;49.97;12.20;165.3;2.549;
1-29;0.471;49.97;11.70;166.4;2.611;
1-30;0.488;49.97;11.60;167.3;2.672;
1-31;0.505;49.97;11.10;167.3;2.732;
1-32;0.521;49.97;10.80;167.8;2.789;
1-33;0.538;49.97;10.70;168.8;2.845;
1-34;0.555;49.97;10.30;170.2;2.900;
1-35;0.571;49.97;10.20;171.1;2.954;
1-36;0.588;49.97;9.800;171.1;3.006;
1-37;0.605;49.97;9.400;171.9;3.056;
1-38;0.621;49.97;9.300;172.3;3.105;
1-39;0.638;49.97;9.000;173.1;3.153;
1-40;0.655;49.97;9.000;173.8;3.200;
1-41;0.671;49.97;8.700;174.1;3.247;
1-42;0.688;49.97;8.800;174.8;3.292;
1-43;0.705;49.97;8.300;175.5;3.337;
1-44;0.721;49.97;8.400;175.8;3.381;
1-45;0.738;49.97;8.100;176.3;3.424;
1-46;0.755;49.97;8.200;177.0;3.467;
1-47;0.771;49.97;8.000;177.3;3.509;
1-48;0.788;49.97;7.900;177.8;3.551;
1-49;0.805;49.97;7.700;178.3;3.592;
1-50;0.821;49.97;7.600;178.5;3.632;
1-51;0.838;49.97;7.600;179.0;3.671;
1-52;0.855;49.97;7.400;179.4;3.711;
1-53;0.871;49.97;7.500;179.6;3.750;
1-54;0.888;49.97;7.300;180.0;3.788;
1-55;0.905;49.97;7.200;180.4;3.826;
1-56;0.921;49.97;7.200;180.6;3.864;
1-57;0.938;49.97;7.100;180.9;3.901;
1-58;0.955;49.97;7.200;181.3;3.939;
1-59;0.971;49.97;7.000;181.5;3.976;
1-60;0.988;49.97;7.100;181.8;4.013;
1-61;1.005;49.97;6.800;182.1;4.049;
1-62;1.021;49.97;7.000;182.3;4.085;
1-63;1.038;49.97;6.700;182.6;4.121;
1-64;1.055;49.97;6.800;182.9;4.156;
1-65;1.071;49.97;6.700;183.1;4.192;
1-66;1.088;49.97;6.700;183.4;4.227;
1-67;1.105;49.97;6.600;183.6;4.262;
1-68;1.121;49.97;6.500;183.7;4.296;
1-69;1.138;49.97;6.600;184.0;4.330;
1-70;1.155;49.97;6.400;184.3;4.364;
1-71;1.171;49.97;6.500;184.5;4.398;
1-72;1.188;49.97;6.400;184.7;4.432;
1-73;1.205;49.97;6.500;184.9;4.466;
1-74;1.221;49.97;6.400;185.0;4.499;
1-75;1.238;49.97;6.300;185.3;4.532;
1-76;1.255;49.97;6.300;185.5;4.565;
1-77;1.271;49.97;6.200;185.6;4.598;
1-78;1.288;49.97;6.300;185.8;4.631;
1-79;1.305;49.97;6.100;186.0;4.663;
1-80;1.321;49.97;6.300;186.1;4.696;
1-81;1.338;49.97;6.100;186.3;4.728;
1-82;1.355;49.97;6.100;186.5;4.760;
1-83;1.371;49.97;6.100;186.5;4.792;
1-84;1.388;49.97;6.100;186.7;4.824;
1-85;1.405;49.97;6.100;186.9;4.856;
1-86;1.421;49.97;5.900;187.0;4.887;
1-87;1.438;49.97;6.000;187.1;4.918;
1-88;1.455;49.97;5.900;187.3;4.950;
1-89;1.471;49.97;6.000;187.4;4.981;
1-90;1.488;49.97;5.900;187.5;5.012;
1-91;1.505;49.97;5.900;187.7;5.043;
1-92;1.521;49.97;5.800;187.8;5.073;
1-93;1.538;49.97;5.800;187.9;5.104;
1-94;1.555;49.97;5.800;188.1;5.134;
1-95;1.571;49.97;5.700;188.2;5.164;
1-96;1.588;49.97;5.800;188.3;5.194;
1-97;1.605;49.97;5.700;188.5;5.224;
1-98;1.621;49.97;5.800;188.6;5.254;
1-99;1.638;49.97;5.700;188.7;5.285;
1-100;1.655;49.97;5.600;188.8;5.314;
1-101;1.671;49.97;5.700;189.0;5.344;
1-102;1.688;49.97;5.600;189.1;5.373;
1-103;1.705;49.97;5.700;189.2;5.403;
1-104;1.721;49.97;5.500;189.3;5.432;
1-105;1.738;49.97;5.700;189.4;5.461;
1-106;1.755;49.97;5.500;189.5;5.491;
1-107;1.771;49.97;5.600;189.6;5.520;
1-108;1.788;49.97;5.500;189.7;5.549;
1-109;1.805;49.97;5.500;189.9;5.578;
1-110;1.821;49.97;5.500;190.0;5.606;
1-111;1.838;49.97;5.400;190.0;5.635;
1-112;1.855;49.97;5.500;190.2;5.663;
1-113;1.871;49.97;5.400;190.3;5.692;
1-114;1.888;49.97;5.400;190.4;5.720;
1-115;1.905;49.97;5.300;190.5;5.748;
1-116;1.921;49.97;5.400;190.6;5.776;
1-117;1.938;49.97;5.300;190.6;5.804;
1-118;1.955;49.97;5.300;190.8;5.832;
1-119;1.971;49.97;5.300;190.9;5.860;
1-120;1.988;49.97;5.300;191.0;5.887;
1-121;2.005;49.97;5.400;191.1;5.915;
1-122;2.021;49.97;5.100;191.2;5.943;
1-123;2.038;49.97;5.300;191.3;5.970;
1-124;2.055;49.97;5.100;191.4;5.997;
1-125;2.071;49.97;5.200;191.5;6.024;
1-126;2.088;49.97;5.100;191.6;6.051;
1-127;2.105;49.97;5.200;191.7;6.078;
1-128;2.121;49.97;5.200;191.8;6.105;
1-129;2.138;49.97;5.100;191.9;6.132;
1-130;2.155;49.97;5.100;192.0;6.159;
1-131;2.171;49.97;5.100;192.1;6.186;
1-132;2.188;49.97;5.100;192.1;6.212;
1-133;2.205;49.97;5.000;192.2;6.239;
1-134;2.221;49.97;5.100;192.3;6.265;
1-135;2.238;49.97;5.000;192.4;6.292;
1-136;2.255;49.97;5.000;192.5;6.318;
1-137;2.271;49.97;5.000;192.6;6.344;
1-138;2.288;49.97;5.000;192.7;6.370;
1-139;2.305;49.97;5.000;192.8;6.396;
1-140;2.321;49.97;4.900;192.8;6.422;
1-141;2.338;49.97;5.000;192.9;6.448;
1-142;2.355;49.97;4.900;193.0;6.474;
1-143;2.371;49.97;5.000;193.1;6.500;
1-144;2.388;49.97;4.900;193.2;6.526;
1-145;2.405;49.97;4.900;193.3;6.551;
1-146;2.421;49.97;4.900;193.4;6.577;
1-147;2.438;49.97;4.800;193.5;6.603;
1-148;2.455;49.97;4.800;193.6;6.628;
1-149;2.471;49.97;4.800;193.6;6.653;
1-150;2.488;49.97;4.900;193.7;6.678;
1-151;2.505;49.97;4.800;193.8;6.704;
1-152;2.521;49.97;4.800;193.9;6.729;
1-153;2.538;49.97;4.800;193.9;6.754;
1-154;2.555;49.97;4.700;194.0;6.779;
1-155;2.571;49.97;4.800;194.2;6.803;
1-156;2.588;49.97;4.700;194.2;6.828;
1-157;2.605;49.97;4.800;194.3;6.853;
1-158;2.621;49.97;4.700;194.4;6.878;
1-159;2.638;49.97;4.800;194.4;6.903;
1-160;2.655;49.97;4.600;194.5;6.928;
1-161;2.671;49.97;4.700;194.6;6.952;
1-162;2.688;49.97;4.700;194.7;6.976;
1-163;2.705;49.97;4.700;194.8;7.001;
1-164;2.721;49.97;4.700;194.8;7.026;
1-165;2.738;49.97;4.700;194.9;7.051;
1-166;2.755;49.97;4.700;195.0;7.075;
1-167;2.772;49.97;4.600;195.1;7.100;
1-168;2.788;49.97;4.700;195.2;7.124;
1-169;2.805;49.97;4.600;195.2;7.148;
1-170;2.822;49.97;4.600;195.3;7.172;
1-171;2.838;49.97;4.600;195.4;7.196;
1-172;2.855;49.97;4.600;195.5;7.220;
1-173;2.872;49.97;4.600;195.5;7.244;
1-174;2.888;49.97;4.500;195.6;7.268;
1-175;2.905;49.97;4.600;195.7;7.292;
1-176;2.922;49.97;4.500;195.8;7.316;
1-177;2.938;49.97;4.600;195.8;7.340;
1-178;2.955;49.97;4.500;195.9;7.364;
1-179;2.972;49.97;4.500;196.0;7.387;
1-180;2.988;49.97;4.500;196.0;7.411;
1-181;3.005;49.97;4.500;196.1;7.434;
1-182;3.022;49.97;4.500;196.2;7.458;
1-183;3.038;49.97;4.400;196.2;7.481;
1-184;3.055;49.97;4.500;196.3;7.504;
1-185;3.072;49.97;4.400;196.4;7.528;
1-186;3.088;49.97;4.500;196.4;7.551;
1-187;3.105;49.97;4.400;196.5;7.574;
1-188;3.122;49.97;4.500;196.6;7.597;
1-189;3.138;49.97;4.400;196.6;7.621;
1-190;3.155;49.97;4.400;196.7;7.644;
1-191;3.172;49.97;4.400;196.8;7.667;
1-192;3.188;49.97;4.400;196.8;7.690;
1-193;3.205;49.97;4.400;196.9;7.713;
1-194;3.222;49.97;4.400;197.0;7.736;
1-195;3.238;49.97;4.400;197.0;7.759;
1-196;3.255;49.97;4.300;197.1;7.782;
1-197;3.272;49.97;4.400;197.2;7.804;
1-198;3.288;49.97;4.400;197.2;7.827;
1-199;3.305;49.97;4.400;197.3;7.850;
1-200;3.322;49.97;4.400;197.4;7.874;
1-201;3.338;49.97;4.300;197.4;7.896;
1-202;3.355;49.97;4.300;197.5;7.919;
1-203;3.372;49.97;4.200;197.5;7.941;
1-204;3.388;49.97;4.300;197.6;7.963;
1-205;3.405;49.97;4.200;197.6;7.986;
1-206;3.422;49.97;4.200;197.7;8.007;
1-207;3.438;49.97;4.200;197.7;8.029;
1-208;3.455;49.97;4.200;197.8;8.051;
1-209;3.472;49.97;4.200;197.9;8.073;
1-210;3.488;49.97;4.200;197.9;8.095;
1-211;3.505;49.97;4.200;198.0;8.117;
1-212;3.522;49.97;4.200;198.0;8.139;
1-213;3.538;49.97;4.200;198.0;8.161;
1-214;3.555;49.97;4.100;198.1;8.183;
1-215;3.572;49.97;4.200;198.2;8.205;
1-216;3.588;49.97;4.200;198.2;8.227;
1-217;3.605;49.97;4.200;198.3;8.249;
1-218;3.622;49.97;4.200;198.4;8.271;
1-219;3.638;49.97;4.100;198.4;8.292;
1-220;3.655;49.97;4.200;198.5;8.314;
1-221;3.672;49.97;4.100;198.6;8.336;
1-222;3.688;49.97;4.200;198.6;8.358;
1-223;3.705;49.97;4.100;198.6;8.379;
1-224;3.722;49.97;4.200;198.7;8.401;
1-225;3.738;49.97;4.100;198.7;8.423;
1-226;3.755;49.97;4.100;198.8;8.444;
1-227;3.772;49.97;4.100;198.9;8.466;
1-228;3.788;49.97;4.100;198.9;8.487;
1-229;3.805;49.97;4.100;199.0;8.509;
1-230;3.822;49.97;4.100;199.0;8.530;
1-231;3.838;49.97;4.100;199.0;8.551;
1-232;3.855;49.97;4.000;199.1;8.573;
1-233;3.872;49.97;4.100;199.2;8.594;
1-234;3.888;49.97;4.100;199.2;8.615;
1-235;3.905;49.97;4.100;199.2;8.637;
1-236;3.922;49.97;4.100;199.3;8.658;
1-237;3.938;49.97;4.000;199.3;8.679;
1-238;3.955;49.97;4.100;199.4;8.701;
1-239;3.972;49.97;4.000;199.4;8.722;
1-240;3.988;49.97;4.100;199.5;8.743;
1-241;4.005;49.97;4.000;199.5;8.764;
1-242;4.022;49.97;4.000;199.6;8.785;
1-243;4.038;49.97;4.000;199.6;8.806;
1-244;4.055;49.97;4.000;199.6;8.827;
1-245;4.072;49.97;4.000;199.7;8.848;
1-246;4.088;49.97;4.000;199.7;8.869;
1-247;4.105;49.97;4.100;199.8;8.890;
1-248;4.122;49.97;4.000;199.8;8.911;
