D:\Documents and Settings\All Users\Documents\Thermo\PolySoft\Projects\JanLDHTEST Dec2015.pmp\JanDec_0003.pld


 ;t [min];Revolution Speed [1/min];Torque [Nm];TM [°C];E [kJ];
1-1;0.01277;49.97;23.10;169.5;0.02315;
1-2;0.02943;49.97;23.90;167.7;0.146;
1-3;0.04610;49.97;22.50;160.2;0.268;
1-4;0.06277;49.97;19.70;156.6;0.378;
1-5;0.07943;49.97;19.90;151.6;0.482;
1-6;0.09610;49.97;18.60;148.8;0.582;
1-7;0.113;49.97;18.50;148.0;0.679;
1-8;0.129;49.97;17.10;146.8;0.773;
1-9;0.146;49.97;17.20;147.0;0.862;
1-10;0.163;49.97;15.80;147.6;0.949;
1-11;0.179;49.97;16.00;148.0;1.032;
1-12;0.196;49.97;15.80;148.8;1.115;
1-13;0.213;49.97;15.20;149.8;1.196;
1-14;0.229;49.97;14.90;150.4;1.275;
1-15;0.246;49.97;14.30;151.6;1.351;
1-16;0.263;49.97;14.30;152.9;1.426;
1-17;0.279;49.97;14.00;153.5;1.500;
1-18;0.296;49.97;14.00;154.8;1.574;
1-19;0.313;49.97;13.30;156.2;1.645;
1-20;0.329;49.97;13.40;156.8;1.715;
1-21;0.346;49.97;13.40;158.3;1.785;
1-22;0.363;49.97;12.50;159.6;1.853;
1-23;0.379;49.97;12.80;160.3;1.919;
1-24;0.396;49.97;12.10;161.6;1.984;
1-25;0.413;49.97;12.30;162.9;2.048;
1-26;0.429;49.97;11.50;163.4;2.110;
1-27;0.446;49.97;11.70;164.5;2.171;
1-28;0.463;49.97;10.80;165.7;2.230;
1-29;0.479;49.97;11.10;166.2;2.287;
1-30;0.496;49.97;10.70;167.2;2.344;
1-31;0.513;49.97;10.40;168.2;2.399;
1-32;0.529;49.97;10.10;168.7;2.453;
1-33;0.546;49.97;9.900;169.7;2.505;
1-34;0.563;49.97;9.800;170.5;2.557;
1-35;0.579;49.97;9.400;170.9;2.607;
1-36;0.596;49.97;9.300;171.7;2.656;
1-37;0.613;49.97;9.000;172.5;2.704;
1-38;0.629;49.97;9.000;172.9;2.751;
1-39;0.646;49.97;8.700;173.6;2.797;
1-40;0.663;49.97;8.600;174.3;2.843;
1-41;0.679;49.97;8.600;174.6;2.888;
1-42;0.696;49.97;8.200;175.1;2.932;
1-43;0.713;49.97;8.300;175.7;2.975;
1-44;0.729;49.97;8.000;176.1;3.017;
1-45;0.746;49.97;8.100;176.6;3.060;
1-46;0.763;49.97;7.700;177.1;3.101;
1-47;0.779;49.97;7.800;177.3;3.141;
1-48;0.796;49.97;7.600;177.8;3.182;
1-49;0.813;49.97;7.600;178.2;3.221;
1-50;0.829;49.97;7.600;178.4;3.261;
1-51;0.846;49.97;7.400;178.9;3.300;
1-52;0.863;49.97;7.400;179.2;3.339;
1-53;0.879;49.97;7.300;179.4;3.378;
1-54;0.896;49.97;7.200;179.8;3.416;
1-55;0.913;49.97;7.200;180.1;3.453;
1-56;0.929;49.97;7.200;180.3;3.491;
1-57;0.946;49.97;7.100;180.7;3.528;
1-58;0.963;49.97;6.900;181.0;3.565;
1-59;0.979;49.97;7.000;181.2;3.601;
1-60;0.996;49.97;6.800;181.5;3.638;
1-61;1.013;49.97;6.900;181.8;3.673;
1-62;1.029;49.97;6.700;181.9;3.709;
1-63;1.046;49.97;6.800;182.2;3.744;
1-64;1.063;49.97;6.600;182.4;3.779;
1-65;1.079;49.97;6.600;182.6;3.814;
1-66;1.096;49.97;6.600;182.8;3.848;
1-67;1.113;49.97;6.500;183.1;3.883;
1-68;1.129;49.97;6.600;183.2;3.917;
1-69;1.146;49.97;6.500;183.5;3.951;
1-70;1.163;49.97;6.500;183.7;3.985;
1-71;1.179;49.97;6.400;183.8;4.019;
1-72;1.196;49.97;6.300;184.1;4.052;
1-73;1.213;49.97;6.300;184.3;4.085;
1-74;1.229;49.97;6.300;184.4;4.118;
1-75;1.246;49.97;6.300;184.6;4.151;
1-76;1.263;49.97;6.200;184.9;4.184;
1-77;1.279;49.97;6.200;185.0;4.216;
1-78;1.296;49.97;6.100;185.2;4.249;
1-79;1.313;49.97;6.200;185.4;4.281;
1-80;1.329;49.97;6.100;185.4;4.313;
1-81;1.346;49.97;6.200;185.7;4.345;
1-82;1.363;49.97;6.000;185.9;4.377;
1-83;1.379;49.97;6.100;186.0;4.409;
1-84;1.396;49.97;6.000;186.1;4.440;
1-85;1.413;49.97;6.000;186.3;4.472;
1-86;1.429;49.97;6.000;186.5;4.503;
1-87;1.446;49.97;5.900;186.6;4.534;
1-88;1.463;49.97;5.900;186.8;4.565;
1-89;1.479;49.97;5.800;186.9;4.596;
1-90;1.496;49.97;5.800;187.1;4.626;
1-91;1.513;49.97;5.800;187.2;4.656;
1-92;1.529;49.97;5.800;187.3;4.687;
1-93;1.546;49.97;5.800;187.4;4.717;
1-94;1.563;49.97;5.700;187.6;4.747;
1-95;1.579;49.97;5.800;187.7;4.777;
1-96;1.596;49.97;5.600;187.9;4.807;
1-97;1.613;49.97;5.700;188.0;4.837;
1-98;1.629;49.97;5.600;188.1;4.866;
1-99;1.646;49.97;5.700;188.2;4.896;
1-100;1.663;49.97;5.600;188.3;4.925;
1-101;1.679;49.97;5.600;188.4;4.955;
1-102;1.696;49.97;5.600;188.6;4.984;
1-103;1.713;49.97;5.500;188.7;5.013;
1-104;1.729;49.97;5.500;188.8;5.042;
1-105;1.746;49.97;5.500;188.9;5.071;
1-106;1.763;49.97;5.500;189.1;5.099;
1-107;1.779;49.97;5.400;189.1;5.128;
1-108;1.796;49.97;5.500;189.3;5.156;
1-109;1.813;49.97;5.400;189.4;5.185;
1-110;1.829;49.97;5.400;189.5;5.213;
1-111;1.846;49.97;5.400;189.6;5.242;
1-112;1.863;49.97;5.400;189.8;5.270;
1-113;1.879;49.97;5.500;189.8;5.298;
1-114;1.896;49.97;5.300;189.9;5.327;
1-115;1.913;49.97;5.300;190.1;5.354;
1-116;1.929;49.97;5.300;190.1;5.382;
1-117;1.946;49.97;5.300;190.3;5.410;
1-118;1.963;49.97;5.200;190.4;5.437;
1-119;1.979;49.97;5.200;190.5;5.464;
1-120;1.996;49.97;5.200;190.6;5.492;
1-121;2.013;49.97;5.100;190.7;5.519;
