D:\Documents and Settings\All Users\Documents\Thermo\PolySoft\Projects\JanLDHTEST Dec2015.pmp\JanDec_0012.pld


 ;t [min];Revolution Speed [1/min];Torque [Nm];TM [°C];E [kJ];
1-1;0.008333;49.97;35.50;168.7;0.02322;
1-2;0.02500;49.97;29.00;164.5;0.192;
1-3;0.04167;49.97;25.90;156.9;0.336;
1-4;0.05833;49.97;23.70;154.4;0.465;
1-5;0.07500;49.97;22.20;150.3;0.586;
1-6;0.09167;49.97;21.60;148.6;0.700;
1-7;0.108;49.97;20.60;148.3;0.811;
1-8;0.125;49.97;20.00;148.4;0.917;
1-9;0.142;49.97;19.90;148.6;1.021;
1-10;0.158;49.97;18.80;148.8;1.122;
1-11;0.175;49.97;18.30;149.5;1.220;
1-12;0.192;49.97;17.90;150.3;1.314;
1-13;0.208;49.97;17.60;150.6;1.407;
1-14;0.225;49.97;17.20;151.5;1.498;
1-15;0.242;49.97;16.70;152.8;1.587;
1-16;0.258;49.97;15.80;153.5;1.672;
1-17;0.275;49.97;15.80;154.8;1.755;
1-18;0.292;49.97;15.30;156.1;1.836;
1-19;0.308;49.97;15.00;156.8;1.915;
1-20;0.325;49.97;14.60;158.2;1.993;
1-21;0.342;49.97;13.90;159.6;2.067;
1-22;0.358;49.97;13.20;160.4;2.138;
1-23;0.375;49.97;13.20;161.6;2.207;
1-24;0.392;49.97;12.70;162.9;2.275;
1-25;0.408;49.97;12.40;163.5;2.341;
1-26;0.425;49.97;12.30;164.8;2.405;
1-27;0.442;49.97;11.80;166.0;2.468;
1-28;0.458;49.97;11.30;166.6;2.529;
1-29;0.475;49.97;11.00;167.7;2.587;
1-30;0.492;49.97;10.60;168.7;2.644;
1-31;0.508;49.97;10.30;169.2;2.698;
1-32;0.525;49.97;9.900;170.1;2.751;
1-33;0.542;49.97;9.800;171.1;2.803;
1-34;0.558;49.97;9.400;171.5;2.853;
1-35;0.575;49.97;9.200;172.4;2.902;
1-36;0.592;49.97;8.900;173.2;2.949;
1-37;0.608;49.97;8.800;173.6;2.995;
1-38;0.625;49.97;8.700;174.3;3.041;
1-39;0.642;49.97;8.600;175.0;3.087;
1-40;0.658;49.97;8.400;175.3;3.131;
1-41;0.675;49.97;8.200;175.9;3.174;
1-42;0.692;49.97;8.100;176.5;3.217;
1-43;0.708;49.97;8.000;176.8;3.259;
1-44;0.725;49.97;8.000;177.3;3.301;
1-45;0.742;49.97;7.800;177.8;3.342;
1-46;0.758;49.97;7.800;178.1;3.383;
1-47;0.775;49.97;7.600;178.6;3.424;
1-48;0.792;49.97;7.500;179.1;3.463;
1-49;0.808;49.97;7.500;179.3;3.502;
1-50;0.825;49.97;7.300;179.8;3.541;
1-51;0.842;49.97;7.400;180.2;3.580;
1-52;0.858;49.97;7.200;180.4;3.618;
1-53;0.875;49.97;7.200;180.9;3.655;
1-54;0.892;49.97;7.100;181.2;3.693;
1-55;0.908;49.97;7.100;181.4;3.730;
1-56;0.925;49.97;7.000;181.8;3.767;
1-57;0.942;49.97;7.000;182.2;3.803;
1-58;0.958;49.97;6.900;182.3;3.840;
1-59;0.975;49.97;6.800;182.7;3.876;
1-60;0.992;49.97;6.800;183.0;3.911;
1-61;1.008;49.97;6.700;183.2;3.947;
1-62;1.025;49.97;6.700;183.4;3.982;
1-63;1.042;49.97;6.700;183.7;4.017;
1-64;1.058;49.97;6.600;183.9;4.052;
