D:\Documents and Settings\All Users\Documents\Thermo\PolySoft\Projects\JanLDHTEST Dec2015.pmp\JanDec_0011.pld


 ;t [min];Revolution Speed [1/min];Torque [Nm];TM [°C];E [kJ];
1-1;0.002600;49.97;25.60;182.4;0.005225;
1-2;0.01927;49.97;36.20;176.4;0.167;
1-3;0.03593;49.97;28.80;171.8;0.337;
1-4;0.05260;49.97;26.10;162.3;0.481;
1-5;0.06927;49.97;23.60;155.6;0.611;
1-6;0.08593;49.97;22.10;153.5;0.730;
1-7;0.103;49.97;21.80;150.5;0.845;
1-8;0.119;49.97;20.10;149.4;0.955;
1-9;0.136;49.97;19.40;149.3;1.058;
1-10;0.153;49.97;19.10;149.2;1.159;
1-11;0.169;49.97;18.50;149.3;1.257;
1-12;0.186;49.97;17.20;149.6;1.351;
1-13;0.203;49.97;17.30;150.1;1.441;
1-14;0.219;49.97;16.90;150.7;1.530;
1-15;0.236;49.97;15.60;150.9;1.616;
1-16;0.253;49.97;15.60;151.7;1.697;
1-17;0.269;49.97;15.20;152.6;1.778;
1-18;0.286;49.97;15.20;153.2;1.857;
1-19;0.303;49.97;14.60;154.4;1.935;
1-20;0.319;49.97;14.30;155.6;2.011;
1-21;0.336;49.97;14.10;156.3;2.085;
1-22;0.353;49.97;13.80;157.6;2.158;
1-23;0.369;49.97;13.40;158.9;2.229;
1-24;0.386;49.97;13.20;159.6;2.299;
1-25;0.403;49.97;13.20;160.8;2.368;
1-26;0.419;49.97;13.00;161.9;2.437;
1-27;0.436;49.97;12.20;162.5;2.503;
1-28;0.453;49.97;12.30;163.6;2.567;
1-29;0.469;49.97;11.70;164.7;2.629;
1-30;0.486;49.97;11.70;165.2;2.691;
1-31;0.503;49.97;11.30;166.2;2.751;
1-32;0.519;49.97;11.10;167.2;2.809;
1-33;0.536;49.97;10.60;167.7;2.866;
1-34;0.553;49.97;10.50;168.6;2.921;
1-35;0.569;49.97;10.30;169.5;2.976;
1-36;0.586;49.97;9.900;170.0;3.029;
1-37;0.603;49.97;9.900;170.8;3.081;
1-38;0.619;49.97;9.800;171.6;3.132;
1-39;0.636;49.97;9.700;172.0;3.183;
1-40;0.653;49.97;9.200;172.6;3.233;
1-41;0.669;49.97;9.200;173.3;3.281;
1-42;0.686;49.97;8.900;173.6;3.328;
1-43;0.703;49.97;8.800;174.3;3.374;
1-44;0.719;49.97;8.700;175.0;3.420;
1-45;0.736;49.97;8.400;175.3;3.465;
1-46;0.753;49.97;8.500;175.9;3.509;
1-47;0.769;49.97;8.200;176.4;3.553;
1-48;0.786;49.97;8.200;176.6;3.596;
1-49;0.803;49.97;8.000;177.1;3.638;
1-50;0.819;49.97;8.000;177.6;3.680;
