D:\Documents and Settings\All Users\Documents\Thermo\PolySoft\Projects\JanLDHTEST Dec2015.pmp\JanDec_0018.pld


 ;t [min];Revolution Speed [1/min];Torque [Nm];TM [°C];E [kJ];
1-1;0.006517;49.97;28.50;174.3;0.01458;
1-2;0.02318;49.97;42.60;167.4;0.201;
1-3;0.03985;49.97;32.40;163.5;0.397;
1-4;0.05652;49.97;30.40;156.4;0.561;
1-5;0.07318;49.97;26.90;151.6;0.711;
1-6;0.08985;49.97;26.20;150.0;0.850;
1-7;0.107;49.97;26.00;148.4;0.987;
1-8;0.123;49.97;24.70;148.2;1.119;
1-9;0.140;49.97;23.90;148.2;1.246;
1-10;0.157;49.97;23.90;148.4;1.372;
1-11;0.173;49.97;23.00;149.0;1.494;
1-12;0.190;49.97;22.90;149.3;1.614;
1-13;0.207;49.97;22.20;150.0;1.732;
1-14;0.223;49.97;21.40;150.7;1.846;
1-15;0.240;49.97;20.30;151.2;1.956;
1-16;0.257;49.97;20.30;152.1;2.062;
1-17;0.273;49.97;19.60;153.1;2.166;
1-18;0.290;49.97;19.50;153.7;2.269;
1-19;0.307;49.97;19.20;154.8;2.370;
1-20;0.323;49.97;18.20;155.9;2.468;
1-21;0.340;49.97;17.80;156.5;2.562;
1-22;0.357;49.97;17.60;157.6;2.655;
1-23;0.373;49.97;16.70;158.8;2.744;
1-24;0.390;49.97;16.60;159.4;2.831;
1-25;0.407;49.97;16.10;160.6;2.917;
1-26;0.423;49.97;15.70;161.7;3.000;
1-27;0.440;49.97;14.90;162.3;3.080;
1-28;0.457;49.97;14.80;163.4;3.158;
1-29;0.473;49.97;14.10;164.5;3.234;
1-30;0.490;49.97;13.80;165.0;3.307;
1-31;0.507;49.97;13.30;166.1;3.377;
1-32;0.523;49.97;13.10;167.0;3.447;
1-33;0.540;49.97;12.60;167.5;3.514;
1-34;0.557;49.97;12.20;168.4;3.579;
1-35;0.573;49.97;11.90;169.3;3.642;
1-36;0.590;49.97;11.60;169.8;3.703;
1-37;0.607;49.97;11.40;170.7;3.763;
1-38;0.623;49.97;11.10;171.5;3.822;
1-39;0.640;49.97;10.80;171.8;3.880;
1-40;0.657;49.97;10.60;172.5;3.936;
1-41;0.673;49.97;10.30;173.1;3.990;
1-42;0.690;49.97;10.30;173.5;4.044;
1-43;0.707;49.97;10.00;174.2;4.097;
1-44;0.723;49.97;10.00;174.8;4.150;
1-45;0.740;49.97;9.600;175.1;4.201;
1-46;0.757;49.97;9.700;175.6;4.251;
1-47;0.773;49.97;9.200;176.1;4.301;
1-48;0.790;49.97;9.200;176.4;4.349;
1-49;0.807;49.97;9.100;176.9;4.397;
1-50;0.823;49.97;8.900;177.4;4.444;
1-51;0.840;49.97;8.700;177.6;4.490;
1-52;0.857;49.97;8.700;178.1;4.536;
1-53;0.873;49.97;8.500;178.6;4.581;
1-54;0.890;49.97;8.400;178.9;4.625;
1-55;0.907;49.97;8.400;179.3;4.669;
1-56;0.923;49.97;8.200;179.7;4.712;
1-57;0.940;49.97;8.100;179.9;4.755;
1-58;0.957;49.97;8.100;180.3;4.797;
1-59;0.973;49.97;8.000;180.7;4.839;
1-60;0.990;49.97;7.900;180.9;4.881;
1-61;1.007;49.97;7.900;181.2;4.922;
1-62;1.023;49.97;7.900;181.6;4.964;
1-63;1.040;49.97;7.700;181.8;5.005;
1-64;1.057;49.97;7.800;182.1;5.045;
1-65;1.073;49.97;7.600;182.4;5.085;
1-66;1.090;49.97;7.500;182.6;5.125;
1-67;1.107;49.97;7.400;182.9;5.164;
1-68;1.123;49.97;7.500;183.2;5.203;
1-69;1.140;49.97;7.300;183.3;5.242;
1-70;1.157;49.97;7.300;183.6;5.280;
1-71;1.173;49.97;7.300;183.9;5.318;
1-72;1.190;49.97;7.200;184.0;5.356;
1-73;1.207;49.97;7.200;184.3;5.394;
1-74;1.223;49.97;7.100;184.5;5.431;
1-75;1.240;49.97;7.100;184.6;5.468;
1-76;1.257;49.97;7.000;184.9;5.505;
1-77;1.273;49.97;7.000;185.1;5.542;
1-78;1.290;49.97;6.900;185.3;5.578;
1-79;1.307;49.97;6.900;185.5;5.614;
1-80;1.323;49.97;6.900;185.7;5.650;
1-81;1.340;49.97;6.800;185.8;5.686;
1-82;1.357;49.97;6.900;186.0;5.722;
1-83;1.373;49.97;6.700;186.2;5.758;
1-84;1.390;49.97;6.700;186.3;5.793;
1-85;1.407;49.97;6.700;186.5;5.828;
1-86;1.423;49.97;6.700;186.7;5.863;
1-87;1.440;49.97;6.600;186.8;5.898;
1-88;1.457;49.97;6.600;187.0;5.932;
1-89;1.473;49.97;6.500;187.1;5.966;
1-90;1.490;49.97;6.500;187.2;6.000;
1-91;1.507;49.97;6.500;187.4;6.034;
1-92;1.523;49.97;6.500;187.6;6.068;
1-93;1.540;49.97;6.400;187.7;6.102;
1-94;1.557;49.97;6.400;187.9;6.136;
1-95;1.573;49.97;6.300;188.0;6.169;
1-96;1.590;49.97;6.300;188.1;6.202;
1-97;1.607;49.97;6.300;188.3;6.235;
1-98;1.623;49.97;6.300;188.4;6.268;
1-99;1.640;49.97;6.200;188.5;6.301;
1-100;1.657;49.97;6.300;188.7;6.333;
1-101;1.673;49.97;6.200;188.8;6.366;
1-102;1.690;49.97;6.200;188.9;6.398;
1-103;1.707;49.97;6.100;189.0;6.431;
1-104;1.723;49.97;6.200;189.2;6.463;
1-105;1.740;49.97;6.000;189.2;6.495;
1-106;1.757;49.97;6.100;189.3;6.526;
1-107;1.773;49.97;6.000;189.5;6.558;
1-108;1.790;49.97;6.000;189.5;6.589;
1-109;1.807;49.97;6.100;189.7;6.621;
1-110;1.823;49.97;6.000;189.8;6.653;
1-111;1.840;49.97;6.000;189.9;6.684;
1-112;1.857;49.97;5.900;190.0;6.715;
1-113;1.873;49.97;5.900;190.2;6.746;
1-114;1.890;49.97;5.900;190.2;6.777;
1-115;1.907;49.97;5.900;190.3;6.808;
1-116;1.923;49.97;5.900;190.5;6.839;
1-117;1.940;49.97;5.800;190.5;6.869;
1-118;1.957;49.97;5.800;190.6;6.900;
1-119;1.973;49.97;5.800;190.8;6.930;
1-120;1.990;49.97;5.800;190.8;6.960;
1-121;2.007;49.97;5.800;191.0;6.991;
1-122;2.023;49.97;5.700;191.1;7.021;
1-123;2.040;49.97;5.700;191.1;7.051;
1-124;2.057;49.97;5.700;191.3;7.081;
1-125;2.073;49.97;5.700;191.4;7.110;
1-126;2.090;49.97;5.600;191.4;7.140;
1-127;2.107;49.97;5.700;191.6;7.170;
1-128;2.123;49.97;5.600;191.7;7.199;
1-129;2.140;49.97;5.600;191.7;7.228;
1-130;2.157;49.97;5.500;191.9;7.257;
1-131;2.173;49.97;5.600;192.0;7.286;
1-132;2.190;49.97;5.500;192.1;7.316;
1-133;2.207;49.97;5.500;192.1;7.344;
1-134;2.223;49.97;5.500;192.2;7.373;
1-135;2.240;49.97;5.500;192.3;7.402;
1-136;2.257;49.97;5.500;192.4;7.431;
1-137;2.273;49.97;5.400;192.5;7.459;
1-138;2.290;49.97;5.400;192.6;7.487;
1-139;2.307;49.97;5.400;192.7;7.516;
1-140;2.323;49.97;5.400;192.8;7.544;
1-141;2.340;49.97;5.400;192.8;7.572;
1-142;2.357;49.97;5.300;192.9;7.600;
1-143;2.373;49.97;5.400;193.0;7.628;
1-144;2.390;49.97;5.300;193.1;7.656;
1-145;2.407;49.97;5.300;193.2;7.684;
1-146;2.423;49.97;5.300;193.3;7.712;
1-147;2.440;49.97;5.300;193.4;7.739;
1-148;2.457;49.97;5.200;193.5;7.767;
1-149;2.473;49.97;5.300;193.6;7.794;
1-150;2.490;49.97;5.200;193.6;7.822;
1-151;2.507;49.97;5.300;193.7;7.849;
1-152;2.523;49.97;5.300;193.8;7.877;
1-153;2.540;49.97;5.200;193.8;7.905;
1-154;2.557;49.97;5.200;193.9;7.932;
1-155;2.573;49.97;5.200;194.0;7.959;
1-156;2.590;49.97;5.100;194.1;7.986;
1-157;2.607;49.97;5.100;194.2;8.013;
1-158;2.623;49.97;5.100;194.3;8.039;
1-159;2.640;49.97;5.100;194.4;8.066;
1-160;2.657;49.97;5.100;194.4;8.093;
1-161;2.673;49.97;5.100;194.5;8.119;
1-162;2.690;49.97;5.000;194.6;8.146;
1-163;2.707;49.97;5.100;194.6;8.172;
1-164;2.723;49.97;5.000;194.8;8.199;
1-165;2.740;49.97;5.100;194.8;8.225;
1-166;2.757;49.97;5.000;194.9;8.252;
1-167;2.773;49.97;5.000;195.0;8.278;
1-168;2.790;49.97;5.000;195.1;8.304;
1-169;2.807;49.97;5.000;195.1;8.330;
1-170;2.823;49.97;5.000;195.2;8.356;
1-171;2.840;49.97;5.000;195.3;8.382;
1-172;2.857;49.97;5.000;195.3;8.409;
1-173;2.873;49.97;5.000;195.5;8.435;
1-174;2.890;49.97;5.000;195.5;8.461;
1-175;2.907;49.97;5.000;195.6;8.487;
1-176;2.923;49.97;5.000;195.6;8.513;
1-177;2.940;49.97;5.000;195.7;8.539;
1-178;2.957;49.97;4.900;195.8;8.565;
1-179;2.973;49.97;5.000;195.9;8.591;
1-180;2.990;49.97;4.800;196.0;8.617;
1-181;3.007;49.97;4.900;196.0;8.642;
1-182;3.023;49.97;4.800;196.1;8.668;
1-183;3.040;49.97;4.900;196.2;8.693;
1-184;3.057;49.97;4.800;196.2;8.718;
1-185;3.073;49.97;4.800;196.3;8.743;
1-186;3.090;49.97;4.800;196.4;8.769;
1-187;3.107;49.97;4.800;196.4;8.794;
1-188;3.123;49.97;4.800;196.5;8.819;
1-189;3.140;49.97;4.800;196.6;8.844;
1-190;3.157;49.97;4.800;196.6;8.869;
1-191;3.173;49.97;4.800;196.7;8.894;
1-192;3.190;49.97;4.700;196.8;8.919;
1-193;3.207;49.97;4.700;196.8;8.944;
1-194;3.223;49.97;4.800;196.9;8.968;
1-195;3.240;49.97;4.700;197.0;8.993;
1-196;3.257;49.97;4.700;197.0;9.018;
1-197;3.273;49.97;4.800;197.1;9.043;
1-198;3.290;49.97;4.700;197.2;9.068;
1-199;3.307;49.97;4.700;197.2;9.092;
1-200;3.323;49.97;4.700;197.3;9.117;
1-201;3.340;49.97;4.700;197.4;9.141;
1-202;3.357;49.97;4.600;197.4;9.166;
1-203;3.373;49.97;4.700;197.5;9.190;
1-204;3.390;49.97;4.600;197.6;9.214;
1-205;3.407;49.97;4.700;197.6;9.239;
1-206;3.423;49.97;4.600;197.6;9.263;
1-207;3.440;49.97;4.600;197.7;9.287;
1-208;3.457;49.97;4.600;197.8;9.311;
1-209;3.473;49.97;4.600;197.8;9.335;
1-210;3.490;49.97;4.600;197.8;9.359;
1-211;3.507;49.97;4.500;197.9;9.383;
1-212;3.523;49.97;4.600;198.0;9.407;
1-213;3.540;49.97;4.600;198.0;9.431;
1-214;3.557;49.97;4.500;198.1;9.455;
1-215;3.573;49.97;4.600;198.2;9.479;
1-216;3.590;49.97;4.600;198.2;9.503;
1-217;3.607;49.97;4.600;198.3;9.527;
1-218;3.623;49.97;4.600;198.4;9.551;
1-219;3.640;49.97;4.600;198.4;9.575;
1-220;3.657;49.97;4.500;198.5;9.599;
1-221;3.673;49.97;4.500;198.5;9.622;
1-222;3.690;49.97;4.600;198.6;9.646;
1-223;3.707;49.97;4.500;198.6;9.670;
1-224;3.723;49.97;4.500;198.7;9.694;
1-225;3.740;49.97;4.500;198.7;9.717;
1-226;3.757;49.97;4.500;198.8;9.741;
1-227;3.773;49.97;4.500;198.8;9.764;
