D:\Documents and Settings\All Users\Documents\Thermo\PolySoft\Projects\JanLDHTEST Dec2015.pmp\JanDec_0007.pld


 ;t [min];Revolution Speed [1/min];Torque [Nm];TM [°C];E [kJ];
1-44;0.721;49.97;8.900;176.1;3.679;
1-45;0.738;49.97;8.900;176.4;3.726;
1-46;0.755;49.97;8.600;176.9;3.772;
1-47;0.771;49.97;8.600;177.5;3.817;
1-48;0.788;49.97;8.400;177.7;3.861;
1-49;0.805;49.97;8.400;178.2;3.905;
1-50;0.821;49.97;8.200;178.6;3.949;
1-51;0.838;49.97;8.200;178.8;3.992;
1-52;0.855;49.97;8.000;179.3;4.034;
1-53;0.871;49.97;8.000;179.7;4.076;
1-54;0.888;49.97;7.900;179.9;4.117;
1-55;0.905;49.97;7.800;180.3;4.159;
1-56;0.921;49.97;7.700;180.7;4.199;
1-57;0.938;49.97;7.600;180.9;4.239;
1-58;0.955;49.97;7.600;181.3;4.279;
1-59;0.971;49.97;7.500;181.7;4.318;
1-60;0.988;49.97;7.500;181.8;4.358;
1-61;1.005;49.97;7.400;182.2;4.397;
1-62;1.021;49.97;7.200;182.5;4.435;
1-63;1.038;49.97;7.300;182.6;4.473;
1-64;1.055;49.97;7.100;183.0;4.511;
1-65;1.071;49.97;7.200;183.2;4.548;
1-66;1.088;49.97;7.100;183.4;4.585;
1-67;1.105;49.97;7.200;183.7;4.623;
1-68;1.121;49.97;7.000;183.9;4.660;
1-69;1.138;49.97;7.000;184.0;4.697;
1-70;1.155;49.97;6.900;184.3;4.733;
1-71;1.171;49.97;7.000;184.6;4.769;
1-72;1.188;49.97;6.900;184.7;4.806;
1-73;1.205;49.97;6.800;184.9;4.842;
1-74;1.221;49.97;6.900;185.2;4.877;
1-75;1.238;49.97;6.700;185.3;4.913;
1-76;1.255;49.97;6.700;185.5;4.948;
1-77;1.271;49.97;6.700;185.7;4.983;
1-78;1.288;49.97;6.700;185.9;5.018;
1-79;1.305;49.97;6.600;186.0;5.053;
1-80;1.321;49.97;6.500;186.2;5.087;
1-81;1.338;49.97;6.600;186.3;5.121;
1-82;1.355;49.97;6.500;186.5;5.156;
1-83;1.371;49.97;6.600;186.7;5.190;
1-84;1.388;49.97;6.400;186.8;5.224;
1-85;1.405;49.97;6.500;187.0;5.258;
1-86;1.421;49.97;6.400;187.2;5.292;
1-87;1.438;49.97;6.400;187.3;5.325;
1-88;1.455;49.97;6.300;187.5;5.358;
1-89;1.471;49.97;6.300;187.7;5.391;
1-90;1.488;49.97;6.300;187.8;5.424;
1-91;1.505;49.97;6.200;187.9;5.457;
1-92;1.521;49.97;6.300;188.1;5.490;
1-93;1.538;49.97;6.100;188.2;5.522;
1-94;1.555;49.97;6.100;188.4;5.554;
1-95;1.571;49.97;6.100;188.6;5.586;
1-96;1.588;49.97;6.100;188.6;5.618;
1-97;1.605;49.97;6.100;188.8;5.650;
1-98;1.621;49.97;6.000;188.9;5.681;
1-99;1.638;49.97;6.100;189.0;5.713;
1-100;1.655;49.97;5.900;189.1;5.745;
1-101;1.671;49.97;6.100;189.3;5.776;
1-102;1.688;49.97;5.900;189.3;5.807;
1-103;1.705;49.97;6.000;189.5;5.838;
1-104;1.721;49.97;5.900;189.6;5.870;
1-105;1.738;49.97;5.900;189.7;5.900;
1-106;1.755;49.97;5.900;189.8;5.931;
1-107;1.771;49.97;5.900;189.9;5.962;
1-108;1.788;49.97;5.900;190.0;5.993;
1-109;1.805;49.97;5.800;190.1;6.024;
1-110;1.821;49.97;5.900;190.2;6.054;
1-111;1.838;49.97;5.800;190.3;6.085;
1-112;1.855;49.97;5.700;190.5;6.115;
1-113;1.871;49.97;5.700;190.6;6.145;
1-114;1.888;49.97;5.800;190.6;6.175;
1-115;1.905;49.97;5.700;190.8;6.205;
1-116;1.921;49.97;5.700;190.9;6.235;
1-117;1.938;49.97;5.800;191.0;6.265;
1-118;1.955;49.97;5.600;191.1;6.295;
1-119;1.971;49.97;5.700;191.2;6.324;
1-120;1.988;49.97;5.700;191.3;6.354;
1-121;2.005;49.97;5.800;191.4;6.384;
1-122;2.021;49.97;5.600;191.5;6.414;
1-123;2.038;49.97;5.700;191.6;6.444;
1-124;2.055;49.97;5.600;191.7;6.473;
1-125;2.071;49.97;5.600;191.9;6.503;
1-126;2.088;49.97;5.600;191.9;6.532;
1-127;2.105;49.97;5.600;192.0;6.561;
1-128;2.121;49.97;5.600;192.1;6.590;
1-129;2.138;49.97;5.600;192.2;6.620;
1-130;2.155;49.97;5.600;192.3;6.649;
1-131;2.171;49.97;5.500;192.4;6.678;
1-132;2.188;49.97;5.600;192.5;6.707;
1-133;2.205;49.97;5.500;192.6;6.736;
1-134;2.221;49.97;5.500;192.7;6.765;
1-135;2.238;49.97;5.500;192.8;6.794;
1-136;2.255;49.97;5.400;192.9;6.822;
1-137;2.271;49.97;5.500;193.0;6.851;
1-138;2.288;49.97;5.500;193.1;6.880;
1-139;2.305;49.97;5.500;193.2;6.908;
1-140;2.321;49.97;5.400;193.3;6.937;
1-141;2.338;49.97;5.400;193.4;6.965;
1-142;2.355;49.97;5.400;193.5;6.993;
1-143;2.371;49.97;5.300;193.6;7.021;
1-144;2.388;49.97;5.400;193.7;7.049;
1-145;2.405;49.97;5.400;193.8;7.078;
1-146;2.421;49.97;5.400;193.9;7.106;
1-147;2.438;49.97;5.300;194.0;7.134;
1-148;2.455;49.97;5.300;194.0;7.162;
1-149;2.471;49.97;5.300;194.1;7.189;
1-150;2.488;49.97;5.300;194.2;7.217;
1-151;2.505;49.97;5.300;194.3;7.245;
1-152;2.521;49.97;5.300;194.4;7.273;
1-153;2.538;49.97;5.300;194.5;7.300;
1-154;2.555;49.97;5.200;194.6;7.328;
1-155;2.571;49.97;5.200;194.6;7.355;
1-156;2.588;49.97;5.200;194.7;7.382;
1-157;2.605;49.97;5.300;194.8;7.410;
1-158;2.621;49.97;5.100;194.9;7.437;
1-159;2.638;49.97;5.200;195.0;7.464;
1-160;2.655;49.97;5.100;195.0;7.491;
1-161;2.671;49.97;5.100;195.1;7.518;
1-162;2.688;49.97;5.100;195.2;7.544;
1-163;2.705;49.97;5.100;195.3;7.571;
1-164;2.721;49.97;5.100;195.3;7.598;
1-165;2.738;49.97;5.100;195.5;7.624;
1-166;2.755;49.97;5.100;195.5;7.651;
1-167;2.771;49.97;5.000;195.6;7.677;
1-168;2.788;49.97;5.100;195.7;7.704;
1-169;2.805;49.97;5.100;195.7;7.731;
1-170;2.821;49.97;5.000;195.8;7.757;
1-171;2.838;49.97;5.100;195.9;7.783;
1-172;2.855;49.97;5.000;196.0;7.810;
1-173;2.871;49.97;5.000;196.0;7.836;
1-174;2.888;49.97;5.000;196.1;7.862;
1-175;2.905;49.97;5.000;196.2;7.888;
1-176;2.921;49.97;5.000;196.2;7.915;
1-177;2.938;49.97;5.000;196.3;7.941;
1-178;2.955;49.97;4.900;196.4;7.967;
1-179;2.971;49.97;4.900;196.4;7.992;
1-180;2.988;49.97;5.000;196.5;8.018;
1-181;3.005;49.97;4.900;196.6;8.044;
1-182;3.021;49.97;4.900;196.6;8.070;
1-183;3.038;49.97;4.800;196.7;8.095;
1-184;3.055;49.97;4.900;196.8;8.120;
1-185;3.071;49.97;4.800;196.8;8.146;
1-186;3.088;49.97;4.900;196.9;8.171;
1-187;3.105;49.97;4.900;197.0;8.197;
1-188;3.121;49.97;4.800;197.0;8.222;
1-189;3.138;49.97;4.900;197.1;8.248;
1-190;3.155;49.97;4.800;197.2;8.273;
1-191;3.171;49.97;4.800;197.2;8.298;
1-192;3.188;49.97;4.800;197.3;8.323;
1-193;3.205;49.97;4.800;197.4;8.348;
1-194;3.221;49.97;4.800;197.4;8.373;
1-195;3.238;49.97;4.800;197.5;8.399;
1-196;3.255;49.97;4.800;197.6;8.424;
1-197;3.271;49.97;4.700;197.6;8.449;
1-198;3.288;49.97;4.800;197.7;8.473;
1-199;3.305;49.97;4.700;197.7;8.498;
1-200;3.321;49.97;4.800;197.8;8.523;
1-201;3.338;49.97;4.700;197.9;8.548;
1-202;3.355;49.97;4.800;197.9;8.573;
1-203;3.371;49.97;4.700;198.0;8.598;
1-204;3.388;49.97;4.700;198.1;8.622;
1-205;3.405;49.97;4.700;198.1;8.647;
1-206;3.421;49.97;4.700;198.2;8.672;
1-207;3.438;49.97;4.700;198.3;8.696;
1-208;3.455;49.97;4.600;198.3;8.720;
1-209;3.471;49.97;4.600;198.4;8.745;
1-210;3.488;49.97;4.600;198.4;8.769;
1-211;3.505;49.97;4.700;198.5;8.793;
1-212;3.521;49.97;4.700;198.6;8.818;
1-213;3.538;49.97;4.600;198.6;8.842;
1-214;3.555;49.97;4.600;198.6;8.866;
1-215;3.571;49.97;4.500;198.7;8.890;
1-216;3.588;49.97;4.700;198.8;8.914;
1-217;3.605;49.97;4.600;198.8;8.938;
1-218;3.621;49.97;4.700;198.9;8.962;
1-219;3.638;49.97;4.500;199.0;8.987;
1-220;3.655;49.97;4.600;199.0;9.010;
1-221;3.671;49.97;4.600;199.1;9.034;
1-222;3.688;49.97;4.600;199.1;9.059;
1-223;3.705;49.97;4.600;199.2;9.083;
1-224;3.721;49.97;4.500;199.2;9.106;
1-225;3.738;49.97;4.500;199.3;9.130;
1-226;3.755;49.97;4.500;199.3;9.153;
1-227;3.771;49.97;4.600;199.4;9.177;
1-228;3.788;49.97;4.500;199.5;9.201;
1-229;3.805;49.97;4.500;199.5;9.225;
1-230;3.821;49.97;4.500;199.6;9.248;
1-231;3.838;49.97;4.500;199.6;9.272;
1-232;3.855;49.97;4.500;199.6;9.295;
1-233;3.871;49.97;4.400;199.7;9.319;
1-234;3.888;49.97;4.500;199.8;9.342;
1-235;3.905;49.97;4.500;199.8;9.365;
1-236;3.921;49.97;4.500;199.9;9.389;
1-237;3.938;49.97;4.400;199.9;9.412;
1-238;3.955;49.97;4.500;200.0;9.436;
1-239;3.971;49.97;4.400;200.0;9.459;
1-240;3.988;49.97;4.400;200.1;9.482;
1-241;4.005;49.97;4.500;200.1;9.505;
1-242;4.021;49.97;4.400;200.2;9.528;
1-243;4.038;49.97;4.400;200.2;9.551;
1-244;4.055;49.97;4.400;200.3;9.575;
1-245;4.071;49.97;4.400;200.3;9.598;
1-246;4.088;49.97;4.400;200.4;9.621;
1-247;4.105;49.97;4.400;200.4;9.644;
1-248;4.121;49.97;4.400;200.5;9.667;
1-249;4.138;49.97;4.400;200.5;9.690;
1-250;4.155;49.97;4.400;200.5;9.713;
1-251;4.171;49.97;4.300;200.6;9.735;
1-252;4.188;49.97;4.400;200.6;9.758;
1-253;4.205;49.97;4.400;200.7;9.781;
1-254;4.221;49.97;4.400;200.8;9.804;
1-255;4.238;49.97;4.400;200.8;9.827;
1-256;4.255;49.97;4.400;200.8;9.850;
1-257;4.271;49.97;4.300;200.9;9.873;
1-258;4.288;49.97;4.300;200.9;9.896;
1-259;4.305;49.97;4.300;201.0;9.918;
1-260;4.321;49.97;4.300;201.0;9.941;
1-261;4.338;49.97;4.400;201.1;9.963;
1-262;4.355;49.97;4.300;201.1;9.986;
1-263;4.371;49.97;4.400;201.2;10.01;
1-264;4.388;49.97;4.300;201.2;10.03;
1-265;4.405;49.97;4.300;201.2;10.05;
1-266;4.421;49.97;4.300;201.3;10.08;
1-267;4.438;49.97;4.300;201.3;10.10;
1-268;4.455;49.97;4.300;201.3;10.12;
1-269;4.471;49.97;4.200;201.4;10.14;
1-270;4.488;49.97;4.300;201.4;10.17;
1-271;4.505;49.97;4.300;201.5;10.19;
1-272;4.521;49.97;4.300;201.5;10.21;
1-273;4.538;49.97;4.200;201.6;10.23;
1-274;4.555;49.97;4.300;201.6;10.26;
1-275;4.571;49.97;4.200;201.6;10.28;
1-276;4.588;49.97;4.200;201.7;10.30;
1-277;4.605;49.97;4.300;201.7;10.32;
1-278;4.621;49.97;4.300;201.8;10.34;
1-279;4.638;49.97;4.300;201.8;10.37;
1-280;4.655;49.97;4.200;201.8;10.39;
1-281;4.671;49.97;4.300;201.9;10.41;
1-282;4.688;49.97;4.200;201.9;10.43;
1-283;4.705;49.97;4.300;201.9;10.46;
1-284;4.721;49.97;4.200;202.0;10.48;
1-285;4.738;49.97;4.200;202.0;10.50;
1-286;4.755;49.97;4.200;202.0;10.52;
1-287;4.771;49.97;4.200;202.1;10.54;
1-288;4.788;49.97;4.200;202.1;10.57;
1-289;4.805;49.97;4.200;202.1;10.59;
1-290;4.821;49.97;4.300;202.2;10.61;
1-291;4.838;49.97;4.200;202.2;10.63;
1-292;4.855;49.97;4.200;202.2;10.65;
1-293;4.871;49.97;4.200;202.3;10.68;
1-294;4.888;49.97;4.100;202.3;10.70;
1-295;4.905;49.97;4.200;202.4;10.72;
1-296;4.921;49.97;4.200;202.4;10.74;
1-297;4.938;49.97;4.200;202.4;10.76;
1-298;4.955;49.97;4.100;202.5;10.79;
1-299;4.971;49.97;4.200;202.5;10.81;
1-300;4.988;49.97;4.100;202.6;10.83;
1-301;5.005;49.97;4.200;202.6;10.85;
1-302;5.021;49.97;4.200;202.6;10.87;
1-303;5.038;49.97;4.200;202.7;10.89;
1-304;5.055;49.97;4.200;202.7;10.92;
1-305;5.071;49.97;4.100;202.7;10.94;
1-306;5.088;49.97;4.100;202.7;10.96;
1-307;5.105;49.97;4.100;202.8;10.98;
1-308;5.121;49.97;4.200;202.8;11.00;
1-309;5.138;49.97;4.200;202.8;11.03;
1-310;5.155;49.97;4.100;202.8;11.05;
1-311;5.171;49.97;4.100;202.9;11.07;
1-312;5.188;49.97;4.100;202.9;11.09;
1-313;5.205;49.97;4.200;203.0;11.11;
1-314;5.221;49.97;4.100;203.0;11.13;
1-315;5.238;49.97;4.100;203.0;11.15;
1-316;5.255;49.97;4.100;203.0;11.18;
1-317;5.271;49.97;4.100;203.0;11.20;
1-318;5.288;49.97;4.100;203.1;11.22;
1-319;5.305;49.97;4.100;203.1;11.24;
1-320;5.321;49.97;4.100;203.1;11.26;
1-321;5.338;49.97;4.100;203.2;11.28;
1-322;5.355;49.97;4.100;203.2;11.30;
1-323;5.371;49.97;4.100;203.2;11.33;
1-324;5.388;49.97;4.100;203.3;11.35;
1-325;5.405;49.97;4.100;203.3;11.37;
1-326;5.421;49.97;4.100;203.3;11.39;
1-327;5.438;49.97;4.100;203.4;11.41;
1-328;5.455;49.97;4.100;203.4;11.43;
1-329;5.471;49.97;4.100;203.4;11.46;
1-330;5.488;49.97;4.100;203.4;11.48;
1-331;5.505;49.97;4.100;203.4;11.50;
1-332;5.521;49.97;4.100;203.5;11.52;
1-333;5.538;49.97;4.100;203.5;11.54;
1-334;5.555;49.97;4.100;203.5;11.56;
1-335;5.571;49.97;4.100;203.6;11.58;
1-336;5.588;49.97;4.100;203.6;11.61;
1-337;5.605;49.97;4.100;203.6;11.63;
1-338;5.621;49.97;4.100;203.6;11.65;
1-339;5.638;49.97;4.100;203.6;11.67;
1-340;5.655;49.97;4.000;203.7;11.69;
1-341;5.671;49.97;4.000;203.7;11.71;
1-342;5.688;49.97;4.000;203.7;11.73;
1-343;5.705;49.97;4.000;203.8;11.75;
1-344;5.721;49.97;4.000;203.8;11.77;
1-345;5.738;49.97;4.000;203.8;11.80;
1-346;5.755;49.97;4.000;203.8;11.82;
1-347;5.771;49.97;4.000;203.8;11.84;
1-348;5.788;49.97;4.000;203.8;11.86;
1-349;5.805;49.97;4.000;203.9;11.88;
1-350;5.821;49.97;4.000;203.9;11.90;
1-351;5.838;49.97;4.000;203.9;11.92;
1-352;5.855;49.97;4.000;204.0;11.94;
1-353;5.871;49.97;4.000;204.0;11.96;
1-354;5.888;49.97;4.000;204.0;11.98;
1-355;5.905;49.97;4.000;204.0;12.00;
1-356;5.921;49.97;4.000;204.0;12.03;
1-357;5.938;49.97;4.000;204.1;12.05;
1-358;5.955;49.97;4.000;204.1;12.07;
1-359;5.971;49.97;4.000;204.1;12.09;
1-360;5.988;49.97;4.000;204.1;12.11;
1-361;6.005;49.97;4.000;204.2;12.13;
1-362;6.021;49.97;4.000;204.2;12.15;
1-363;6.038;49.97;4.000;204.2;12.17;
1-364;6.055;49.97;4.000;204.2;12.19;
1-365;6.071;49.97;4.000;204.2;12.21;
1-366;6.088;49.97;3.900;204.3;12.23;
1-367;6.105;49.97;3.900;204.3;12.26;
1-368;6.121;49.97;3.900;204.3;12.28;
1-369;6.138;49.97;4.000;204.3;12.30;
1-370;6.155;49.97;3.900;204.3;12.32;
1-371;6.171;49.97;3.900;204.3;12.34;
1-372;6.188;49.97;3.900;204.4;12.36;
1-373;6.205;49.97;3.900;204.4;12.38;
1-374;6.221;49.97;3.900;204.4;12.40;
1-375;6.238;49.97;3.900;204.4;12.42;
1-376;6.255;49.97;3.900;204.5;12.44;
1-377;6.271;49.97;3.900;204.5;12.46;
1-378;6.288;49.97;3.900;204.5;12.48;
1-379;6.305;49.97;3.900;204.5;12.50;
1-380;6.321;49.97;3.900;204.5;12.52;
1-381;6.338;49.97;4.000;204.5;12.54;
1-382;6.355;49.97;3.900;204.5;12.56;
1-383;6.371;49.97;3.900;204.6;12.58;
1-384;6.388;49.97;3.900;204.6;12.60;
1-385;6.405;49.97;3.900;204.6;12.62;
1-386;6.421;49.97;3.900;204.6;12.64;
1-387;6.438;49.97;3.900;204.6;12.66;
1-388;6.455;49.97;3.900;204.6;12.68;
1-389;6.471;49.97;3.900;204.7;12.71;
1-390;6.488;49.97;3.900;204.7;12.73;
1-391;6.505;49.97;3.900;204.7;12.75;
1-392;6.521;49.97;3.900;204.7;12.77;
1-393;6.538;49.97;3.900;204.7;12.79;
1-394;6.555;49.97;3.900;204.8;12.81;
1-395;6.571;49.97;3.900;204.8;12.83;
1-396;6.588;49.97;3.900;204.8;12.85;
1-397;6.605;49.97;3.900;204.8;12.87;
1-398;6.621;49.97;3.900;204.8;12.89;
1-399;6.638;49.97;3.900;204.8;12.91;
1-400;6.655;49.97;3.900;204.8;12.93;
1-401;6.671;49.97;3.900;204.9;12.95;
1-402;6.688;49.97;3.900;204.9;12.97;
1-403;6.705;49.97;3.900;204.9;12.99;
1-404;6.721;49.97;3.800;204.9;13.01;
1-405;6.738;49.97;3.900;204.9;13.03;
1-406;6.755;49.97;3.800;205.0;13.05;
1-407;6.771;49.97;3.900;205.0;13.07;
1-408;6.788;49.97;3.900;205.0;13.09;
1-409;6.805;49.97;3.800;205.0;13.11;
1-410;6.821;49.97;3.900;205.0;13.13;
1-411;6.838;49.97;3.900;205.0;13.15;
1-412;6.855;49.97;3.900;205.0;13.17;
1-413;6.871;49.97;3.800;205.1;13.19;
1-414;6.888;49.97;3.900;205.1;13.21;
1-415;6.905;49.97;3.900;205.1;13.23;
1-416;6.921;49.97;3.900;205.1;13.25;
1-417;6.938;49.97;3.900;205.1;13.27;
1-418;6.955;49.97;3.900;205.2;13.30;
1-419;6.971;49.97;3.900;205.2;13.32;
1-420;6.988;49.97;3.800;205.2;13.34;
1-421;7.005;49.97;3.900;205.2;13.36;
1-422;7.021;49.97;3.800;205.2;13.38;
1-423;7.038;49.97;3.900;205.2;13.40;
1-424;7.055;49.97;3.800;205.2;13.42;
1-425;7.071;49.97;3.800;205.2;13.44;
1-426;7.088;49.97;3.900;205.2;13.46;
1-427;7.105;49.97;3.800;205.2;13.48;
1-428;7.121;49.97;3.900;205.3;13.50;
1-429;7.138;49.97;3.900;205.3;13.52;
1-430;7.155;49.97;3.900;205.3;13.54;
1-431;7.171;49.97;3.800;205.3;13.56;
1-432;7.188;49.97;3.900;205.3;13.58;
1-433;7.205;49.97;3.800;205.3;13.60;
1-434;7.221;49.97;3.900;205.4;13.62;
1-435;7.238;49.97;3.900;205.4;13.64;
1-436;7.255;49.97;3.800;205.4;13.66;
1-437;7.271;49.97;3.800;205.4;13.68;
1-438;7.288;49.97;3.800;205.4;13.70;
1-439;7.305;49.97;3.800;205.4;13.72;
1-440;7.321;49.97;3.800;205.4;13.74;
1-441;7.338;49.97;3.900;205.4;13.76;
1-442;7.355;49.97;3.800;205.5;13.78;
1-443;7.371;49.97;3.800;205.5;13.80;
1-444;7.388;49.97;3.800;205.5;13.82;
1-445;7.405;49.97;3.800;205.5;13.84;
1-446;7.421;49.97;3.800;205.5;13.86;
1-447;7.438;49.97;3.800;205.5;13.88;
1-448;7.455;49.97;3.900;205.5;13.90;
1-449;7.471;49.97;3.800;205.6;13.92;
1-450;7.488;49.97;3.800;205.6;13.94;
1-451;7.505;49.97;3.800;205.6;13.96;
1-452;7.521;49.97;3.900;205.6;13.98;
1-453;7.538;49.97;3.800;205.6;14.00;
1-454;7.555;49.97;3.900;205.6;14.02;
1-455;7.571;49.97;3.800;205.6;14.04;
1-456;7.588;49.97;3.800;205.6;14.06;
1-457;7.605;49.97;3.900;205.7;14.08;
1-458;7.621;49.97;3.800;205.7;14.10;
1-459;7.638;49.97;3.900;205.7;14.12;
1-460;7.655;49.97;3.800;205.7;14.14;
1-461;7.671;49.97;3.800;205.7;14.16;
1-462;7.688;49.97;3.800;205.7;14.18;
1-463;7.705;49.97;3.800;205.7;14.20;
1-464;7.721;49.97;3.800;205.7;14.22;
1-465;7.738;49.97;3.800;205.8;14.24;
1-466;7.755;49.97;3.900;205.8;14.26;
1-467;7.771;49.97;3.800;205.8;14.28;
1-468;7.788;49.97;3.900;205.8;14.30;
1-469;7.805;49.97;3.800;205.8;14.32;
1-470;7.821;49.97;3.800;205.8;14.34;
1-471;7.838;49.97;3.800;205.8;14.36;
1-472;7.855;49.97;3.800;205.8;14.38;
1-473;7.871;49.97;3.800;205.8;14.40;
1-474;7.888;49.97;3.800;205.8;14.42;
1-475;7.905;49.97;3.800;205.8;14.44;
1-476;7.921;49.97;3.700;205.8;14.46;
1-477;7.938;49.97;3.800;205.9;14.48;
1-478;7.955;49.97;3.800;205.9;14.50;
1-479;7.971;49.97;3.800;205.9;14.52;
1-480;7.988;49.97;3.800;205.9;14.54;
1-481;8.005;49.97;3.700;205.9;14.56;
1-482;8.021;49.97;3.800;205.9;14.58;
1-483;8.038;49.97;3.800;206.0;14.60;
1-484;8.055;49.97;3.800;206.0;14.62;
1-485;8.071;49.97;3.700;206.0;14.64;
1-486;8.088;49.97;3.800;206.0;14.66;
1-487;8.105;49.97;3.700;206.0;14.68;
1-488;8.121;49.97;3.800;206.0;14.69;
1-489;8.138;49.97;3.800;206.0;14.71;
1-490;8.155;49.97;3.800;206.0;14.73;
1-491;8.171;49.97;3.700;206.0;14.75;
1-492;8.188;49.97;3.600;206.0;14.77;
1-493;8.205;49.97;3.600;206.0;14.79;
1-494;8.221;49.97;3.600;206.0;14.81;
1-495;8.238;49.97;3.700;206.0;14.83;
1-496;8.255;49.97;3.700;206.1;14.85;
1-497;8.271;49.97;3.600;206.0;14.87;
1-498;8.288;49.97;3.700;206.1;14.89;
1-499;8.305;49.97;3.600;206.1;14.91;
1-500;8.321;49.97;3.700;206.1;14.93;
1-501;8.338;49.97;3.700;206.1;14.95;
1-502;8.355;49.97;3.700;206.1;14.96;
1-503;8.371;49.97;3.700;206.1;14.98;
1-504;8.388;49.97;3.700;206.1;15.00;
1-505;8.405;49.97;3.700;206.1;15.02;
1-506;8.421;49.97;3.700;206.1;15.04;
1-507;8.438;49.97;3.700;206.2;15.06;
1-508;8.455;49.97;3.700;206.2;15.08;
1-509;8.471;49.97;3.700;206.2;15.10;
1-510;8.488;49.97;3.700;206.2;15.12;
1-511;8.505;49.97;3.700;206.2;15.14;
1-512;8.521;49.97;3.700;206.2;15.16;
1-513;8.538;49.97;3.700;206.2;15.18;
1-514;8.555;49.97;3.700;206.2;15.20;
1-515;8.571;49.97;3.700;206.2;15.22;
1-516;8.588;49.97;3.700;206.2;15.24;
1-517;8.605;49.97;3.700;206.2;15.26;
1-518;8.621;49.97;3.700;206.2;15.27;
1-519;8.638;49.97;3.700;206.2;15.29;
1-520;8.655;49.97;3.700;206.3;15.31;
1-521;8.671;49.97;3.700;206.3;15.33;
1-522;8.688;49.97;3.700;206.3;15.35;
1-523;8.705;49.97;3.700;206.3;15.37;
1-524;8.721;49.97;3.700;206.3;15.39;
1-525;8.738;49.97;3.700;206.3;15.41;
1-526;8.755;49.97;3.700;206.3;15.43;
1-527;8.771;49.97;3.700;206.3;15.45;
1-528;8.788;49.97;3.700;206.3;15.47;
1-529;8.805;49.97;3.700;206.3;15.49;
1-530;8.821;49.97;3.700;206.4;15.51;
1-531;8.838;49.97;3.700;206.4;15.53;
1-532;8.855;49.97;3.700;206.4;15.55;
1-533;8.871;49.97;3.700;206.4;15.56;
1-534;8.888;49.97;3.700;206.4;15.58;
1-535;8.905;49.97;3.700;206.4;15.60;
1-536;8.921;49.97;3.700;206.4;15.62;
1-537;8.938;49.97;3.700;206.4;15.64;
1-538;8.955;49.97;3.700;206.4;15.66;
1-539;8.971;49.97;3.600;206.5;15.68;
1-540;8.988;49.97;3.600;206.5;15.70;
1-541;9.005;49.97;3.600;206.4;15.72;
1-542;9.021;49.97;3.600;206.5;15.74;
1-543;9.038;49.97;3.600;206.4;15.76;
1-544;9.055;49.97;3.600;206.5;15.77;
1-545;9.071;49.97;3.600;206.5;15.79;
1-546;9.088;49.97;3.600;206.5;15.81;
1-547;9.105;49.97;3.600;206.5;15.83;
1-548;9.121;49.97;3.600;206.5;15.85;
1-549;9.138;49.97;3.600;206.5;15.87;
1-550;9.155;49.97;3.600;206.5;15.89;
1-551;9.171;49.97;3.600;206.5;15.91;
