D:\Documents and Settings\All Users\Documents\Thermo\PolySoft\Projects\JanLDHTEST Dec2015.pmp\JanDec_0007.pld


 ;t [min];Revolution Speed [1/min];Torque [Nm];TM [°C];E [kJ];
1-1;0.004683;49.97;27.60;175.4;0.01015;
1-2;0.02135;49.97;34.00;172.4;0.171;
1-3;0.03802;49.97;29.10;169.0;0.336;
1-4;0.05468;49.97;26.50;161.1;0.482;
1-5;0.07135;49.97;25.30;155.6;0.617;
1-6;0.08802;49.97;24.40;153.6;0.748;
1-7;0.105;49.97;22.30;150.9;0.870;
1-8;0.121;49.97;22.10;149.8;0.986;
1-9;0.138;49.97;21.20;149.6;1.099;
1-10;0.155;49.97;20.60;149.7;1.209;
1-11;0.171;49.97;20.00;149.8;1.315;
1-12;0.188;49.97;19.90;150.1;1.419;
1-13;0.205;49.97;19.70;150.8;1.523;
1-14;0.221;49.97;18.70;151.4;1.623;
1-15;0.238;49.97;18.30;151.8;1.720;
1-16;0.255;49.97;18.00;152.7;1.815;
1-17;0.271;49.97;17.80;153.8;1.909;
1-18;0.288;49.97;17.30;154.3;2.001;
1-19;0.305;49.97;16.60;155.5;2.089;
1-20;0.321;49.97;16.30;156.7;2.175;
1-21;0.338;49.97;15.90;157.4;2.260;
1-22;0.355;49.97;15.40;158.7;2.342;
1-23;0.371;49.97;15.20;159.9;2.422;
1-24;0.388;49.97;14.80;160.6;2.500;
1-25;0.405;49.97;14.20;161.9;2.576;
1-26;0.421;49.97;13.60;163.1;2.649;
1-27;0.438;49.97;13.40;163.7;2.719;
1-28;0.455;49.97;13.00;164.8;2.788;
1-29;0.471;49.97;12.80;165.9;2.856;
1-30;0.488;49.97;12.30;166.5;2.922;
1-31;0.505;49.97;11.90;167.6;2.985;
1-32;0.521;49.97;11.50;168.5;3.046;
1-33;0.538;49.97;11.20;168.9;3.106;
1-34;0.555;49.97;11.00;169.8;3.164;
1-35;0.571;49.97;10.60;170.7;3.220;
1-36;0.588;49.97;10.50;171.1;3.275;
1-37;0.605;49.97;10.10;172.0;3.329;
1-38;0.621;49.97;10.10;172.8;3.382;
1-39;0.638;49.97;9.700;173.1;3.434;
1-40;0.655;49.97;9.600;173.8;3.485;
1-41;0.671;49.97;9.500;174.5;3.535;
1-42;0.688;49.97;9.400;174.9;3.584;
1-43;0.705;49.97;9.100;175.5;3.632;
