D:\Documents and Settings\All Users\Documents\Thermo\PolySoft\Projects\JanLDHTEST Dec2015.pmp\JanDec_0019.pld


 ;t [min];Revolution Speed [1/min];Torque [Nm];TM [°C];E [kJ];
1-1;0.01302;49.97;37.70;169.1;0.03852;
1-2;0.02968;49.97;38.30;164.1;0.237;
1-3;0.04635;49.97;33.20;161.2;0.424;
1-4;0.06302;49.97;30.60;157.1;0.591;
1-5;0.07968;49.97;27.50;154.7;0.743;
1-6;0.09635;49.97;28.10;154.3;0.889;
1-7;0.113;49.97;26.00;153.9;1.030;
1-8;0.130;49.97;26.70;153.8;1.168;
1-9;0.146;49.97;23.30;153.8;1.299;
1-10;0.163;49.97;23.60;154.4;1.422;
1-11;0.180;49.97;22.60;155.0;1.543;
1-12;0.196;49.97;21.90;155.4;1.659;
1-13;0.213;49.97;20.70;156.1;1.771;
1-14;0.230;49.97;20.40;157.0;1.878;
1-15;0.246;49.97;19.50;157.5;1.983;
1-16;0.263;49.97;18.80;158.6;2.083;
1-17;0.280;49.97;18.30;159.7;2.180;
1-18;0.296;49.97;17.70;160.2;2.274;
1-19;0.313;49.97;17.20;161.2;2.366;
1-20;0.330;49.97;16.80;162.2;2.454;
1-21;0.346;49.97;16.50;162.7;2.542;
1-22;0.363;49.97;15.60;163.7;2.626;
1-23;0.380;49.97;15.10;164.8;2.706;
1-24;0.396;49.97;14.50;165.3;2.783;
1-25;0.413;49.97;14.20;166.4;2.858;
1-26;0.430;49.97;13.50;167.4;2.931;
1-27;0.446;49.97;13.10;167.9;3.001;
1-28;0.463;49.97;12.70;168.9;3.068;
1-29;0.480;49.97;12.10;169.8;3.133;
1-30;0.496;49.97;11.80;170.2;3.196;
1-31;0.513;49.97;11.40;171.1;3.256;
1-32;0.530;49.97;11.10;171.9;3.315;
1-33;0.546;49.97;10.80;172.4;3.372;
1-34;0.563;49.97;10.50;173.2;3.428;
1-35;0.580;49.97;10.00;174.0;3.482;
1-36;0.596;49.97;10.00;174.4;3.534;
1-37;0.613;49.97;9.700;175.1;3.586;
1-38;0.630;49.97;9.500;175.8;3.636;
1-39;0.646;49.97;9.400;176.1;3.685;
1-40;0.663;49.97;9.200;176.7;3.734;
1-41;0.680;49.97;9.000;177.3;3.782;
1-42;0.696;49.97;8.900;177.6;3.828;
1-43;0.713;49.97;8.700;178.2;3.875;
1-44;0.730;49.97;8.600;178.8;3.920;
1-45;0.746;49.97;8.600;179.0;3.965;
1-46;0.763;49.97;8.400;179.5;4.009;
1-47;0.780;49.97;8.200;180.0;4.053;
1-48;0.796;49.97;8.300;180.2;4.096;
1-49;0.813;49.97;8.000;180.7;4.139;
