D:\Documents and Settings\All Users\Documents\Thermo\PolySoft\Projects\JanLDHTEST Dec2015.pmp\JanDec_0017.pld


 ;t [min];Revolution Speed [1/min];Torque [Nm];TM [°C];E [kJ];
1-1;0.004683;49.97;28.80;180.9;0.01059;
1-2;0.02135;49.97;22.80;176.6;0.146;
1-3;0.03802;49.97;20.30;167.3;0.258;
1-4;0.05468;49.97;18.90;161.0;0.361;
1-5;0.07135;49.97;18.20;158.6;0.458;
1-6;0.08802;49.97;16.80;155.1;0.550;
1-7;0.105;49.97;16.80;153.1;0.638;
1-8;0.121;49.97;15.20;152.6;0.721;
1-9;0.138;49.97;14.90;151.8;0.800;
1-10;0.155;49.97;14.40;151.4;0.877;
1-11;0.171;49.97;13.80;151.3;0.950;
1-12;0.188;49.97;13.80;151.7;1.023;
1-13;0.205;49.97;13.20;152.3;1.093;
1-14;0.221;49.97;12.90;152.6;1.162;
1-15;0.238;49.97;12.00;153.4;1.227;
1-16;0.255;49.97;12.20;154.3;1.290;
1-17;0.271;49.97;11.90;154.8;1.353;
1-18;0.288;49.97;11.80;155.9;1.415;
1-19;0.305;49.97;11.70;157.2;1.477;
1-20;0.321;49.97;11.30;157.8;1.537;
1-21;0.338;49.97;11.10;159.1;1.595;
1-22;0.355;49.97;10.90;160.5;1.653;
1-23;0.371;49.97;10.90;161.1;1.710;
1-24;0.388;49.97;10.50;162.4;1.766;
1-25;0.405;49.97;10.60;163.7;1.821;
1-26;0.421;49.97;10.20;164.4;1.876;
1-27;0.438;49.97;10.00;165.6;1.929;
1-28;0.455;49.97;9.900;166.7;1.981;
1-29;0.471;49.97;9.500;167.3;2.031;
1-30;0.488;49.97;9.600;168.3;2.081;
1-31;0.505;49.97;9.200;169.3;2.131;
1-32;0.521;49.97;9.200;169.7;2.179;
1-33;0.538;49.97;8.700;170.7;2.226;
1-34;0.555;49.97;8.700;171.5;2.271;
1-35;0.571;49.97;8.600;171.9;2.316;
1-36;0.588;49.97;8.600;172.7;2.361;
1-37;0.605;49.97;8.300;173.5;2.406;
1-38;0.621;49.97;8.000;173.9;2.448;
1-39;0.638;49.97;8.000;174.6;2.490;
1-40;0.655;49.97;7.800;175.3;2.531;
1-41;0.671;49.97;7.700;175.6;2.572;
1-42;0.688;49.97;7.600;176.2;2.612;
1-43;0.705;49.97;7.600;176.9;2.652;
1-44;0.721;49.97;7.400;177.2;2.691;
1-45;0.738;49.97;7.200;177.8;2.729;
1-46;0.755;49.97;7.100;178.3;2.767;
1-47;0.771;49.97;6.900;178.6;2.803;
1-48;0.788;49.97;7.000;179.0;2.840;
1-49;0.805;49.97;6.900;179.6;2.876;
1-50;0.821;49.97;6.700;179.8;2.912;
1-51;0.838;49.97;6.600;180.2;2.946;
1-52;0.855;49.97;6.500;180.7;2.981;
1-53;0.871;49.97;6.500;180.9;3.015;
1-54;0.888;49.97;6.400;181.4;3.049;
1-55;0.905;49.97;6.400;181.7;3.082;
1-56;0.921;49.97;6.200;181.9;3.115;
1-57;0.938;49.97;6.200;182.2;3.147;
1-58;0.955;49.97;6.100;182.6;3.180;
1-59;0.971;49.97;6.100;182.7;3.212;
1-60;0.988;49.97;6.100;183.1;3.243;
1-61;1.005;49.97;6.000;183.4;3.275;
1-62;1.021;49.97;6.000;183.6;3.307;
1-63;1.038;49.97;5.900;183.9;3.338;
1-64;1.055;49.97;5.900;184.2;3.369;
1-65;1.071;49.97;5.800;184.3;3.399;
1-66;1.088;49.97;5.800;184.6;3.429;
1-67;1.105;49.97;5.700;184.9;3.460;
1-68;1.121;49.97;5.800;185.0;3.490;
1-69;1.138;49.97;5.700;185.3;3.520;
1-70;1.155;49.97;5.800;185.5;3.550;
1-71;1.171;49.97;5.700;185.7;3.580;
1-72;1.188;49.97;5.700;185.9;3.610;
1-73;1.205;49.97;5.700;186.1;3.640;
1-74;1.221;49.97;5.700;186.3;3.669;
1-75;1.238;49.97;5.500;186.5;3.699;
1-76;1.255;49.97;5.600;186.7;3.728;
1-77;1.271;49.97;5.600;186.8;3.757;
1-78;1.288;49.97;5.600;187.1;3.786;
1-79;1.305;49.97;5.600;187.3;3.816;
1-80;1.321;49.97;5.500;187.4;3.845;
1-81;1.338;49.97;5.400;187.6;3.873;
1-82;1.355;49.97;5.500;187.8;3.902;
1-83;1.371;49.97;5.400;187.9;3.930;
1-84;1.388;49.97;5.400;188.1;3.959;
1-85;1.405;49.97;5.400;188.2;3.987;
1-86;1.421;49.97;5.400;188.3;4.015;
1-87;1.438;49.97;5.300;188.5;4.043;
1-88;1.455;49.97;5.300;188.6;4.071;
1-89;1.471;49.97;5.200;188.7;4.098;
1-90;1.488;49.97;5.300;188.9;4.126;
1-91;1.505;49.97;5.200;189.1;4.153;
1-92;1.521;49.97;5.300;189.2;4.181;
1-93;1.538;49.97;5.200;189.3;4.208;
1-94;1.555;49.97;5.300;189.4;4.236;
1-95;1.571;49.97;5.100;189.6;4.263;
1-96;1.588;49.97;5.100;189.6;4.290;
1-97;1.605;49.97;5.200;189.8;4.317;
1-98;1.621;49.97;5.200;189.9;4.344;
1-99;1.638;49.97;5.000;190.0;4.370;
1-100;1.655;49.97;5.100;190.2;4.397;
1-101;1.671;49.97;5.000;190.3;4.423;
1-102;1.688;49.97;5.100;190.4;4.450;
1-103;1.705;49.97;5.000;190.5;4.476;
1-104;1.721;49.97;5.100;190.6;4.503;
1-105;1.738;49.97;5.000;190.7;4.529;
1-106;1.755;49.97;5.000;190.8;4.555;
1-107;1.771;49.97;4.900;190.9;4.581;
1-108;1.788;49.97;4.900;191.0;4.607;
1-109;1.805;49.97;4.900;191.1;4.632;
1-110;1.821;49.97;4.900;191.3;4.658;
1-111;1.838;49.97;4.900;191.3;4.684;
1-112;1.855;49.97;4.800;191.5;4.709;
1-113;1.871;49.97;4.800;191.6;4.734;
1-114;1.888;49.97;4.800;191.6;4.759;
1-115;1.905;49.97;4.800;191.8;4.784;
1-116;1.921;49.97;4.900;191.9;4.810;
1-117;1.938;49.97;4.800;192.0;4.835;
1-118;1.955;49.97;4.900;192.1;4.861;
1-119;1.971;49.97;4.800;192.2;4.886;
1-120;1.988;49.97;4.800;192.2;4.911;
1-121;2.005;49.97;4.700;192.4;4.936;
1-122;2.021;49.97;4.800;192.5;4.961;
1-123;2.038;49.97;4.700;192.5;4.986;
1-124;2.055;49.97;4.700;192.6;5.010;
1-125;2.071;49.97;4.700;192.7;5.035;
1-126;2.088;49.97;4.700;192.8;5.059;
