D:\Documents and Settings\All Users\Documents\Thermo\PolySoft\Projects\JanLDHTEST Dec2015.pmp\JanDec_0004.pld


 ;t [min];Revolution Speed [1/min];Torque [Nm];TM [°C];E [kJ];
1-37;0.611;49.97;10.70;172.7;3.654;
1-38;0.628;49.97;10.50;173.4;3.709;
1-39;0.645;49.97;10.30;174.1;3.764;
1-40;0.661;49.97;10.00;174.4;3.817;
1-41;0.678;49.97;9.900;175.1;3.869;
1-42;0.695;49.97;9.600;175.6;3.920;
1-43;0.711;49.97;9.500;176.0;3.970;
1-44;0.728;49.97;9.200;176.5;4.019;
1-45;0.745;49.97;9.100;177.1;4.067;
1-46;0.761;49.97;9.000;177.4;4.114;
1-47;0.778;49.97;8.900;177.9;4.161;
1-48;0.795;49.97;8.700;178.4;4.207;
1-49;0.811;49.97;8.600;178.7;4.252;
1-50;0.828;49.97;8.500;179.1;4.297;
1-51;0.845;49.97;8.300;179.6;4.341;
1-52;0.861;49.97;8.400;179.8;4.385;
1-53;0.878;49.97;8.200;180.3;4.428;
1-54;0.895;49.97;8.100;180.7;4.471;
1-55;0.911;49.97;8.000;180.9;4.513;
1-56;0.928;49.97;8.000;181.2;4.555;
1-57;0.945;49.97;7.900;181.6;4.596;
1-58;0.961;49.97;7.900;181.8;4.638;
1-59;0.978;49.97;7.800;182.1;4.679;
1-60;0.995;49.97;7.600;182.5;4.719;
1-61;1.011;49.97;7.600;182.6;4.759;
1-62;1.028;49.97;7.500;183.0;4.798;
1-63;1.045;49.97;7.500;183.3;4.838;
1-64;1.061;49.97;7.500;183.5;4.877;
1-65;1.078;49.97;7.400;183.7;4.916;
1-66;1.095;49.97;7.400;184.1;4.955;
1-67;1.111;49.97;7.300;184.2;4.993;
1-68;1.128;49.97;7.300;184.5;5.031;
1-69;1.145;49.97;7.100;184.8;5.069;
1-70;1.161;49.97;7.200;184.9;5.106;
1-71;1.178;49.97;7.100;185.2;5.144;
1-72;1.195;49.97;7.100;185.4;5.181;
1-73;1.211;49.97;7.000;185.6;5.218;
1-74;1.228;49.97;7.000;185.8;5.254;
1-75;1.245;49.97;6.900;186.0;5.291;
1-76;1.261;49.97;7.000;186.1;5.327;
1-77;1.278;49.97;6.900;186.3;5.364;
1-78;1.295;49.97;6.800;186.5;5.399;
1-79;1.311;49.97;6.800;186.7;5.435;
1-80;1.328;49.97;6.800;186.8;5.471;
1-81;1.345;49.97;6.700;187.0;5.506;
1-82;1.361;49.97;6.700;187.2;5.541;
1-83;1.378;49.97;6.700;187.3;5.576;
1-84;1.395;49.97;6.700;187.5;5.611;
1-85;1.411;49.97;6.600;187.7;5.646;
1-86;1.428;49.97;6.700;187.7;5.681;
1-87;1.445;49.97;6.500;187.9;5.715;
1-88;1.461;49.97;6.600;188.1;5.749;
1-89;1.478;49.97;6.500;188.2;5.784;
1-90;1.495;49.97;6.500;188.4;5.818;
1-91;1.511;49.97;6.400;188.5;5.852;
1-92;1.528;49.97;6.500;188.6;5.885;
1-93;1.545;49.97;6.400;188.8;5.919;
1-94;1.561;49.97;6.400;188.9;5.953;
1-95;1.578;49.97;6.400;189.0;5.986;
1-96;1.595;49.97;6.300;189.2;6.019;
1-97;1.611;49.97;6.300;189.3;6.052;
1-98;1.628;49.97;6.300;189.4;6.085;
1-99;1.645;49.97;6.200;189.5;6.118;
1-100;1.661;49.97;6.200;189.7;6.150;
1-101;1.678;49.97;6.200;189.8;6.183;
1-102;1.695;49.97;6.200;189.9;6.215;
1-103;1.711;49.97;6.100;190.1;6.247;
1-104;1.728;49.97;6.200;190.1;6.280;
1-105;1.745;49.97;6.100;190.2;6.312;
1-106;1.761;49.97;6.100;190.4;6.344;
1-107;1.778;49.97;6.000;190.5;6.375;
1-108;1.795;49.97;6.100;190.6;6.407;
1-109;1.811;49.97;6.000;190.7;6.439;
1-110;1.828;49.97;6.000;190.8;6.470;
1-111;1.845;49.97;5.900;190.9;6.501;
1-112;1.861;49.97;6.000;191.1;6.532;
1-113;1.878;49.97;5.900;191.1;6.564;
1-114;1.895;49.97;5.900;191.3;6.594;
1-115;1.911;49.97;5.900;191.4;6.625;
1-116;1.928;49.97;5.900;191.4;6.656;
1-117;1.945;49.97;5.800;191.6;6.687;
1-118;1.961;49.97;5.800;191.7;6.717;
1-119;1.978;49.97;5.800;191.8;6.747;
1-120;1.995;49.97;5.800;191.9;6.778;
1-121;2.011;49.97;5.700;191.9;6.808;
1-122;2.028;49.97;5.800;192.0;6.838;
1-123;2.045;49.97;5.700;192.2;6.868;
1-124;2.061;49.97;5.700;192.3;6.898;
1-125;2.078;49.97;5.600;192.3;6.928;
1-126;2.095;49.97;5.700;192.4;6.957;
1-127;2.111;49.97;5.600;192.5;6.987;
1-128;2.128;49.97;5.600;192.6;7.016;
1-129;2.145;49.97;5.600;192.7;7.045;
1-130;2.161;49.97;5.600;192.8;7.075;
1-131;2.178;49.97;5.600;192.8;7.104;
1-132;2.195;49.97;5.500;192.9;7.133;
1-133;2.211;49.97;5.600;193.0;7.162;
1-134;2.228;49.97;5.500;193.1;7.191;
1-135;2.245;49.97;5.500;193.1;7.220;
1-136;2.261;49.97;5.500;193.2;7.249;
1-137;2.278;49.97;5.500;193.3;7.277;
1-138;2.295;49.97;5.500;193.4;7.306;
1-139;2.311;49.97;5.400;193.5;7.335;
1-140;2.328;49.97;5.500;193.6;7.363;
1-141;2.345;49.97;5.400;193.7;7.392;
1-142;2.361;49.97;5.400;193.8;7.420;
1-143;2.378;49.97;5.400;193.9;7.448;
1-144;2.395;49.97;5.500;193.9;7.477;
1-145;2.411;49.97;5.300;194.0;7.505;
1-146;2.428;49.97;5.400;194.1;7.533;
1-147;2.445;49.97;5.400;194.2;7.561;
1-148;2.461;49.97;5.400;194.3;7.590;
1-149;2.478;49.97;5.400;194.4;7.618;
1-150;2.495;49.97;5.300;194.4;7.646;
1-151;2.511;49.97;5.400;194.5;7.674;
1-152;2.528;49.97;5.300;194.6;7.702;
1-153;2.545;49.97;5.300;194.6;7.730;
1-154;2.561;49.97;5.300;194.7;7.757;
1-155;2.578;49.97;5.300;194.8;7.785;
1-156;2.595;49.97;5.200;194.9;7.812;
1-157;2.611;49.97;5.200;194.9;7.840;
1-158;2.628;49.97;5.300;195.1;7.867;
1-159;2.645;49.97;5.100;195.1;7.894;
1-160;2.661;49.97;5.200;195.2;7.921;
1-161;2.678;49.97;5.100;195.3;7.948;
1-162;2.695;49.97;5.200;195.3;7.975;
1-163;2.711;49.97;5.100;195.5;8.002;
1-164;2.728;49.97;5.200;195.5;8.029;
1-165;2.745;49.97;5.100;195.6;8.056;
1-166;2.761;49.97;5.100;195.7;8.083;
1-167;2.778;49.97;5.100;195.8;8.109;
1-168;2.795;49.97;5.000;195.8;8.136;
1-169;2.811;49.97;5.100;195.9;8.162;
1-170;2.828;49.97;5.000;196.0;8.189;
1-171;2.845;49.97;5.000;196.0;8.215;
1-172;2.861;49.97;5.000;196.1;8.241;
1-173;2.878;49.97;5.100;196.2;8.267;
1-174;2.895;49.97;5.000;196.2;8.294;
1-175;2.911;49.97;5.000;196.3;8.320;
1-176;2.928;49.97;5.100;196.4;8.347;
1-177;2.945;49.97;5.000;196.4;8.373;
1-178;2.961;49.97;5.000;196.5;8.399;
1-179;2.978;49.97;5.000;196.6;8.425;
1-180;2.995;49.97;5.000;196.6;8.451;
1-181;3.011;49.97;5.000;196.7;8.478;
1-182;3.028;49.97;5.000;196.8;8.504;
1-183;3.045;49.97;5.000;196.8;8.530;
1-184;3.061;49.97;4.900;196.9;8.556;
1-185;3.078;49.97;5.000;197.0;8.582;
1-186;3.095;49.97;4.900;197.0;8.608;
1-187;3.111;49.97;5.000;197.1;8.634;
1-188;3.128;49.97;4.900;197.2;8.659;
1-189;3.145;49.97;4.900;197.2;8.685;
1-190;3.161;49.97;4.800;197.3;8.710;
1-191;3.178;49.97;4.900;197.4;8.736;
1-192;3.195;49.97;4.800;197.4;8.761;
1-193;3.211;49.97;4.800;197.5;8.786;
1-194;3.228;49.97;4.900;197.6;8.812;
1-195;3.245;49.97;4.800;197.6;8.837;
1-196;3.261;49.97;4.800;197.7;8.862;
1-197;3.278;49.97;4.800;197.7;8.887;
1-198;3.295;49.97;4.800;197.8;8.912;
1-199;3.311;49.97;4.800;197.8;8.938;
1-200;3.328;49.97;4.800;197.9;8.963;
1-201;3.345;49.97;4.800;198.0;8.988;
1-202;3.361;49.97;4.700;198.0;9.013;
1-203;3.378;49.97;4.800;198.1;9.038;
1-204;3.395;49.97;4.700;198.1;9.062;
1-205;3.411;49.97;4.800;198.2;9.087;
1-206;3.428;49.97;4.700;198.3;9.112;
1-207;3.445;49.97;4.700;198.3;9.137;
1-208;3.461;49.97;4.700;198.4;9.161;
1-209;3.478;49.97;4.700;198.4;9.186;
1-210;3.495;49.97;4.700;198.5;9.211;
1-211;3.511;49.97;4.700;198.5;9.235;
1-212;3.528;49.97;4.700;198.6;9.260;
1-213;3.545;49.97;4.700;198.6;9.284;
1-214;3.561;49.97;4.600;198.7;9.309;
1-215;3.578;49.97;4.600;198.8;9.333;
1-216;3.595;49.97;4.700;198.8;9.357;
1-217;3.611;49.97;4.600;198.8;9.381;
1-218;3.628;49.97;4.600;198.9;9.405;
1-219;3.645;49.97;4.700;198.9;9.430;
1-220;3.661;49.97;4.600;199.0;9.454;
1-221;3.678;49.97;4.600;199.1;9.478;
1-222;3.695;49.97;4.600;199.1;9.502;
1-223;3.711;49.97;4.700;199.2;9.527;
1-224;3.728;49.97;4.600;199.2;9.551;
1-225;3.745;49.97;4.600;199.3;9.575;
1-226;3.761;49.97;4.500;199.3;9.599;
1-227;3.778;49.97;4.600;199.4;9.623;
1-228;3.795;49.97;4.500;199.4;9.646;
1-229;3.811;49.97;4.500;199.5;9.670;
1-230;3.828;49.97;4.600;199.5;9.694;
1-231;3.845;49.97;4.500;199.6;9.718;
1-232;3.861;49.97;4.500;199.6;9.741;
1-233;3.878;49.97;4.500;199.7;9.765;
1-234;3.895;49.97;4.600;199.7;9.789;
1-235;3.911;49.97;4.500;199.8;9.812;
1-236;3.928;49.97;4.500;199.8;9.836;
1-237;3.945;49.97;4.600;199.9;9.860;
1-238;3.961;49.97;4.500;199.9;9.884;
1-239;3.978;49.97;4.600;200.0;9.907;
1-240;3.995;49.97;4.500;200.0;9.931;
1-241;4.011;49.97;4.700;200.0;9.955;
1-242;4.028;49.97;4.600;200.1;9.980;
1-243;4.045;49.97;4.600;200.1;10.00;
1-244;4.061;49.97;4.500;200.2;10.03;
1-245;4.078;49.97;4.600;200.2;10.05;
1-246;4.095;49.97;4.500;200.3;10.08;
1-247;4.111;49.97;4.500;200.3;10.10;
1-248;4.128;49.97;4.500;200.4;10.12;
1-249;4.145;49.97;4.500;200.4;10.15;
1-250;4.161;49.97;4.500;200.5;10.17;
1-251;4.178;49.97;4.500;200.5;10.19;
1-252;4.195;49.97;4.500;200.6;10.22;
1-253;4.211;49.97;4.500;200.6;10.24;
1-254;4.228;49.97;4.500;200.6;10.26;
1-255;4.245;49.97;4.500;200.7;10.29;
1-256;4.261;49.97;4.400;200.7;10.31;
1-257;4.278;49.97;4.500;200.8;10.33;
1-258;4.295;49.97;4.400;200.8;10.36;
1-259;4.311;49.97;4.500;200.8;10.38;
1-260;4.328;49.97;4.400;200.9;10.40;
1-261;4.345;49.97;4.500;200.9;10.43;
1-262;4.361;49.97;4.400;200.9;10.45;
1-263;4.378;49.97;4.400;201.0;10.47;
1-264;4.395;49.97;4.400;201.0;10.50;
1-265;4.411;49.97;4.400;201.1;10.52;
1-266;4.428;49.97;4.400;201.1;10.54;
1-267;4.445;49.97;4.400;201.2;10.57;
1-268;4.461;49.97;4.400;201.2;10.59;
1-269;4.478;49.97;4.300;201.2;10.61;
1-270;4.495;49.97;4.400;201.3;10.63;
1-271;4.511;49.97;4.300;201.3;10.66;
1-272;4.528;49.97;4.300;201.3;10.68;
1-273;4.545;49.97;4.400;201.4;10.70;
1-274;4.561;49.97;4.300;201.4;10.72;
1-275;4.578;49.97;4.300;201.4;10.75;
1-276;4.595;49.97;4.300;201.5;10.77;
1-277;4.611;49.97;4.400;201.5;10.79;
1-278;4.628;49.97;4.300;201.6;10.82;
1-279;4.645;49.97;4.300;201.6;10.84;
1-280;4.661;49.97;4.300;201.6;10.86;
1-281;4.678;49.97;4.300;201.7;10.88;
1-282;4.695;49.97;4.300;201.7;10.91;
1-283;4.711;49.97;4.300;201.7;10.93;
1-284;4.728;49.97;4.300;201.8;10.95;
1-285;4.745;49.97;4.300;201.8;10.97;
1-286;4.761;49.97;4.200;201.8;10.99;
1-287;4.778;49.97;4.200;201.9;11.02;
1-288;4.795;49.97;4.300;201.9;11.04;
1-289;4.811;49.97;4.200;201.9;11.06;
1-290;4.828;49.97;4.200;202.0;11.08;
1-291;4.845;49.97;4.300;202.0;11.11;
1-292;4.861;49.97;4.200;202.0;11.13;
1-293;4.878;49.97;4.200;202.0;11.15;
1-294;4.895;49.97;4.200;202.1;11.17;
1-295;4.911;49.97;4.300;202.1;11.19;
1-296;4.928;49.97;4.200;202.1;11.22;
1-297;4.945;49.97;4.200;202.2;11.24;
1-298;4.961;49.97;4.200;202.2;11.26;
1-299;4.978;49.97;4.200;202.2;11.28;
1-300;4.995;49.97;4.200;202.3;11.30;
1-301;5.011;49.97;4.200;202.3;11.33;
1-302;5.028;49.97;4.300;202.3;11.35;
1-303;5.045;49.97;4.200;202.4;11.37;
1-304;5.061;49.97;4.200;202.4;11.39;
1-305;5.078;49.97;4.100;202.4;11.41;
1-306;5.095;49.97;4.200;202.4;11.44;
1-307;5.111;49.97;4.200;202.5;11.46;
1-308;5.128;49.97;4.200;202.5;11.48;
1-309;5.145;49.97;4.200;202.6;11.50;
1-310;5.161;49.97;4.200;202.6;11.52;
1-311;5.178;49.97;4.200;202.6;11.55;
1-312;5.195;49.97;4.100;202.6;11.57;
1-313;5.211;49.97;4.200;202.6;11.59;
1-314;5.228;49.97;4.100;202.7;11.61;
1-315;5.245;49.97;4.100;202.7;11.63;
1-316;5.261;49.97;4.200;202.7;11.65;
1-317;5.278;49.97;4.100;202.8;11.68;
1-318;5.295;49.97;4.100;202.8;11.70;
1-319;5.311;49.97;4.100;202.8;11.72;
1-320;5.328;49.97;4.200;202.8;11.74;
1-321;5.345;49.97;4.100;202.9;11.76;
1-322;5.361;49.97;4.100;202.9;11.78;
1-323;5.378;49.97;4.100;202.9;11.81;
1-324;5.395;49.97;4.100;203.0;11.83;
1-325;5.411;49.97;4.100;203.0;11.85;
1-326;5.428;49.97;4.100;203.0;11.87;
1-327;5.445;49.97;4.100;203.0;11.89;
1-328;5.461;49.97;4.100;203.1;11.91;
1-329;5.478;49.97;4.100;203.1;11.93;
1-330;5.495;49.97;4.100;203.1;11.96;
1-331;5.511;49.97;4.100;203.2;11.98;
1-332;5.528;49.97;4.100;203.2;12.00;
1-333;5.545;49.97;4.100;203.2;12.02;
1-334;5.561;49.97;4.100;203.2;12.04;
1-335;5.578;49.97;4.100;203.3;12.06;
1-336;5.595;49.97;4.100;203.3;12.08;
1-337;5.611;49.97;4.000;203.3;12.11;
1-338;5.628;49.97;4.100;203.3;12.13;
1-339;5.645;49.97;4.000;203.4;12.15;
1-340;5.661;49.97;4.100;203.4;12.17;
1-341;5.678;49.97;4.000;203.4;12.19;
1-342;5.695;49.97;4.100;203.4;12.21;
1-343;5.711;49.97;4.100;203.4;12.23;
1-344;5.728;49.97;4.000;203.5;12.25;
1-345;5.745;49.97;4.100;203.5;12.28;
1-346;5.761;49.97;4.000;203.5;12.30;
1-347;5.778;49.97;4.000;203.6;12.32;
1-348;5.795;49.97;4.000;203.6;12.34;
1-349;5.811;49.97;4.100;203.6;12.36;
1-350;5.828;49.97;4.000;203.6;12.38;
1-351;5.845;49.97;4.000;203.7;12.40;
1-352;5.861;49.97;4.000;203.7;12.42;
1-353;5.878;49.97;4.000;203.7;12.44;
1-354;5.895;49.97;4.000;203.8;12.46;
1-355;5.911;49.97;4.000;203.8;12.49;
1-356;5.928;49.97;4.100;203.8;12.51;
1-357;5.945;49.97;4.000;203.8;12.53;
1-358;5.961;49.97;4.000;203.8;12.55;
1-359;5.978;49.97;3.900;203.9;12.57;
1-360;5.995;49.97;4.000;203.9;12.59;
1-361;6.011;49.97;4.000;203.9;12.61;
1-362;6.028;49.97;4.000;204.0;12.63;
1-363;6.045;49.97;4.000;204.0;12.65;
1-364;6.061;49.97;4.000;204.0;12.67;
1-365;6.078;49.97;4.000;204.0;12.69;
1-366;6.095;49.97;3.900;204.0;12.72;
1-367;6.111;49.97;4.000;204.1;12.74;
1-368;6.128;49.97;4.000;204.1;12.76;
1-369;6.145;49.97;4.000;204.1;12.78;
1-370;6.161;49.97;4.000;204.1;12.80;
1-371;6.178;49.97;3.900;204.2;12.82;
1-372;6.195;49.97;4.000;204.2;12.84;
1-373;6.211;49.97;3.900;204.2;12.86;
1-374;6.228;49.97;4.000;204.2;12.88;
1-375;6.245;49.97;3.900;204.2;12.90;
1-376;6.261;49.97;4.000;204.3;12.92;
1-377;6.278;49.97;3.900;204.3;12.94;
1-378;6.295;49.97;4.000;204.3;12.96;
1-379;6.311;49.97;4.000;204.3;12.99;
1-380;6.328;49.97;3.900;204.4;13.01;
1-381;6.345;49.97;4.000;204.4;13.03;
1-382;6.361;49.97;3.900;204.4;13.05;
1-383;6.378;49.97;3.900;204.4;13.07;
1-384;6.395;49.97;3.900;204.5;13.09;
1-385;6.411;49.97;4.000;204.5;13.11;
1-386;6.428;49.97;3.900;204.5;13.13;
1-387;6.445;49.97;3.900;204.5;13.15;
1-388;6.461;49.97;4.000;204.5;13.17;
1-389;6.478;49.97;3.900;204.5;13.19;
1-390;6.495;49.97;3.900;204.6;13.21;
1-391;6.511;49.97;3.900;204.6;13.23;
1-392;6.528;49.97;3.900;204.6;13.25;
1-393;6.545;49.97;3.900;204.6;13.27;
1-394;6.561;49.97;3.900;204.6;13.29;
1-395;6.578;49.97;3.900;204.7;13.31;
1-396;6.595;49.97;3.900;204.7;13.33;
1-397;6.611;49.97;3.900;204.7;13.35;
1-398;6.628;49.97;3.900;204.7;13.37;
1-399;6.645;49.97;3.900;204.7;13.40;
1-400;6.661;49.97;3.900;204.8;13.42;
1-401;6.678;49.97;3.900;204.8;13.44;
1-402;6.695;49.97;3.800;204.8;13.46;
1-403;6.711;49.97;3.900;204.8;13.48;
1-404;6.728;49.97;3.900;204.8;13.50;
1-405;6.745;49.97;3.900;204.9;13.52;
1-406;6.761;49.97;3.900;204.9;13.54;
1-407;6.778;49.97;3.800;204.9;13.56;
1-408;6.795;49.97;3.900;205.0;13.58;
1-409;6.811;49.97;3.800;205.0;13.60;
1-410;6.828;49.97;3.900;205.0;13.62;
1-411;6.845;49.97;3.900;205.0;13.64;
1-412;6.861;49.97;3.900;205.0;13.66;
1-413;6.878;49.97;3.800;205.0;13.68;
1-414;6.895;49.97;3.800;205.1;13.70;
1-415;6.911;49.97;3.900;205.1;13.72;
1-416;6.928;49.97;3.800;205.1;13.74;
1-417;6.945;49.97;3.900;205.1;13.76;
1-418;6.961;49.97;3.800;205.1;13.78;
1-419;6.978;49.97;3.800;205.1;13.80;
1-420;6.995;49.97;3.800;205.2;13.82;
1-421;7.011;49.97;3.900;205.2;13.84;
1-422;7.028;49.97;3.800;205.2;13.86;
1-423;7.045;49.97;3.800;205.2;13.88;
1-424;7.061;49.97;3.900;205.2;13.90;
1-425;7.078;49.97;3.800;205.2;13.92;
1-426;7.095;49.97;3.800;205.2;13.94;
1-427;7.111;49.97;3.800;205.2;13.96;
1-428;7.128;49.97;3.900;205.2;13.98;
1-429;7.145;49.97;3.800;205.3;14.00;
1-430;7.161;49.97;3.800;205.3;14.02;
1-431;7.178;49.97;3.800;205.3;14.04;
1-432;7.195;49.97;3.800;205.4;14.06;
1-433;7.211;49.97;3.800;205.4;14.08;
1-434;7.228;49.97;3.800;205.4;14.10;
1-435;7.245;49.97;3.900;205.4;14.12;
1-436;7.261;49.97;3.800;205.4;14.14;
1-437;7.278;49.97;3.800;205.4;14.16;
1-438;7.295;49.97;3.700;205.5;14.18;
1-439;7.311;49.97;3.800;205.5;14.20;
1-440;7.328;49.97;3.800;205.5;14.22;
1-441;7.345;49.97;3.800;205.5;14.24;
1-442;7.361;49.97;3.800;205.5;14.26;
1-443;7.378;49.97;3.800;205.5;14.28;
1-444;7.395;49.97;3.800;205.5;14.30;
1-445;7.411;49.97;3.800;205.6;14.32;
1-446;7.428;49.97;3.900;205.6;14.34;
1-447;7.445;49.97;3.800;205.6;14.36;
1-448;7.461;49.97;3.800;205.6;14.38;
1-449;7.478;49.97;3.800;205.6;14.40;
1-450;7.495;49.97;3.800;205.6;14.42;
1-451;7.511;49.97;3.800;205.6;14.44;
1-452;7.528;49.97;3.800;205.6;14.46;
1-453;7.545;49.97;3.800;205.6;14.48;
1-454;7.561;49.97;3.800;205.7;14.50;
1-455;7.578;49.97;3.800;205.7;14.52;
1-456;7.595;49.97;3.700;205.7;14.54;
1-457;7.611;49.97;3.800;205.7;14.56;
1-458;7.628;49.97;3.800;205.7;14.58;
1-459;7.645;49.97;3.800;205.7;14.60;
1-460;7.661;49.97;3.800;205.8;14.62;
1-461;7.678;49.97;3.700;205.8;14.64;
1-462;7.695;49.97;3.800;205.8;14.66;
1-463;7.711;49.97;3.700;205.8;14.68;
1-464;7.728;49.97;3.800;205.8;14.69;
1-465;7.745;49.97;3.800;205.8;14.71;
1-466;7.761;49.97;3.800;205.8;14.73;
1-467;7.778;49.97;3.800;205.8;14.75;
1-468;7.795;49.97;3.700;205.8;14.77;
1-469;7.811;49.97;3.800;205.8;14.79;
1-470;7.828;49.97;3.700;205.9;14.81;
1-471;7.845;49.97;3.800;205.9;14.83;
1-472;7.861;49.97;3.800;205.9;14.85;
1-473;7.878;49.97;3.800;205.9;14.87;
1-474;7.895;49.97;3.700;205.9;14.89;
1-475;7.911;49.97;3.800;205.9;14.91;
1-476;7.928;49.97;3.800;205.9;14.93;
1-477;7.945;49.97;3.800;206.0;14.95;
1-478;7.961;49.97;3.800;206.0;14.97;
1-479;7.978;49.97;3.700;206.0;14.99;
1-480;7.995;49.97;3.700;206.0;15.01;
1-481;8.011;49.97;3.700;206.0;15.03;
1-482;8.028;49.97;3.800;206.0;15.05;
1-483;8.045;49.97;3.800;206.0;15.07;
1-484;8.061;49.97;3.700;206.0;15.09;
1-485;8.078;49.97;3.800;206.0;15.11;
1-486;8.095;49.97;3.700;206.0;15.13;
1-487;8.111;49.97;3.800;206.1;15.15;
1-488;8.128;49.97;3.700;206.1;15.17;
1-489;8.145;49.97;3.800;206.1;15.19;
1-490;8.161;49.97;3.700;206.1;15.21;
1-491;8.178;49.97;3.800;206.1;15.23;
1-492;8.195;49.97;3.700;206.1;15.25;
1-493;8.211;49.97;3.800;206.2;15.27;
1-494;8.228;49.97;3.800;206.2;15.29;
1-495;8.245;49.97;3.700;206.2;15.31;
1-496;8.261;49.97;3.800;206.2;15.32;
1-497;8.278;49.97;3.700;206.2;15.34;
1-498;8.295;49.97;3.700;206.2;15.36;
1-499;8.311;49.97;3.700;206.2;15.38;
1-500;8.328;49.97;3.800;206.2;15.40;
1-501;8.345;49.97;3.700;206.2;15.42;
1-502;8.361;49.97;3.700;206.3;15.44;
1-503;8.378;49.97;3.800;206.3;15.46;
1-504;8.395;49.97;3.700;206.3;15.48;
1-505;8.411;49.97;3.800;206.3;15.50;
1-506;8.428;49.97;3.700;206.3;15.52;
1-507;8.445;49.97;3.800;206.3;15.54;
1-508;8.461;49.97;3.700;206.3;15.56;
1-509;8.478;49.97;3.800;206.4;15.58;
1-510;8.495;49.97;3.700;206.4;15.60;
1-511;8.511;49.97;3.700;206.4;15.62;
1-512;8.528;49.97;3.800;206.4;15.64;
1-513;8.545;49.97;3.700;206.4;15.66;
1-514;8.561;49.97;3.800;206.4;15.68;
1-515;8.578;49.97;3.800;206.4;15.70;
1-516;8.595;49.97;3.800;206.4;15.72;
1-517;8.611;49.97;3.800;206.4;15.74;
1-518;8.628;49.97;3.900;206.4;15.76;
1-519;8.645;49.97;3.900;206.4;15.78;
1-520;8.661;49.97;3.900;206.5;15.80;
1-521;8.678;49.97;3.900;206.4;15.82;
1-522;8.695;49.97;3.800;206.4;15.84;
1-523;8.711;49.97;3.800;206.5;15.86;
1-524;8.728;49.97;3.800;206.5;15.88;
1-525;8.745;49.97;3.900;206.5;15.90;
1-526;8.761;49.97;3.800;206.5;15.92;
1-527;8.778;49.97;3.800;206.5;15.94;
1-528;8.795;49.97;3.800;206.5;15.96;
1-529;8.811;49.97;3.800;206.5;15.98;
1-530;8.828;49.97;3.800;206.5;16.00;
1-531;8.845;49.97;3.800;206.5;16.02;
1-532;8.861;49.97;3.900;206.6;16.04;
1-533;8.878;49.97;3.800;206.6;16.06;
1-534;8.895;49.97;3.800;206.6;16.08;
1-535;8.911;49.97;3.700;206.6;16.10;
1-536;8.928;49.97;3.800;206.6;16.12;
1-537;8.945;49.97;3.800;206.6;16.14;
1-538;8.961;49.97;3.800;206.6;16.16;
1-539;8.978;49.97;3.800;206.6;16.18;
1-540;8.995;49.97;3.800;206.6;16.20;
1-541;9.011;49.97;3.800;206.7;16.22;
1-542;9.028;49.97;3.800;206.7;16.24;
1-543;9.045;49.97;3.800;206.7;16.26;
1-544;9.061;49.97;3.800;206.7;16.28;
1-545;9.078;49.97;3.800;206.7;16.30;
1-546;9.095;49.97;3.800;206.7;16.32;
1-547;9.111;49.97;3.800;206.7;16.34;
1-548;9.128;49.97;3.800;206.7;16.36;
1-549;9.145;49.97;3.800;206.8;16.38;
1-550;9.161;49.97;3.800;206.7;16.40;
1-551;9.178;49.97;3.800;206.8;16.42;
