D:\Documents and Settings\All Users\Documents\Thermo\PolySoft\Projects\JanLDHTEST Dec2015.pmp\JanDec_0004.pld


 ;t [min];Revolution Speed [1/min];Torque [Nm];TM [°C];E [kJ];
1-1;0.01120;49.97;29.40;169.0;0.02585;
1-2;0.02787;49.97;37.20;163.9;0.200;
1-3;0.04453;49.97;30.70;157.4;0.378;
1-4;0.06120;49.97;29.50;155.3;0.535;
1-5;0.07787;49.97;28.30;152.2;0.687;
1-6;0.09453;49.97;25.10;150.7;0.826;
1-7;0.111;49.97;25.60;150.3;0.959;
1-8;0.128;49.97;24.70;150.0;1.091;
1-9;0.145;49.97;23.70;150.3;1.217;
1-10;0.161;49.97;23.80;150.5;1.341;
1-11;0.178;49.97;22.90;151.3;1.464;
1-12;0.195;49.97;21.70;152.1;1.580;
1-13;0.211;49.97;21.30;152.5;1.693;
1-14;0.228;49.97;20.90;153.4;1.803;
1-15;0.245;49.97;20.30;154.4;1.911;
1-16;0.261;49.97;19.90;154.9;2.016;
1-17;0.278;49.97;19.50;156.0;2.119;
1-18;0.295;49.97;18.60;157.2;2.219;
1-19;0.311;49.97;18.40;157.7;2.316;
1-20;0.328;49.97;17.40;158.8;2.410;
1-21;0.345;49.97;17.20;160.0;2.500;
1-22;0.361;49.97;16.90;160.5;2.589;
1-23;0.378;49.97;16.30;161.5;2.676;
1-24;0.395;49.97;15.60;162.7;2.760;
1-25;0.411;49.97;15.40;163.2;2.841;
1-26;0.428;49.97;14.80;164.3;2.920;
1-27;0.445;49.97;14.70;165.3;2.997;
1-28;0.461;49.97;14.00;165.9;3.072;
1-29;0.478;49.97;13.70;166.9;3.145;
1-30;0.495;49.97;13.10;167.9;3.215;
1-31;0.511;49.97;12.90;168.4;3.283;
1-32;0.528;49.97;12.60;169.3;3.350;
1-33;0.545;49.97;11.90;170.2;3.414;
1-34;0.561;49.97;11.90;170.6;3.476;
1-35;0.578;49.97;11.60;171.5;3.537;
1-36;0.595;49.97;11.10;172.2;3.597;
