D:\Documents and Settings\All Users\Documents\Thermo\PolySoft\Projects\JanLDHTEST Dec2015.pmp\JanDec_0014.pld


 ;t [min];Revolution Speed [1/min];Torque [Nm];TM [°C];E [kJ];
1-1;0.01277;49.97;27.30;182.9;0.02736;
1-2;0.02943;49.97;26.40;179.7;0.168;
1-3;0.04610;49.97;22.60;170.1;0.296;
1-4;0.06277;49.97;21.30;163.3;0.411;
1-5;0.07943;49.97;20.50;160.7;0.520;
1-6;0.09610;49.97;18.10;156.8;0.621;
1-7;0.113;49.97;17.20;154.5;0.714;
1-8;0.129;49.97;16.00;153.8;0.801;
1-9;0.146;49.97;16.00;152.7;0.884;
1-10;0.163;49.97;15.10;151.9;0.966;
1-11;0.179;49.97;14.40;151.6;1.043;
1-12;0.196;49.97;13.60;151.6;1.116;
1-13;0.213;49.97;13.60;152.1;1.187;
1-14;0.229;49.97;13.00;152.5;1.257;
1-15;0.246;49.97;12.90;153.1;1.325;
1-16;0.263;49.97;12.50;153.9;1.391;
1-17;0.279;49.97;12.20;154.4;1.456;
1-18;0.296;49.97;11.50;155.4;1.518;
1-19;0.313;49.97;11.60;156.6;1.578;
1-20;0.329;49.97;11.10;157.3;1.638;
1-21;0.346;49.97;11.10;158.6;1.696;
1-22;0.363;49.97;11.20;159.9;1.754;
1-23;0.379;49.97;10.90;160.5;1.812;
1-24;0.396;49.97;10.90;161.7;1.869;
1-25;0.413;49.97;10.70;162.9;1.925;
1-26;0.429;49.97;10.60;163.5;1.981;
1-27;0.446;49.97;10.40;164.6;2.036;
1-28;0.463;49.97;10.30;165.8;2.090;
1-29;0.479;49.97;10.10;166.3;2.144;
1-30;0.496;49.97;9.500;167.3;2.195;
1-31;0.513;49.97;9.700;168.3;2.245;
1-32;0.529;49.97;9.300;168.8;2.295;
1-33;0.546;49.97;9.400;169.8;2.344;
1-34;0.563;49.97;9.000;170.6;2.392;
1-35;0.579;49.97;9.100;171.0;2.439;
1-36;0.596;49.97;8.700;171.8;2.486;
1-37;0.613;49.97;8.700;172.7;2.531;
1-38;0.629;49.97;8.500;173.1;2.576;
1-39;0.646;49.97;8.200;173.8;2.620;
1-40;0.663;49.97;8.300;174.6;2.663;
1-41;0.679;49.97;8.100;174.9;2.706;
1-42;0.696;49.97;7.800;175.5;2.748;
1-43;0.713;49.97;7.900;176.1;2.789;
1-44;0.729;49.97;7.700;176.4;2.830;
1-45;0.746;49.97;7.600;176.9;2.870;
1-46;0.763;49.97;7.400;177.5;2.909;
1-47;0.779;49.97;7.500;177.7;2.948;
1-48;0.796;49.97;7.200;178.2;2.987;
1-49;0.813;49.97;7.300;178.7;3.024;
1-50;0.829;49.97;7.000;178.9;3.062;
1-51;0.846;49.97;7.100;179.4;3.099;
1-52;0.863;49.97;6.900;179.8;3.135;
1-53;0.879;49.97;6.900;180.0;3.172;
1-54;0.896;49.97;6.600;180.4;3.207;
1-55;0.913;49.97;6.600;180.8;3.241;
1-56;0.929;49.97;6.600;181.0;3.276;
1-57;0.946;49.97;6.500;181.3;3.310;
1-58;0.963;49.97;6.400;181.6;3.344;
1-59;0.979;49.97;6.300;181.8;3.377;
1-60;0.996;49.97;6.400;182.1;3.410;
