D:\Documents and Settings\All Users\Documents\Thermo\PolySoft\Projects\JanLDHTEST Dec2015.pmp\JanDec_0002.pld


 ;t [min];Revolution Speed [1/min];Torque [Nm];TM [°C];E [kJ];
1-1;0.004417;49.97;41.50;167.3;0.01439;
1-2;0.02108;49.97;33.70;161.8;0.211;
1-3;0.03775;49.97;31.10;158.3;0.381;
1-4;0.05442;49.97;28.20;153.5;0.536;
1-5;0.07108;49.97;28.60;151.0;0.685;
1-6;0.08775;49.97;25.90;150.3;0.827;
1-7;0.104;49.97;25.00;149.5;0.960;
1-8;0.121;49.97;24.00;149.1;1.089;
1-9;0.138;49.97;23.80;149.0;1.214;
1-10;0.154;49.97;23.40;149.4;1.337;
1-11;0.171;49.97;23.10;150.3;1.459;
1-12;0.188;49.97;22.50;150.8;1.578;
1-13;0.204;49.97;21.60;151.9;1.693;
1-14;0.221;49.97;21.30;152.7;1.806;
1-15;0.238;49.97;20.30;153.2;1.915;
1-16;0.254;49.97;20.00;154.2;2.020;
1-17;0.271;49.97;19.60;155.4;2.124;
1-18;0.288;49.97;19.10;155.9;2.225;
1-19;0.304;49.97;18.30;157.0;2.323;
1-20;0.321;49.97;18.40;158.2;2.419;
1-21;0.338;49.97;17.70;158.8;2.513;
1-22;0.354;49.97;17.10;160.0;2.604;
1-23;0.371;49.97;16.80;161.1;2.693;
1-24;0.388;49.97;16.40;161.7;2.780;
1-25;0.404;49.97;15.80;162.7;2.864;
1-26;0.421;49.97;15.10;163.8;2.945;
1-27;0.438;49.97;15.00;164.3;3.024;
1-28;0.454;49.97;14.20;165.3;3.100;
1-29;0.471;49.97;14.10;166.3;3.174;
1-30;0.488;49.97;13.50;166.8;3.246;
1-31;0.504;49.97;13.30;167.7;3.317;
1-32;0.521;49.97;12.60;168.6;3.384;
1-33;0.538;49.97;12.40;169.1;3.450;
1-34;0.554;49.97;11.90;170.0;3.513;
1-35;0.571;49.97;11.80;170.8;3.575;
1-36;0.588;49.97;11.50;171.2;3.636;
1-37;0.604;49.97;11.20;172.0;3.696;
1-38;0.621;49.97;10.90;172.7;3.754;
1-39;0.638;49.97;10.60;173.1;3.810;
1-40;0.654;49.97;10.40;173.8;3.865;
1-41;0.671;49.97;10.30;174.4;3.919;
1-42;0.688;49.97;10.00;174.7;3.972;
1-43;0.704;49.97;9.800;175.3;4.024;
1-44;0.721;49.97;9.600;175.9;4.075;
1-45;0.738;49.97;9.600;176.2;4.125;
1-46;0.754;49.97;9.200;176.8;4.174;
1-47;0.771;49.97;9.300;177.3;4.222;
1-48;0.788;49.97;9.000;177.6;4.270;
1-49;0.804;49.97;9.000;178.1;4.317;
1-50;0.821;49.97;8.700;178.5;4.364;
1-51;0.838;49.97;8.800;178.8;4.410;
1-52;0.854;49.97;8.600;179.2;4.455;
1-53;0.871;49.97;8.500;179.6;4.500;
1-54;0.888;49.97;8.400;179.9;4.544;
1-55;0.904;49.97;8.300;180.3;4.588;
1-56;0.921;49.97;8.200;180.7;4.631;
1-57;0.938;49.97;8.200;180.9;4.674;
1-58;0.954;49.97;8.100;181.3;4.716;
1-59;0.971;49.97;8.100;181.7;4.759;
1-60;0.988;49.97;8.000;181.8;4.801;
1-61;1.004;49.97;7.900;182.2;4.843;
1-62;1.021;49.97;7.800;182.5;4.884;
1-63;1.038;49.97;7.900;182.7;4.925;
1-64;1.054;49.97;7.600;183.0;4.965;
1-65;1.071;49.97;7.700;183.3;5.005;
1-66;1.088;49.97;7.600;183.5;5.045;
1-67;1.104;49.97;7.700;183.7;5.085;
1-68;1.121;49.97;7.500;184.0;5.125;
1-69;1.138;49.97;7.500;184.2;5.164;
1-70;1.154;49.97;7.400;184.5;5.203;
1-71;1.171;49.97;7.400;184.7;5.242;
1-72;1.188;49.97;7.400;184.9;5.281;
1-73;1.204;49.97;7.300;185.1;5.319;
1-74;1.221;49.97;7.200;185.3;5.357;
1-75;1.238;49.97;7.200;185.4;5.395;
1-76;1.254;49.97;7.100;185.7;5.432;
1-77;1.271;49.97;7.100;185.9;5.470;
1-78;1.288;49.97;7.100;186.0;5.507;
1-79;1.304;49.97;7.100;186.3;5.544;
1-80;1.321;49.97;6.900;186.5;5.581;
1-81;1.338;49.97;7.000;186.6;5.617;
1-82;1.354;49.97;6.800;186.8;5.653;
1-83;1.371;49.97;7.000;187.0;5.689;
1-84;1.388;49.97;6.800;187.1;5.725;
