D:\Documents and Settings\All Users\Documents\Thermo\PolySoft\Projects\JanLDHTEST Dec2015.pmp\JanDec_0008.pld


 ;t [min];Revolution Speed [1/min];Torque [Nm];TM [°C];E [kJ];
1-1;0.0007833;49.97;31.80;187.8;0.001955;
1-2;0.01745;49.97;22.60;180.8;0.144;
1-3;0.03412;49.97;19.90;169.5;0.256;
1-4;0.05078;49.97;18.20;165.1;0.355;
1-5;0.06745;49.97;16.50;158.5;0.446;
1-6;0.08412;49.97;16.00;154.8;0.531;
1-7;0.101;49.97;15.20;153.4;0.613;
1-8;0.117;49.97;14.90;151.4;0.691;
1-9;0.134;49.97;14.50;150.4;0.768;
1-10;0.151;49.97;13.90;150.3;0.843;
1-11;0.167;49.97;13.10;150.4;0.913;
1-12;0.184;49.97;13.00;150.7;0.982;
1-13;0.201;49.97;12.40;150.7;1.048;
1-14;0.217;49.97;12.20;151.0;1.112;
1-15;0.234;49.97;11.90;151.4;1.176;
1-16;0.251;49.97;11.70;151.8;1.237;
1-17;0.267;49.97;11.30;152.6;1.297;
1-18;0.284;49.97;11.30;153.5;1.357;
1-19;0.301;49.97;11.00;153.9;1.415;
1-20;0.317;49.97;10.80;154.8;1.472;
1-21;0.334;49.97;10.60;155.7;1.528;
1-22;0.351;49.97;10.60;156.1;1.583;
1-23;0.367;49.97;10.40;157.0;1.638;
1-24;0.384;49.97;10.40;158.0;1.693;
1-25;0.401;49.97;10.00;158.5;1.746;
1-26;0.417;49.97;10.10;159.6;1.799;
1-27;0.434;49.97;10.00;160.6;1.851;
1-28;0.451;49.97;10.00;161.1;1.904;
1-29;0.467;49.97;9.600;162.1;1.955;
1-30;0.484;49.97;9.600;163.0;2.005;
1-31;0.501;49.97;9.400;163.5;2.055;
1-32;0.517;49.97;9.200;164.4;2.104;
1-33;0.534;49.97;9.100;165.4;2.152;
1-34;0.551;49.97;9.200;165.9;2.199;
1-35;0.567;49.97;8.800;166.8;2.247;
1-36;0.584;49.97;8.800;167.6;2.293;
1-37;0.601;49.97;8.500;167.9;2.338;
1-38;0.617;49.97;8.500;168.8;2.382;
1-39;0.634;49.97;8.400;169.6;2.427;
1-40;0.651;49.97;8.100;170.0;2.470;
1-41;0.667;49.97;8.100;170.6;2.512;
1-42;0.684;49.97;7.900;171.3;2.554;
1-43;0.701;49.97;7.700;171.7;2.595;
1-44;0.717;49.97;7.700;172.4;2.635;
1-45;0.734;49.97;7.600;173.1;2.675;
1-46;0.751;49.97;7.500;173.3;2.715;
1-47;0.767;49.97;7.400;174.0;2.754;
