D:\Documents and Settings\All Users\Documents\Thermo\PolySoft\Projects\JanLDHTEST Dec2015.pmp\JanDec_0006.pld


 ;t [min];Revolution Speed [1/min];Torque [Nm];TM [°C];E [kJ];
1-1;0.01302;49.97;44.50;170.7;0.04547;
1-2;0.02968;49.97;38.40;164.0;0.262;
1-3;0.04635;49.97;34.50;157.5;0.453;
1-4;0.06302;49.97;30.90;153.0;0.624;
1-5;0.07968;49.97;31.70;151.3;0.788;
1-6;0.09635;49.97;27.30;149.7;0.942;
1-7;0.113;49.97;28.00;149.4;1.087;
1-8;0.130;49.97;26.80;149.4;1.231;
1-9;0.146;49.97;25.70;149.9;1.368;
1-10;0.163;49.97;24.40;150.7;1.499;
1-11;0.180;49.97;24.40;151.1;1.627;
1-12;0.196;49.97;23.90;151.9;1.753;
1-13;0.213;49.97;23.80;152.9;1.878;
1-14;0.230;49.97;22.60;153.4;1.999;
1-15;0.246;49.97;21.50;154.4;2.115;
1-16;0.263;49.97;21.20;155.4;2.226;
1-17;0.280;49.97;20.70;155.8;2.336;
1-18;0.296;49.97;20.10;156.9;2.443;
1-19;0.313;49.97;19.90;157.9;2.548;
1-20;0.330;49.97;19.30;158.4;2.650;
1-21;0.346;49.97;18.50;159.4;2.749;
1-22;0.363;49.97;17.90;160.6;2.844;
1-23;0.380;49.97;17.30;161.2;2.936;
1-24;0.396;49.97;16.90;162.2;3.026;
1-25;0.413;49.97;16.60;163.3;3.113;
1-26;0.430;49.97;16.10;163.9;3.199;
1-27;0.446;49.97;15.40;164.9;3.281;
1-28;0.463;49.97;14.90;165.8;3.361;
1-29;0.480;49.97;14.70;166.3;3.438;
1-30;0.496;49.97;13.90;167.3;3.513;
1-31;0.513;49.97;13.90;168.2;3.586;
1-32;0.530;49.97;13.30;168.6;3.657;
1-33;0.546;49.97;13.00;169.5;3.726;
1-34;0.563;49.97;12.40;170.4;3.792;
1-35;0.580;49.97;12.30;170.8;3.857;
1-36;0.596;49.97;11.90;171.6;3.920;
1-37;0.613;49.97;11.60;172.3;3.982;
1-38;0.630;49.97;11.40;172.7;4.042;
1-39;0.646;49.97;11.00;173.4;4.100;
1-40;0.663;49.97;10.70;174.1;4.157;
1-41;0.680;49.97;10.50;174.4;4.213;
1-42;0.696;49.97;10.30;175.0;4.267;
1-43;0.713;49.97;10.20;175.6;4.321;
1-44;0.730;49.97;9.900;175.9;4.373;
1-45;0.746;49.97;9.800;176.4;4.425;
1-46;0.763;49.97;9.700;177.0;4.476;
1-47;0.780;49.97;9.500;177.3;4.526;
1-48;0.796;49.97;9.200;177.8;4.575;
1-49;0.813;49.97;9.300;178.3;4.624;
1-50;0.830;49.97;9.000;178.5;4.671;
1-51;0.846;49.97;8.900;179.0;4.718;
1-52;0.863;49.97;8.700;179.5;4.764;
1-53;0.880;49.97;8.700;179.7;4.810;
1-54;0.896;49.97;8.500;180.1;4.855;
1-55;0.913;49.97;8.500;180.6;4.899;
1-56;0.930;49.97;8.400;180.8;4.944;
1-57;0.946;49.97;8.300;181.2;4.987;
1-58;0.963;49.97;8.200;181.6;5.030;
1-59;0.980;49.97;8.200;181.8;5.073;
1-60;0.996;49.97;8.000;182.1;5.116;
1-61;1.013;49.97;8.000;182.5;5.158;
1-62;1.030;49.97;8.000;182.6;5.199;
1-63;1.046;49.97;7.900;183.0;5.241;
1-64;1.063;49.97;7.800;183.3;5.282;
1-65;1.080;49.97;7.800;183.5;5.323;
1-66;1.096;49.97;7.600;183.8;5.363;
1-67;1.113;49.97;7.700;184.1;5.403;
