D:\Documents and Settings\All Users\Documents\Thermo\PolySoft\Projects\JanLDHTEST Dec2015.pmp\JanDec_0006.pld


 ;t [min];Revolution Speed [1/min];Torque [Nm];TM [°C];E [kJ];
1-68;1.130;49.97;7.500;184.2;5.443;
1-69;1.146;49.97;7.600;184.5;5.483;
1-70;1.163;49.97;7.400;184.8;5.522;
1-71;1.180;49.97;7.500;184.9;5.561;
1-72;1.196;49.97;7.300;185.2;5.600;
1-73;1.213;49.97;7.400;185.4;5.638;
1-74;1.230;49.97;7.300;185.6;5.676;
1-75;1.246;49.97;7.300;185.8;5.715;
1-76;1.263;49.97;7.200;186.0;5.753;
1-77;1.280;49.97;7.200;186.1;5.790;
1-78;1.296;49.97;7.100;186.3;5.828;
1-79;1.313;49.97;7.100;186.6;5.865;
1-80;1.330;49.97;7.100;186.7;5.902;
1-81;1.346;49.97;7.100;186.9;5.939;
1-82;1.363;49.97;6.900;187.1;5.976;
1-83;1.380;49.97;7.000;187.2;6.012;
1-84;1.396;49.97;6.800;187.4;6.048;
1-85;1.413;49.97;6.900;187.6;6.084;
1-86;1.430;49.97;6.800;187.7;6.120;
1-87;1.446;49.97;6.900;187.9;6.156;
1-88;1.463;49.97;6.700;188.1;6.191;
1-89;1.480;49.97;6.800;188.1;6.227;
1-90;1.496;49.97;6.700;188.3;6.262;
1-91;1.513;49.97;6.700;188.5;6.297;
1-92;1.530;49.97;6.700;188.6;6.332;
1-93;1.546;49.97;6.600;188.8;6.367;
1-94;1.563;49.97;6.600;188.9;6.402;
1-95;1.580;49.97;6.600;189.0;6.436;
1-96;1.596;49.97;6.500;189.2;6.470;
1-97;1.613;49.97;6.500;189.3;6.504;
1-98;1.630;49.97;6.500;189.4;6.538;
1-99;1.646;49.97;6.500;189.5;6.572;
1-100;1.663;49.97;6.500;189.7;6.606;
1-101;1.680;49.97;6.500;189.8;6.640;
1-102;1.696;49.97;6.300;189.9;6.674;
1-103;1.713;49.97;6.400;190.0;6.707;
1-104;1.730;49.97;6.300;190.1;6.740;
1-105;1.746;49.97;6.300;190.3;6.773;
1-106;1.763;49.97;6.200;190.5;6.806;
1-107;1.780;49.97;6.300;190.5;6.839;
1-108;1.796;49.97;6.200;190.6;6.872;
1-109;1.813;49.97;6.200;190.8;6.904;
1-110;1.830;49.97;6.200;190.8;6.936;
1-111;1.846;49.97;6.200;190.9;6.969;
1-112;1.863;49.97;6.100;191.1;7.001;
1-113;1.880;49.97;6.100;191.1;7.033;
1-114;1.896;49.97;6.000;191.3;7.065;
1-115;1.913;49.97;6.000;191.4;7.096;
1-116;1.930;49.97;6.100;191.4;7.128;
1-117;1.946;49.97;6.000;191.5;7.159;
1-118;1.963;49.97;6.000;191.7;7.191;
1-119;1.980;49.97;6.100;191.7;7.222;
1-120;1.996;49.97;5.900;191.9;7.254;
1-121;2.013;49.97;6.000;192.0;7.285;
1-122;2.030;49.97;6.000;192.1;7.316;
1-123;2.046;49.97;6.000;192.1;7.348;
1-124;2.063;49.97;5.900;192.2;7.379;
1-125;2.080;49.97;6.000;192.3;7.410;
1-126;2.096;49.97;5.900;192.4;7.441;
1-127;2.113;49.97;5.900;192.5;7.472;
1-128;2.130;49.97;5.900;192.6;7.503;
1-129;2.146;49.97;5.800;192.7;7.534;
1-130;2.163;49.97;5.800;192.8;7.564;
1-131;2.180;49.97;5.800;192.8;7.594;
1-132;2.196;49.97;5.800;193.0;7.625;
1-133;2.213;49.97;5.700;193.1;7.655;
1-134;2.230;49.97;5.800;193.1;7.685;
1-135;2.246;49.97;5.700;193.2;7.715;
1-136;2.263;49.97;5.700;193.3;7.745;
1-137;2.280;49.97;5.700;193.4;7.775;
1-138;2.296;49.97;5.600;193.5;7.804;
1-139;2.313;49.97;5.700;193.6;7.834;
1-140;2.330;49.97;5.600;193.6;7.863;
1-141;2.346;49.97;5.700;193.7;7.893;
1-142;2.363;49.97;5.600;193.8;7.922;
1-143;2.380;49.97;5.600;193.9;7.952;
1-144;2.396;49.97;5.600;194.0;7.981;
1-145;2.413;49.97;5.600;194.1;8.010;
1-146;2.430;49.97;5.600;194.1;8.040;
1-147;2.446;49.97;5.600;194.2;8.069;
1-148;2.463;49.97;5.600;194.3;8.098;
1-149;2.480;49.97;5.500;194.4;8.127;
1-150;2.496;49.97;5.500;194.4;8.156;
1-151;2.513;49.97;5.500;194.5;8.185;
1-152;2.530;49.97;5.500;194.6;8.214;
1-153;2.546;49.97;5.500;194.7;8.242;
1-154;2.563;49.97;5.500;194.8;8.271;
1-155;2.580;49.97;5.500;194.8;8.300;
1-156;2.596;49.97;5.400;194.9;8.328;
1-157;2.613;49.97;5.400;195.0;8.357;
1-158;2.630;49.97;5.400;195.0;8.385;
1-159;2.646;49.97;5.400;195.1;8.413;
1-160;2.663;49.97;5.400;195.2;8.441;
1-161;2.680;49.97;5.400;195.3;8.470;
1-162;2.696;49.97;5.400;195.4;8.498;
1-163;2.713;49.97;5.300;195.5;8.526;
1-164;2.730;49.97;5.300;195.5;8.554;
1-165;2.746;49.97;5.300;195.6;8.581;
1-166;2.763;49.97;5.400;195.7;8.609;
1-167;2.780;49.97;5.300;195.7;8.637;
1-168;2.796;49.97;5.300;195.8;8.665;
1-169;2.813;49.97;5.200;195.9;8.693;
1-170;2.830;49.97;5.300;196.0;8.720;
1-171;2.846;49.97;5.200;196.0;8.748;
1-172;2.863;49.97;5.300;196.1;8.775;
1-173;2.880;49.97;5.200;196.2;8.803;
1-174;2.896;49.97;5.200;196.2;8.830;
1-175;2.913;49.97;5.100;196.3;8.857;
1-176;2.930;49.97;5.200;196.4;8.884;
1-177;2.946;49.97;5.200;196.4;8.911;
1-178;2.963;49.97;5.200;196.5;8.938;
1-179;2.980;49.97;5.200;196.6;8.965;
1-180;2.996;49.97;5.200;196.6;8.993;
1-181;3.013;49.97;5.100;196.7;9.020;
1-182;3.030;49.97;5.200;196.8;9.046;
1-183;3.046;49.97;5.100;196.8;9.073;
1-184;3.063;49.97;5.200;196.9;9.100;
1-185;3.080;49.97;5.100;197.0;9.127;
1-186;3.096;49.97;5.100;197.0;9.154;
1-187;3.113;49.97;5.000;197.1;9.180;
1-188;3.130;49.97;5.100;197.2;9.207;
1-189;3.146;49.97;5.000;197.2;9.233;
1-190;3.163;49.97;5.100;197.3;9.260;
1-191;3.180;49.97;5.000;197.4;9.286;
1-192;3.196;49.97;5.100;197.4;9.313;
1-193;3.213;49.97;5.000;197.4;9.339;
1-194;3.230;49.97;5.000;197.5;9.365;
1-195;3.246;49.97;5.000;197.6;9.391;
1-196;3.263;49.97;5.000;197.6;9.417;
1-197;3.280;49.97;5.000;197.7;9.444;
1-198;3.296;49.97;5.000;197.8;9.470;
1-199;3.313;49.97;4.900;197.8;9.496;
1-200;3.330;49.97;5.000;197.9;9.522;
1-201;3.346;49.97;4.900;198.0;9.548;
1-202;3.363;49.97;5.000;198.0;9.573;
1-203;3.380;49.97;4.900;198.1;9.599;
1-204;3.396;49.97;5.000;198.1;9.625;
1-205;3.413;49.97;4.900;198.2;9.651;
1-206;3.430;49.97;5.000;198.2;9.677;
1-207;3.446;49.97;4.900;198.2;9.703;
1-208;3.463;49.97;4.900;198.3;9.729;
1-209;3.480;49.97;4.900;198.4;9.754;
1-210;3.496;49.97;4.900;198.5;9.780;
1-211;3.513;49.97;4.800;198.5;9.805;
1-212;3.530;49.97;4.900;198.6;9.831;
1-213;3.546;49.97;4.900;198.6;9.856;
1-214;3.563;49.97;4.900;198.7;9.882;
1-215;3.580;49.97;4.800;198.8;9.907;
1-216;3.596;49.97;4.900;198.8;9.933;
1-217;3.613;49.97;4.800;198.8;9.958;
1-218;3.630;49.97;4.800;198.9;9.983;
1-219;3.646;49.97;4.800;198.9;10.01;
1-220;3.663;49.97;4.900;199.0;10.03;
1-221;3.680;49.97;4.800;199.1;10.06;
1-222;3.696;49.97;4.800;199.1;10.08;
1-223;3.713;49.97;4.800;199.2;10.11;
1-224;3.730;49.97;4.800;199.2;10.13;
1-225;3.746;49.97;4.800;199.2;10.16;
1-226;3.763;49.97;4.800;199.3;10.18;
1-227;3.780;49.97;4.800;199.4;10.21;
1-228;3.796;49.97;4.800;199.4;10.23;
1-229;3.813;49.97;4.700;199.5;10.26;
1-230;3.830;49.97;4.700;199.5;10.28;
1-231;3.846;49.97;4.800;199.5;10.31;
1-232;3.863;49.97;4.700;199.6;10.33;
1-233;3.880;49.97;4.700;199.6;10.36;
1-234;3.896;49.97;4.800;199.7;10.38;
1-235;3.913;49.97;4.700;199.8;10.41;
1-236;3.930;49.97;4.700;199.8;10.43;
1-237;3.946;49.97;4.700;199.8;10.46;
1-238;3.963;49.97;4.800;199.9;10.48;
1-239;3.980;49.97;4.700;199.9;10.51;
1-240;3.996;49.97;4.800;200.0;10.53;
1-241;4.013;49.97;4.700;200.0;10.56;
1-242;4.030;49.97;4.700;200.0;10.58;
1-243;4.046;49.97;4.700;200.1;10.61;
1-244;4.063;49.97;4.700;200.1;10.63;
1-245;4.080;49.97;4.700;200.2;10.66;
1-246;4.096;49.97;4.700;200.2;10.68;
1-247;4.113;49.97;4.700;200.3;10.70;
1-248;4.130;49.97;4.600;200.3;10.73;
1-249;4.146;49.97;4.700;200.3;10.75;
1-250;4.163;49.97;4.600;200.4;10.78;
1-251;4.180;49.97;4.600;200.4;10.80;
1-252;4.196;49.97;4.700;200.5;10.83;
1-253;4.213;49.97;4.600;200.5;10.85;
1-254;4.230;49.97;4.600;200.5;10.87;
1-255;4.246;49.97;4.600;200.6;10.90;
1-256;4.263;49.97;4.700;200.6;10.92;
1-257;4.280;49.97;4.600;200.7;10.95;
1-258;4.296;49.97;4.600;200.7;10.97;
1-259;4.313;49.97;4.600;200.8;11.00;
1-260;4.330;49.97;4.600;200.8;11.02;
1-261;4.346;49.97;4.600;200.8;11.04;
1-262;4.363;49.97;4.600;200.9;11.07;
1-263;4.380;49.97;4.600;200.9;11.09;
1-264;4.396;49.97;4.600;200.9;11.12;
1-265;4.413;49.97;4.600;201.0;11.14;
1-266;4.430;49.97;4.500;201.0;11.16;
1-267;4.446;49.97;4.600;201.0;11.19;
1-268;4.463;49.97;4.600;201.1;11.21;
1-269;4.480;49.97;4.600;201.1;11.24;
1-270;4.496;49.97;4.600;201.1;11.26;
1-271;4.513;49.97;4.600;201.2;11.28;
1-272;4.530;49.97;4.600;201.2;11.31;
1-273;4.546;49.97;4.500;201.2;11.33;
1-274;4.563;49.97;4.600;201.3;11.36;
1-275;4.580;49.97;4.500;201.3;11.38;
1-276;4.596;49.97;4.500;201.3;11.40;
1-277;4.613;49.97;4.500;201.4;11.43;
1-278;4.630;49.97;4.500;201.4;11.45;
1-279;4.646;49.97;4.500;201.4;11.47;
1-280;4.663;49.97;4.500;201.5;11.50;
1-281;4.680;49.97;4.600;201.6;11.52;
1-282;4.696;49.97;4.500;201.6;11.54;
1-283;4.713;49.97;4.500;201.6;11.57;
1-284;4.730;49.97;4.400;201.6;11.59;
1-285;4.746;49.97;4.500;201.7;11.61;
1-286;4.763;49.97;4.400;201.7;11.64;
1-287;4.780;49.97;4.500;201.8;11.66;
1-288;4.796;49.97;4.500;201.8;11.68;
1-289;4.813;49.97;4.500;201.8;11.71;
1-290;4.830;49.97;4.400;201.9;11.73;
1-291;4.846;49.97;4.500;201.9;11.75;
1-292;4.863;49.97;4.500;201.9;11.78;
1-293;4.880;49.97;4.500;202.0;11.80;
1-294;4.896;49.97;4.500;202.0;11.83;
1-295;4.913;49.97;4.500;202.0;11.85;
1-296;4.930;49.97;4.400;202.0;11.87;
1-297;4.946;49.97;4.500;202.0;11.90;
1-298;4.963;49.97;4.400;202.1;11.92;
1-299;4.980;49.97;4.500;202.1;11.94;
1-300;4.996;49.97;4.400;202.1;11.97;
1-301;5.013;49.97;4.500;202.2;11.99;
1-302;5.030;49.97;4.400;202.2;12.01;
1-303;5.046;49.97;4.500;202.2;12.04;
1-304;5.063;49.97;4.400;202.3;12.06;
1-305;5.080;49.97;4.400;202.3;12.08;
1-306;5.096;49.97;4.400;202.3;12.10;
1-307;5.113;49.97;4.400;202.4;12.13;
1-308;5.130;49.97;4.400;202.4;12.15;
1-309;5.146;49.97;4.400;202.4;12.17;
1-310;5.163;49.97;4.400;202.4;12.20;
1-311;5.180;49.97;4.400;202.5;12.22;
1-312;5.196;49.97;4.400;202.5;12.24;
1-313;5.213;49.97;4.400;202.5;12.27;
1-314;5.230;49.97;4.400;202.6;12.29;
1-315;5.246;49.97;4.400;202.6;12.31;
1-316;5.263;49.97;4.400;202.6;12.34;
1-317;5.280;49.97;4.500;202.7;12.36;
1-318;5.296;49.97;4.400;202.7;12.38;
1-319;5.313;49.97;4.400;202.7;12.40;
1-320;5.330;49.97;4.400;202.7;12.43;
1-321;5.346;49.97;4.400;202.8;12.45;
1-322;5.363;49.97;4.400;202.8;12.47;
1-323;5.380;49.97;4.400;202.8;12.50;
1-324;5.396;49.97;4.400;202.8;12.52;
1-325;5.413;49.97;4.400;202.9;12.54;
1-326;5.430;49.97;4.300;202.9;12.57;
1-327;5.446;49.97;4.400;202.9;12.59;
1-328;5.463;49.97;4.400;203.0;12.61;
1-329;5.480;49.97;4.400;203.0;12.63;
1-330;5.496;49.97;4.400;203.0;12.66;
1-331;5.513;49.97;4.400;203.1;12.68;
1-332;5.530;49.97;4.400;203.1;12.70;
1-333;5.546;49.97;4.400;203.1;12.73;
1-334;5.563;49.97;4.400;203.1;12.75;
1-335;5.580;49.97;4.400;203.2;12.77;
1-336;5.596;49.97;4.300;203.2;12.80;
1-337;5.613;49.97;4.400;203.2;12.82;
1-338;5.630;49.97;4.300;203.2;12.84;
1-339;5.646;49.97;4.400;203.3;12.86;
1-340;5.663;49.97;4.300;203.3;12.89;
1-341;5.680;49.97;4.400;203.3;12.91;
1-342;5.696;49.97;4.400;203.4;12.93;
1-343;5.713;49.97;4.400;203.4;12.96;
1-344;5.730;49.97;4.300;203.4;12.98;
1-345;5.746;49.97;4.300;203.4;13.00;
1-346;5.763;49.97;4.400;203.4;13.02;
1-347;5.780;49.97;4.400;203.4;13.05;
1-348;5.796;49.97;4.400;203.5;13.07;
1-349;5.813;49.97;4.400;203.5;13.09;
1-350;5.830;49.97;4.300;203.5;13.12;
1-351;5.846;49.97;4.400;203.6;13.14;
1-352;5.863;49.97;4.400;203.6;13.16;
1-353;5.880;49.97;4.400;203.6;13.18;
1-354;5.896;49.97;4.300;203.6;13.21;
1-355;5.913;49.97;4.400;203.7;13.23;
1-356;5.930;49.97;4.300;203.7;13.25;
1-357;5.946;49.97;4.400;203.7;13.27;
1-358;5.963;49.97;4.300;203.7;13.30;
1-359;5.980;49.97;4.400;203.8;13.32;
1-360;5.996;49.97;4.400;203.8;13.34;
1-361;6.013;49.97;4.400;203.8;13.37;
1-362;6.030;49.97;4.400;203.8;13.39;
1-363;6.046;49.97;4.300;203.8;13.41;
1-364;6.063;49.97;4.400;203.9;13.44;
1-365;6.080;49.97;4.400;203.9;13.46;
1-366;6.096;49.97;4.400;203.9;13.48;
1-367;6.113;49.97;4.400;204.0;13.50;
1-368;6.130;49.97;4.400;204.0;13.53;
1-369;6.146;49.97;4.400;204.0;13.55;
1-370;6.163;49.97;4.400;204.0;13.57;
1-371;6.180;49.97;4.400;204.1;13.60;
1-372;6.196;49.97;4.400;204.1;13.62;
1-373;6.213;49.97;4.400;204.1;13.64;
1-374;6.230;49.97;4.400;204.2;13.67;
1-375;6.246;49.97;4.400;204.2;13.69;
1-376;6.263;49.97;4.400;204.2;13.71;
1-377;6.280;49.97;4.400;204.2;13.73;
1-378;6.296;49.97;4.400;204.3;13.76;
1-379;6.313;49.97;4.400;204.3;13.78;
1-380;6.330;49.97;4.400;204.3;13.80;
1-381;6.346;49.97;4.400;204.3;13.83;
1-382;6.363;49.97;4.500;204.3;13.85;
1-383;6.380;49.97;4.400;204.4;13.87;
1-384;6.396;49.97;4.400;204.4;13.90;
1-385;6.413;49.97;4.400;204.4;13.92;
1-386;6.430;49.97;4.400;204.5;13.94;
1-387;6.446;49.97;4.400;204.5;13.97;
1-388;6.463;49.97;4.400;204.5;13.99;
1-389;6.480;49.97;4.500;204.5;14.01;
1-390;6.496;49.97;4.400;204.5;14.03;
1-391;6.513;49.97;4.500;204.6;14.06;
1-392;6.530;49.97;4.400;204.6;14.08;
1-393;6.546;49.97;4.500;204.6;14.10;
1-394;6.563;49.97;4.400;204.6;14.13;
1-395;6.580;49.97;4.500;204.7;14.15;
1-396;6.596;49.97;4.500;204.7;14.17;
1-397;6.613;49.97;4.500;204.7;14.20;
1-398;6.630;49.97;4.500;204.8;14.22;
1-399;6.646;49.97;4.500;204.8;14.25;
1-400;6.663;49.97;4.500;204.8;14.27;
1-401;6.680;49.97;4.500;204.8;14.29;
1-402;6.696;49.97;4.500;204.8;14.32;
1-403;6.713;49.97;4.500;204.9;14.34;
1-404;6.730;49.97;4.400;204.9;14.36;
1-405;6.746;49.97;4.400;204.9;14.39;
1-406;6.763;49.97;4.400;205.0;14.41;
1-407;6.780;49.97;4.500;205.0;14.43;
1-408;6.796;49.97;4.400;205.0;14.46;
1-409;6.813;49.97;4.400;205.0;14.48;
1-410;6.830;49.97;4.400;205.0;14.50;
1-411;6.846;49.97;4.400;205.0;14.52;
1-412;6.863;49.97;4.400;205.1;14.55;
1-413;6.880;49.97;4.400;205.1;14.57;
1-414;6.896;49.97;4.400;205.1;14.59;
1-415;6.913;49.97;4.400;205.1;14.62;
1-416;6.930;49.97;4.400;205.1;14.64;
1-417;6.946;49.97;4.300;205.2;14.66;
1-418;6.963;49.97;4.400;205.2;14.69;
1-419;6.980;49.97;4.300;205.2;14.71;
1-420;6.996;49.97;4.400;205.2;14.73;
1-421;7.013;49.97;4.300;205.2;14.75;
1-422;7.030;49.97;4.300;205.2;14.78;
1-423;7.046;49.97;4.300;205.2;14.80;
1-424;7.063;49.97;4.300;205.3;14.82;
1-425;7.080;49.97;4.400;205.3;14.84;
1-426;7.096;49.97;4.300;205.3;14.87;
1-427;7.113;49.97;4.300;205.3;14.89;
1-428;7.130;49.97;4.300;205.3;14.91;
1-429;7.146;49.97;4.300;205.3;14.93;
1-430;7.163;49.97;4.300;205.4;14.96;
1-431;7.180;49.97;4.300;205.4;14.98;
1-432;7.196;49.97;4.400;205.4;15.00;
1-433;7.213;49.97;4.300;205.4;15.02;
1-434;7.230;49.97;4.300;205.4;15.05;
1-435;7.246;49.97;4.300;205.4;15.07;
1-436;7.263;49.97;4.400;205.4;15.09;
1-437;7.280;49.97;4.300;205.4;15.12;
1-438;7.296;49.97;4.300;205.5;15.14;
1-439;7.313;49.97;4.300;205.5;15.16;
1-440;7.330;49.97;4.300;205.5;15.18;
1-441;7.346;49.97;4.300;205.5;15.21;
1-442;7.363;49.97;4.300;205.6;15.23;
1-443;7.380;49.97;4.400;205.6;15.25;
1-444;7.396;49.97;4.300;205.6;15.27;
1-445;7.413;49.97;4.300;205.6;15.30;
1-446;7.430;49.97;4.300;205.6;15.32;
1-447;7.446;49.97;4.300;205.6;15.34;
1-448;7.463;49.97;4.300;205.7;15.36;
1-449;7.480;49.97;4.300;205.7;15.39;
1-450;7.496;49.97;4.300;205.7;15.41;
1-451;7.513;49.97;4.300;205.7;15.43;
1-452;7.530;49.97;4.300;205.7;15.45;
1-453;7.546;49.97;4.200;205.7;15.48;
1-454;7.563;49.97;4.300;205.7;15.50;
1-455;7.580;49.97;4.300;205.7;15.52;
1-456;7.596;49.97;4.300;205.8;15.54;
1-457;7.613;49.97;4.300;205.8;15.57;
1-458;7.630;49.97;4.300;205.8;15.59;
1-459;7.646;49.97;4.300;205.8;15.61;
1-460;7.663;49.97;4.200;205.8;15.63;
1-461;7.680;49.97;4.300;205.8;15.65;
1-462;7.696;49.97;4.300;205.8;15.68;
1-463;7.713;49.97;4.300;205.9;15.70;
1-464;7.730;49.97;4.300;205.9;15.72;
1-465;7.746;49.97;4.200;205.9;15.74;
1-466;7.763;49.97;4.300;206.0;15.77;
1-467;7.780;49.97;4.200;206.0;15.79;
1-468;7.796;49.97;4.300;206.0;15.81;
1-469;7.813;49.97;4.300;206.0;15.83;
1-470;7.830;49.97;4.300;206.0;15.86;
1-471;7.846;49.97;4.300;206.0;15.88;
1-472;7.863;49.97;4.300;206.0;15.90;
1-473;7.880;49.97;4.300;206.0;15.92;
1-474;7.896;49.97;4.300;206.1;15.95;
1-475;7.913;49.97;4.300;206.1;15.97;
1-476;7.930;49.97;4.300;206.1;15.99;
1-477;7.946;49.97;4.300;206.1;16.01;
1-478;7.963;49.97;4.300;206.1;16.04;
1-479;7.980;49.97;4.400;206.2;16.06;
1-480;7.996;49.97;4.300;206.2;16.08;
1-481;8.013;49.97;4.300;206.2;16.10;
1-482;8.030;49.97;4.300;206.2;16.13;
1-483;8.046;49.97;4.300;206.2;16.15;
1-484;8.063;49.97;4.300;206.2;16.17;
1-485;8.080;49.97;4.300;206.2;16.19;
1-486;8.096;49.97;4.400;206.3;16.22;
1-487;8.113;49.97;4.300;206.3;16.24;
1-488;8.130;49.97;4.300;206.3;16.26;
1-489;8.146;49.97;4.300;206.3;16.28;
1-490;8.163;49.97;4.300;206.3;16.31;
1-491;8.180;49.97;4.300;206.3;16.33;
1-492;8.196;49.97;4.300;206.4;16.35;
1-493;8.213;49.97;4.400;206.4;16.38;
1-494;8.230;49.97;4.300;206.4;16.40;
1-495;8.246;49.97;4.300;206.4;16.42;
1-496;8.263;49.97;4.300;206.4;16.44;
1-497;8.280;49.97;4.400;206.4;16.47;
1-498;8.296;49.97;4.300;206.4;16.49;
1-499;8.313;49.97;4.400;206.5;16.51;
1-500;8.330;49.97;4.400;206.5;16.53;
1-501;8.346;49.97;4.300;206.5;16.56;
1-502;8.363;49.97;4.300;206.5;16.58;
1-503;8.380;49.97;4.300;206.5;16.60;
1-504;8.396;49.97;4.400;206.5;16.62;
1-505;8.413;49.97;4.400;206.5;16.65;
1-506;8.430;49.97;4.400;206.5;16.67;
1-507;8.446;49.97;4.400;206.5;16.69;
1-508;8.463;49.97;4.400;206.6;16.72;
1-509;8.480;49.97;4.400;206.6;16.74;
1-510;8.496;49.97;4.400;206.6;16.76;
1-511;8.513;49.97;4.400;206.6;16.79;
1-512;8.530;49.97;4.400;206.6;16.81;
1-513;8.546;49.97;4.400;206.6;16.83;
1-514;8.563;49.97;4.300;206.6;16.85;
1-515;8.580;49.97;4.400;206.7;16.88;
1-516;8.596;49.97;4.400;206.7;16.90;
1-517;8.613;49.97;4.400;206.7;16.92;
1-518;8.630;49.97;4.400;206.7;16.95;
1-519;8.646;49.97;4.400;206.7;16.97;
1-520;8.663;49.97;4.400;206.7;16.99;
1-521;8.680;49.97;4.400;206.7;17.02;
1-522;8.696;49.97;4.400;206.7;17.04;
1-523;8.713;49.97;4.400;206.7;17.06;
1-524;8.730;49.97;4.400;206.8;17.08;
1-525;8.746;49.97;4.400;206.8;17.11;
1-526;8.763;49.97;4.400;206.8;17.13;
1-527;8.780;49.97;4.400;206.8;17.15;
1-528;8.796;49.97;4.400;206.8;17.18;
1-529;8.813;49.97;4.500;206.8;17.20;
1-530;8.830;49.97;4.500;206.8;17.22;
1-531;8.846;49.97;4.500;206.8;17.25;
1-532;8.863;49.97;4.400;206.9;17.27;
1-533;8.880;49.97;4.500;206.9;17.29;
1-534;8.896;49.97;4.500;206.9;17.32;
1-535;8.913;49.97;4.500;206.9;17.34;
1-536;8.930;49.97;4.500;206.9;17.36;
1-537;8.946;49.97;4.500;206.9;17.39;
1-538;8.963;49.97;4.400;206.9;17.41;
1-539;8.980;49.97;4.400;206.9;17.43;
1-540;8.996;49.97;4.500;206.9;17.46;
1-541;9.013;49.97;4.500;207.0;17.48;
1-542;9.030;49.97;4.500;207.0;17.50;
1-543;9.046;49.97;4.600;207.0;17.53;
1-544;9.063;49.97;4.500;207.0;17.55;
1-545;9.080;49.97;4.500;207.0;17.58;
1-546;9.096;49.97;4.500;207.0;17.60;
1-547;9.113;49.97;4.600;207.0;17.62;
1-548;9.130;49.97;4.500;207.0;17.65;
1-549;9.146;49.97;4.600;207.0;17.67;
1-550;9.163;49.97;4.500;207.0;17.69;
1-551;9.180;49.97;4.600;207.1;17.72;
