D:\Documents and Settings\All Users\Documents\Thermo\PolySoft\Projects\JanLDHTEST Dec2015.pmp\JanDec_0001.pld


 ;t [min];Revolution Speed [1/min];Torque [Nm];TM [°C];E [kJ];
1-218;3.617;49.97;3.900;197.7;7.781;
1-219;3.633;49.97;3.900;197.7;7.802;
1-220;3.650;49.97;3.900;197.8;7.822;
1-221;3.667;49.97;3.900;197.8;7.842;
1-222;3.683;49.97;3.900;197.9;7.863;
1-223;3.700;49.97;3.800;198.0;7.883;
1-224;3.717;49.97;3.900;198.0;7.903;
1-225;3.733;49.97;3.900;198.0;7.923;
1-226;3.750;49.97;3.900;198.1;7.944;
1-227;3.767;49.97;3.800;198.2;7.964;
1-228;3.783;49.97;3.900;198.2;7.984;
1-229;3.800;49.97;3.800;198.3;8.004;
1-230;3.817;49.97;3.900;198.4;8.024;
1-231;3.833;49.97;3.800;198.4;8.045;
1-232;3.850;49.97;3.900;198.5;8.065;
1-233;3.867;49.97;3.800;198.5;8.085;
1-234;3.883;49.97;3.800;198.6;8.105;
1-235;3.900;49.97;3.900;198.6;8.125;
1-236;3.917;49.97;3.800;198.7;8.145;
1-237;3.933;49.97;3.900;198.7;8.165;
1-238;3.950;49.97;3.800;198.8;8.185;
1-239;3.967;49.97;3.800;198.8;8.205;
1-240;3.983;49.97;3.800;198.9;8.225;
1-241;4.000;49.97;3.800;199.0;8.245;
1-242;4.017;49.97;3.800;199.0;8.265;
1-243;4.033;49.97;3.800;199.0;8.285;
1-244;4.050;49.97;3.800;199.1;8.305;
1-245;4.067;49.97;3.800;199.2;8.325;
1-246;4.083;49.97;3.900;199.2;8.345;
1-247;4.100;49.97;3.700;199.3;8.365;
1-248;4.117;49.97;3.800;199.3;8.384;
1-249;4.133;49.97;3.800;199.4;8.404;
1-250;4.150;49.97;3.800;199.4;8.424;
1-251;4.167;49.97;3.700;199.5;8.444;
1-252;4.183;49.97;3.800;199.5;8.463;
1-253;4.200;49.97;3.700;199.6;8.483;
1-254;4.217;49.97;3.700;199.6;8.502;
1-255;4.233;49.97;3.800;199.6;8.522;
1-256;4.250;49.97;3.700;199.7;8.542;
1-257;4.267;49.97;3.700;199.8;8.561;
1-258;4.283;49.97;3.700;199.8;8.580;
1-259;4.300;49.97;3.700;199.8;8.600;
1-260;4.317;49.97;3.700;199.9;8.619;
1-261;4.333;49.97;3.700;199.9;8.638;
1-262;4.350;49.97;3.700;200.0;8.658;
1-263;4.367;49.97;3.600;200.0;8.677;
1-264;4.383;49.97;3.700;200.0;8.696;
1-265;4.400;49.97;3.600;200.1;8.715;
1-266;4.417;49.97;3.600;200.1;8.734;
1-267;4.433;49.97;3.600;200.2;8.753;
1-268;4.450;49.97;3.700;200.2;8.772;
1-269;4.467;49.97;3.700;200.2;8.791;
1-270;4.483;49.97;3.700;200.3;8.811;
1-271;4.500;49.97;3.700;200.3;8.830;
1-272;4.517;49.97;3.600;200.4;8.849;
1-273;4.533;49.97;3.700;200.4;8.868;
1-274;4.550;49.97;3.700;200.5;8.887;
1-275;4.567;49.97;3.600;200.5;8.907;
1-276;4.583;49.97;3.600;200.5;8.925;
1-277;4.600;49.97;3.600;200.6;8.944;
1-278;4.617;49.97;3.600;200.6;8.963;
1-279;4.633;49.97;3.600;200.6;8.982;
1-280;4.650;49.97;3.600;200.7;9.001;
1-281;4.667;49.97;3.600;200.7;9.020;
1-282;4.683;49.97;3.600;200.8;9.038;
1-283;4.700;49.97;3.600;200.8;9.057;
1-284;4.717;49.97;3.600;200.8;9.076;
1-285;4.733;49.97;3.600;200.9;9.095;
1-286;4.750;49.97;3.600;200.9;9.114;
1-287;4.767;49.97;3.600;200.9;9.133;
1-288;4.783;49.97;3.500;201.0;9.151;
1-289;4.800;49.97;3.600;201.0;9.170;
1-290;4.817;49.97;3.500;201.0;9.188;
1-291;4.833;49.97;3.600;201.1;9.207;
1-292;4.850;49.97;3.600;201.1;9.226;
1-293;4.867;49.97;3.600;201.2;9.245;
1-294;4.883;49.97;3.500;201.2;9.263;
1-295;4.900;49.97;3.500;201.2;9.281;
1-296;4.917;49.97;3.500;201.3;9.300;
1-297;4.933;49.97;3.600;201.3;9.318;
1-298;4.950;49.97;3.600;201.3;9.337;
1-299;4.967;49.97;3.500;201.4;9.356;
1-300;4.983;49.97;3.500;201.4;9.374;
1-301;5.000;49.97;3.500;201.4;9.392;
1-302;5.017;49.97;3.500;201.5;9.411;
1-303;5.033;49.97;3.500;201.5;9.429;
1-304;5.050;49.97;3.500;201.5;9.447;
1-305;5.067;49.97;3.500;201.6;9.466;
1-306;5.083;49.97;3.500;201.6;9.484;
1-307;5.100;49.97;3.600;201.6;9.503;
1-308;5.117;49.97;3.500;201.7;9.521;
1-309;5.133;49.97;3.600;201.7;9.540;
1-310;5.150;49.97;3.500;201.7;9.558;
1-311;5.167;49.97;3.500;201.8;9.577;
1-312;5.183;49.97;3.500;201.8;9.595;
1-313;5.200;49.97;3.500;201.8;9.613;
1-314;5.217;49.97;3.500;201.9;9.632;
1-315;5.233;49.97;3.500;201.9;9.650;
1-316;5.250;49.97;3.500;201.9;9.668;
1-317;5.267;49.97;3.500;202.0;9.687;
1-318;5.283;49.97;3.500;202.0;9.705;
1-319;5.300;49.97;3.500;202.0;9.723;
1-320;5.317;49.97;3.500;202.1;9.742;
1-321;5.333;49.97;3.500;202.1;9.760;
1-322;5.350;49.97;3.500;202.1;9.778;
1-323;5.367;49.97;3.500;202.2;9.796;
1-324;5.383;49.97;3.500;202.2;9.815;
1-325;5.400;49.97;3.500;202.2;9.833;
1-326;5.417;49.97;3.400;202.2;9.851;
1-327;5.433;49.97;3.500;202.2;9.869;
1-328;5.450;49.97;3.500;202.3;9.888;
1-329;5.467;49.97;3.500;202.3;9.906;
1-330;5.483;49.97;3.500;202.3;9.924;
1-331;5.500;49.97;3.500;202.4;9.942;
1-332;5.517;49.97;3.400;202.4;9.961;
1-333;5.533;49.97;3.400;202.4;9.978;
1-334;5.550;49.97;3.500;202.4;9.996;
1-335;5.567;49.97;3.400;202.5;10.01;
1-336;5.583;49.97;3.400;202.5;10.03;
1-337;5.600;49.97;3.400;202.5;10.05;
1-338;5.617;49.97;3.400;202.6;10.07;
1-339;5.633;49.97;3.400;202.6;10.09;
1-340;5.650;49.97;3.400;202.6;10.10;
1-341;5.667;49.97;3.400;202.6;10.12;
1-342;5.683;49.97;3.400;202.7;10.14;
1-343;5.700;49.97;3.400;202.7;10.16;
1-344;5.717;49.97;3.400;202.7;10.17;
1-345;5.733;49.97;3.400;202.7;10.19;
1-346;5.750;49.97;3.400;202.8;10.21;
1-347;5.767;49.97;3.400;202.8;10.23;
1-348;5.783;49.97;3.400;202.8;10.25;
1-349;5.800;49.97;3.400;202.8;10.26;
1-350;5.817;49.97;3.400;202.9;10.28;
1-351;5.833;49.97;3.400;202.9;10.30;
1-352;5.850;49.97;3.400;202.9;10.32;
1-353;5.867;49.97;3.400;203.0;10.33;
1-354;5.883;49.97;3.400;203.0;10.35;
1-355;5.900;49.97;3.400;203.0;10.37;
1-356;5.917;49.97;3.300;203.0;10.39;
1-357;5.933;49.97;3.400;203.0;10.41;
1-358;5.950;49.97;3.400;203.1;10.42;
1-359;5.967;49.97;3.400;203.1;10.44;
1-360;5.983;49.97;3.400;203.1;10.46;
1-361;6.000;49.97;3.400;203.2;10.48;
1-362;6.017;49.97;3.300;203.2;10.49;
1-363;6.033;49.97;3.400;203.2;10.51;
1-364;6.050;49.97;3.300;203.2;10.53;
1-365;6.067;49.97;3.400;203.3;10.55;
1-366;6.083;49.97;3.300;203.3;10.56;
1-367;6.100;49.97;3.300;203.3;10.58;
1-368;6.117;49.97;3.300;203.3;10.60;
1-369;6.133;49.97;3.300;203.4;10.62;
1-370;6.150;49.97;3.400;203.4;10.63;
1-371;6.167;49.97;3.300;203.4;10.65;
1-372;6.183;49.97;3.300;203.4;10.67;
1-373;6.200;49.97;3.300;203.4;10.69;
1-374;6.217;49.97;3.300;203.4;10.70;
1-375;6.233;49.97;3.300;203.4;10.72;
1-376;6.250;49.97;3.300;203.5;10.74;
1-377;6.267;49.97;3.300;203.5;10.75;
1-378;6.283;49.97;3.300;203.5;10.77;
1-379;6.300;49.97;3.300;203.5;10.79;
1-380;6.317;49.97;3.300;203.6;10.81;
1-381;6.333;49.97;3.300;203.6;10.82;
1-382;6.350;49.97;3.300;203.6;10.84;
1-383;6.367;49.97;3.300;203.6;10.86;
1-384;6.383;49.97;3.300;203.6;10.88;
1-385;6.400;49.97;3.300;203.6;10.89;
1-386;6.417;49.97;3.300;203.7;10.91;
1-387;6.433;49.97;3.300;203.7;10.93;
1-388;6.450;49.97;3.300;203.7;10.94;
1-389;6.467;49.97;3.300;203.7;10.96;
1-390;6.483;49.97;3.300;203.8;10.98;
1-391;6.500;49.97;3.300;203.8;11.00;
1-392;6.517;49.97;3.300;203.8;11.01;
1-393;6.533;49.97;3.300;203.8;11.03;
1-394;6.550;49.97;3.300;203.8;11.05;
1-395;6.567;49.97;3.300;203.8;11.07;
1-396;6.583;49.97;3.300;203.8;11.08;
1-397;6.600;49.97;3.300;203.9;11.10;
1-398;6.617;49.97;3.300;203.9;11.12;
1-399;6.633;49.97;3.300;203.9;11.13;
1-400;6.650;49.97;3.300;204.0;11.15;
1-401;6.667;49.97;3.300;204.0;11.17;
1-402;6.683;49.97;3.300;204.0;11.19;
1-403;6.700;49.97;3.300;204.0;11.20;
1-404;6.717;49.97;3.300;204.0;11.22;
1-405;6.733;49.97;3.300;204.0;11.24;
1-406;6.750;49.97;3.300;204.0;11.26;
1-407;6.767;49.97;3.300;204.1;11.27;
1-408;6.783;49.97;3.300;204.1;11.29;
1-409;6.800;49.97;3.300;204.1;11.31;
1-410;6.817;49.97;3.300;204.1;11.32;
1-411;6.833;49.97;3.200;204.2;11.34;
1-412;6.850;49.97;3.300;204.2;11.36;
1-413;6.867;49.97;3.300;204.2;11.38;
1-414;6.883;49.97;3.300;204.2;11.39;
1-415;6.900;49.97;3.300;204.2;11.41;
1-416;6.917;49.97;3.300;204.2;11.43;
1-417;6.933;49.97;3.300;204.2;11.44;
1-418;6.950;49.97;3.300;204.2;11.46;
1-419;6.967;49.97;3.300;204.2;11.48;
1-420;6.983;49.97;3.300;204.3;11.50;
1-421;7.000;49.97;3.300;204.3;11.51;
1-422;7.017;49.97;3.300;204.3;11.53;
1-423;7.033;49.97;3.300;204.3;11.55;
1-424;7.050;49.97;3.300;204.3;11.57;
1-425;7.067;49.97;3.300;204.3;11.58;
1-426;7.083;49.97;3.300;204.4;11.60;
1-427;7.100;49.97;3.200;204.4;11.62;
1-428;7.117;49.97;3.200;204.4;11.63;
1-429;7.133;49.97;3.200;204.4;11.65;
1-430;7.150;49.97;3.200;204.4;11.67;
1-431;7.167;49.97;3.200;204.5;11.68;
1-432;7.183;49.97;3.200;204.5;11.70;
1-433;7.200;49.97;3.200;204.5;11.72;
1-434;7.217;49.97;3.200;204.5;11.73;
1-435;7.233;49.97;3.200;204.5;11.75;
1-436;7.250;49.97;3.200;204.5;11.77;
1-437;7.267;49.97;3.200;204.6;11.78;
1-438;7.283;49.97;3.300;204.6;11.80;
1-439;7.300;49.97;3.200;204.6;11.82;
1-440;7.317;49.97;3.300;204.6;11.84;
1-441;7.333;49.97;3.200;204.6;11.85;
1-442;7.350;49.97;3.300;204.6;11.87;
1-443;7.367;49.97;3.200;204.6;11.89;
1-444;7.383;49.97;3.300;204.7;11.90;
1-445;7.400;49.97;3.200;204.7;11.92;
1-446;7.417;49.97;3.200;204.7;11.94;
1-447;7.433;49.97;3.200;204.7;11.95;
1-448;7.450;49.97;3.200;204.7;11.97;
1-449;7.467;49.97;3.200;204.7;11.99;
1-450;7.483;49.97;3.200;204.8;12.00;
1-451;7.500;49.97;3.200;204.8;12.02;
1-452;7.517;49.97;3.200;204.8;12.04;
1-453;7.533;49.97;3.200;204.8;12.05;
1-454;7.550;49.97;3.200;204.8;12.07;
1-455;7.567;49.97;3.200;204.8;12.09;
1-456;7.583;49.97;3.200;204.8;12.11;
1-457;7.600;49.97;3.200;204.8;12.12;
1-458;7.617;49.97;3.200;204.9;12.14;
1-459;7.633;49.97;3.200;204.9;12.16;
1-460;7.650;49.97;3.200;204.9;12.17;
1-461;7.667;49.97;3.200;204.9;12.19;
1-462;7.683;49.97;3.200;204.9;12.21;
1-463;7.700;49.97;3.200;204.9;12.22;
1-464;7.717;49.97;3.200;204.9;12.24;
1-465;7.733;49.97;3.200;205.0;12.26;
1-466;7.750;49.97;3.200;205.0;12.27;
1-467;7.767;49.97;3.200;205.0;12.29;
1-468;7.783;49.97;3.200;205.0;12.31;
1-469;7.800;49.97;3.200;205.0;12.32;
1-470;7.817;49.97;3.200;205.0;12.34;
1-471;7.833;49.97;3.200;205.0;12.36;
1-472;7.850;49.97;3.200;205.1;12.37;
1-473;7.867;49.97;3.200;205.1;12.39;
1-474;7.883;49.97;3.200;205.1;12.41;
1-475;7.900;49.97;3.200;205.1;12.42;
1-476;7.917;49.97;3.200;205.1;12.44;
1-477;7.933;49.97;3.200;205.1;12.46;
1-478;7.950;49.97;3.200;205.2;12.47;
1-479;7.967;49.97;3.200;205.2;12.49;
1-480;7.983;49.97;3.200;205.2;12.51;
1-481;8.000;49.97;3.200;205.2;12.52;
1-482;8.017;49.97;3.200;205.2;12.54;
1-483;8.033;49.97;3.100;205.2;12.56;
1-484;8.050;49.97;3.200;205.2;12.57;
1-485;8.067;49.97;3.200;205.2;12.59;
1-486;8.083;49.97;3.200;205.2;12.61;
1-487;8.100;49.97;3.200;205.2;12.62;
1-488;8.117;49.97;3.200;205.2;12.64;
1-489;8.133;49.97;3.200;205.2;12.66;
1-490;8.150;49.97;3.200;205.2;12.67;
1-491;8.167;49.97;3.200;205.3;12.69;
1-492;8.183;49.97;3.200;205.3;12.71;
1-493;8.200;49.97;3.100;205.3;12.72;
1-494;8.217;49.97;3.200;205.3;12.74;
1-495;8.233;49.97;3.100;205.3;12.76;
1-496;8.250;49.97;3.200;205.3;12.77;
1-497;8.267;49.97;3.200;205.3;12.79;
1-498;8.283;49.97;3.200;205.3;12.81;
1-499;8.300;49.97;3.200;205.4;12.82;
1-500;8.317;49.97;3.200;205.4;12.84;
1-501;8.333;49.97;3.100;205.4;12.86;
1-502;8.350;49.97;3.100;205.4;12.87;
1-503;8.367;49.97;3.200;205.4;12.89;
1-504;8.383;49.97;3.200;205.4;12.91;
1-505;8.400;49.97;3.200;205.4;12.92;
1-506;8.417;49.97;3.200;205.4;12.94;
1-507;8.433;49.97;3.200;205.4;12.96;
1-508;8.450;49.97;3.200;205.4;12.97;
1-509;8.467;49.97;3.200;205.5;12.99;
1-510;8.483;49.97;3.200;205.5;13.01;
1-511;8.500;49.97;3.100;205.5;13.02;
1-512;8.517;49.97;3.100;205.5;13.04;
1-513;8.533;49.97;3.100;205.5;13.06;
1-514;8.550;49.97;3.100;205.5;13.07;
1-515;8.567;49.97;3.100;205.5;13.09;
1-516;8.583;49.97;3.200;205.5;13.10;
1-517;8.600;49.97;3.100;205.5;13.12;
1-518;8.617;49.97;3.100;205.6;13.14;
1-519;8.633;49.97;3.100;205.6;13.15;
1-520;8.650;49.97;3.100;205.6;13.17;
1-521;8.667;49.97;3.200;205.6;13.19;
1-522;8.684;49.97;3.200;205.6;13.20;
1-523;8.700;49.97;3.100;205.6;13.22;
1-524;8.717;49.97;3.100;205.6;13.24;
1-525;8.734;49.97;3.100;205.6;13.25;
1-526;8.750;49.97;3.100;205.6;13.27;
1-527;8.767;49.97;3.100;205.6;13.28;
1-528;8.784;49.97;3.100;205.6;13.30;
1-529;8.800;49.97;3.100;205.7;13.32;
1-530;8.817;49.97;3.100;205.7;13.33;
1-531;8.834;49.97;3.100;205.7;13.35;
1-532;8.850;49.97;3.100;205.7;13.37;
1-533;8.867;49.97;3.100;205.7;13.38;
1-534;8.884;49.97;3.100;205.7;13.40;
1-535;8.900;49.97;3.100;205.7;13.41;
1-536;8.917;49.97;3.100;205.7;13.43;
1-537;8.934;49.97;3.100;205.7;13.45;
1-538;8.950;49.97;3.100;205.7;13.46;
1-539;8.967;49.97;3.100;205.8;13.48;
1-540;8.984;49.97;3.100;205.8;13.50;
1-541;9.000;49.97;3.100;205.8;13.51;
1-542;9.017;49.97;3.100;205.8;13.53;
1-543;9.034;49.97;3.100;205.8;13.54;
1-544;9.050;49.97;3.100;205.8;13.56;
1-545;9.067;49.97;3.100;205.8;13.58;
1-546;9.084;49.97;3.100;205.8;13.59;
1-547;9.100;49.97;3.100;205.8;13.61;
1-548;9.117;49.97;3.100;205.8;13.63;
1-549;9.134;49.97;3.100;205.8;13.64;
1-550;9.150;49.97;3.100;205.8;13.66;
1-551;9.167;49.97;3.100;205.8;13.67;
