D:\Documents and Settings\All Users\Documents\Thermo\PolySoft\Projects\JanLDHTEST Dec2015.pmp\JanDec_0001.pld


 ;t [min];Revolution Speed [1/min];Torque [Nm];TM [°C];E [kJ];
1-1;0;49.97;31.40;186.7;0;
1-2;0.01667;49.97;24.80;175.4;0.147;
1-3;0.03333;49.97;22.90;166.0;0.272;
1-4;0.05000;49.97;21.20;162.7;0.387;
1-5;0.06667;49.97;20.90;158.1;0.497;
1-6;0.08333;49.97;19.80;155.5;0.604;
1-7;0.100;49.97;18.30;154.5;0.704;
1-8;0.117;49.97;17.80;152.9;0.798;
1-9;0.133;49.97;16.70;151.9;0.888;
1-10;0.150;49.97;16.40;151.8;0.975;
1-11;0.167;49.97;16.30;151.7;1.061;
1-12;0.183;49.97;15.60;151.7;1.144;
1-13;0.200;49.97;15.10;151.8;1.224;
1-14;0.217;49.97;15.00;152.2;1.303;
1-15;0.233;49.97;14.20;152.7;1.379;
1-16;0.250;49.97;14.40;153.0;1.454;
1-17;0.267;49.97;13.70;153.8;1.528;
1-18;0.283;49.97;13.50;154.6;1.599;
1-19;0.300;49.97;12.90;155.1;1.668;
1-20;0.317;49.97;13.10;156.0;1.736;
1-21;0.333;49.97;12.70;157.0;1.804;
1-22;0.350;49.97;12.40;157.6;1.869;
1-23;0.367;49.97;12.30;158.6;1.934;
1-24;0.383;49.97;11.90;159.8;1.997;
1-25;0.400;49.97;12.00;160.3;2.060;
1-26;0.417;49.97;11.40;161.3;2.121;
1-27;0.433;49.97;11.60;162.4;2.181;
1-28;0.450;49.97;11.10;163.0;2.241;
1-29;0.467;49.97;11.10;163.9;2.299;
1-30;0.483;49.97;10.70;164.8;2.356;
1-31;0.500;49.97;10.80;165.2;2.412;
1-32;0.517;49.97;10.50;166.2;2.468;
1-33;0.533;49.97;10.10;167.1;2.522;
1-34;0.550;49.97;10.00;167.5;2.574;
1-35;0.567;49.97;9.600;168.4;2.626;
1-36;0.583;49.97;9.600;168.4;2.676;
1-37;0.600;49.97;9.300;169.2;2.725;
1-38;0.617;49.97;9.300;169.6;2.774;
1-39;0.633;49.97;8.800;171.1;2.821;
1-40;0.650;49.97;8.900;171.1;2.868;
1-41;0.667;49.97;8.800;171.5;2.914;
1-42;0.683;49.97;8.600;172.2;2.959;
1-43;0.700;49.97;8.500;172.9;3.004;
1-44;0.717;49.97;8.400;173.2;3.048;
1-45;0.733;49.97;8.300;174.0;3.092;
1-46;0.750;49.97;8.100;174.6;3.135;
1-47;0.767;49.97;8.100;174.9;3.177;
1-48;0.783;49.97;7.900;175.4;3.219;
1-49;0.800;49.97;7.900;175.9;3.261;
1-50;0.817;49.97;7.800;176.2;3.302;
1-51;0.833;49.97;7.600;176.7;3.342;
1-52;0.850;49.97;7.600;177.1;3.382;
1-53;0.867;49.97;7.400;177.3;3.421;
1-54;0.883;49.97;7.400;177.7;3.460;
1-55;0.900;49.97;7.300;178.2;3.498;
1-56;0.917;49.97;7.300;178.5;3.536;
1-57;0.933;49.97;7.100;178.7;3.574;
1-58;0.950;49.97;7.000;179.1;3.611;
1-59;0.967;49.97;7.100;179.4;3.648;
1-60;0.983;49.97;7.000;179.6;3.685;
1-61;1.000;49.97;7.000;179.9;3.721;
1-62;1.017;49.97;6.800;180.3;3.758;
1-63;1.033;49.97;6.900;180.4;3.793;
1-64;1.050;49.97;6.600;180.6;3.829;
1-65;1.067;49.97;6.700;180.9;3.863;
1-66;1.083;49.97;6.600;181.1;3.898;
1-67;1.100;49.97;6.700;181.4;3.933;
1-68;1.117;49.97;6.600;181.6;3.968;
1-69;1.133;49.97;6.400;181.8;4.002;
1-70;1.150;49.97;6.500;182.0;4.036;
1-71;1.167;49.97;6.300;182.3;4.069;
1-72;1.183;49.97;6.300;182.4;4.102;
1-73;1.200;49.97;6.300;182.6;4.135;
1-74;1.217;49.97;6.400;182.9;4.168;
1-75;1.233;49.97;6.300;183.0;4.202;
1-76;1.250;49.97;6.100;183.2;4.234;
1-77;1.267;49.97;6.300;183.5;4.266;
1-78;1.283;49.97;6.100;183.6;4.299;
1-79;1.300;49.97;6.200;183.8;4.331;
1-80;1.317;49.97;6.000;184.0;4.363;
1-81;1.333;49.97;6.100;184.1;4.395;
1-82;1.350;49.97;5.900;184.3;4.426;
1-83;1.367;49.97;6.000;184.5;4.457;
1-84;1.383;49.97;5.900;184.6;4.488;
1-85;1.400;49.97;5.900;184.8;4.519;
1-86;1.417;49.97;5.900;185.0;4.550;
1-87;1.433;49.97;5.800;185.1;4.581;
1-88;1.450;49.97;5.900;185.3;4.611;
1-89;1.467;49.97;5.800;185.4;4.642;
1-90;1.483;49.97;5.700;185.5;4.672;
1-91;1.500;49.97;5.700;185.7;4.702;
1-92;1.517;49.97;5.700;185.9;4.732;
1-93;1.533;49.97;5.700;186.0;4.762;
1-94;1.550;49.97;5.600;186.2;4.791;
1-95;1.567;49.97;5.700;186.3;4.821;
1-96;1.583;49.97;5.500;186.4;4.850;
1-97;1.600;49.97;5.600;186.6;4.879;
1-98;1.617;49.97;5.500;186.7;4.908;
1-99;1.633;49.97;5.600;186.8;4.937;
1-100;1.650;49.97;5.500;187.0;4.966;
1-101;1.667;49.97;5.500;187.1;4.995;
1-102;1.683;49.97;5.400;187.2;5.023;
1-103;1.700;49.97;5.400;187.4;5.052;
1-104;1.717;49.97;5.500;187.5;5.080;
1-105;1.733;49.97;5.300;187.6;5.108;
1-106;1.750;49.97;5.400;187.8;5.136;
1-107;1.767;49.97;5.300;187.9;5.164;
1-108;1.783;49.97;5.200;188.0;5.192;
1-109;1.800;49.97;5.300;188.1;5.219;
1-110;1.817;49.97;5.300;188.3;5.247;
1-111;1.833;49.97;5.300;188.3;5.275;
1-112;1.850;49.97;5.200;188.5;5.302;
1-113;1.867;49.97;5.300;188.6;5.330;
1-114;1.883;49.97;5.200;188.7;5.357;
1-115;1.900;49.97;5.300;188.8;5.385;
1-116;1.917;49.97;5.100;189.0;5.412;
1-117;1.933;49.97;5.200;189.1;5.439;
1-118;1.950;49.97;5.100;189.2;5.466;
1-119;1.967;49.97;5.100;189.4;5.493;
1-120;1.983;49.97;5.000;189.4;5.519;
1-121;2.000;49.97;5.000;189.6;5.545;
1-122;2.017;49.97;5.100;189.7;5.572;
1-123;2.033;49.97;5.000;189.8;5.598;
1-124;2.050;49.97;5.000;189.9;5.624;
1-125;2.067;49.97;4.900;190.0;5.650;
1-126;2.083;49.97;4.900;190.1;5.676;
1-127;2.100;49.97;4.900;190.2;5.701;
1-128;2.117;49.97;4.900;190.3;5.727;
1-129;2.133;49.97;5.000;190.4;5.753;
1-130;2.150;49.97;4.800;190.5;5.779;
1-131;2.167;49.97;4.900;190.6;5.804;
1-132;2.183;49.97;4.800;190.7;5.829;
1-133;2.200;49.97;4.900;190.8;5.855;
1-134;2.217;49.97;4.800;191.0;5.880;
1-135;2.233;49.97;4.900;191.0;5.906;
1-136;2.250;49.97;4.800;191.1;5.931;
1-137;2.267;49.97;4.800;191.3;5.956;
1-138;2.283;49.97;4.800;191.3;5.981;
1-139;2.300;49.97;4.700;191.4;6.006;
1-140;2.317;49.97;4.800;191.6;6.031;
1-141;2.333;49.97;4.700;191.6;6.056;
1-142;2.350;49.97;4.700;191.8;6.080;
1-143;2.367;49.97;4.700;191.9;6.105;
1-144;2.383;49.97;4.700;192.0;6.129;
1-145;2.400;49.97;4.700;192.1;6.154;
1-146;2.417;49.97;4.700;192.2;6.179;
1-147;2.433;49.97;4.700;192.2;6.203;
1-148;2.450;49.97;4.600;192.3;6.228;
1-149;2.467;49.97;4.700;192.4;6.252;
1-150;2.483;49.97;4.500;192.5;6.276;
1-151;2.500;49.97;4.600;192.7;6.300;
1-152;2.517;49.97;4.600;192.8;6.324;
1-153;2.533;49.97;4.700;192.8;6.348;
1-154;2.550;49.97;4.600;192.9;6.373;
1-155;2.567;49.97;4.500;193.0;6.396;
1-156;2.583;49.97;4.600;193.0;6.420;
1-157;2.600;49.97;4.500;193.1;6.444;
1-158;2.617;49.97;4.500;193.2;6.468;
1-159;2.633;49.97;4.500;193.3;6.491;
1-160;2.650;49.97;4.500;193.4;6.515;
1-161;2.667;49.97;4.400;193.5;6.538;
1-162;2.683;49.97;4.400;193.5;6.561;
1-163;2.700;49.97;4.400;193.6;6.584;
1-164;2.717;49.97;4.400;193.7;6.607;
1-165;2.733;49.97;4.400;193.8;6.630;
1-166;2.750;49.97;4.400;193.9;6.653;
1-167;2.767;49.97;4.400;194.0;6.676;
1-168;2.783;49.97;4.300;194.0;6.699;
1-169;2.800;49.97;4.400;194.1;6.722;
1-170;2.817;49.97;4.400;194.2;6.745;
1-171;2.833;49.97;4.400;194.3;6.768;
1-172;2.850;49.97;4.300;194.4;6.790;
1-173;2.867;49.97;4.300;194.5;6.813;
1-174;2.883;49.97;4.400;194.6;6.836;
1-175;2.900;49.97;4.300;194.6;6.858;
1-176;2.917;49.97;4.300;194.7;6.881;
1-177;2.933;49.97;4.200;194.8;6.903;
1-178;2.950;49.97;4.300;194.9;6.925;
1-179;2.967;49.97;4.300;195.0;6.948;
1-180;2.983;49.97;4.300;195.0;6.970;
1-181;3.000;49.97;4.200;195.1;6.993;
1-182;3.017;49.97;4.200;195.2;7.015;
1-183;3.033;49.97;4.200;195.2;7.037;
1-184;3.050;49.97;4.200;195.3;7.059;
1-185;3.067;49.97;4.200;195.4;7.081;
1-186;3.083;49.97;4.200;195.5;7.103;
1-187;3.100;49.97;4.200;195.6;7.125;
1-188;3.117;49.97;4.200;195.6;7.147;
1-189;3.133;49.97;4.200;195.7;7.169;
1-190;3.150;49.97;4.200;195.8;7.191;
1-191;3.167;49.97;4.100;195.9;7.212;
1-192;3.183;49.97;4.200;195.9;7.234;
1-193;3.200;49.97;4.100;196.0;7.256;
1-194;3.217;49.97;4.200;196.1;7.277;
1-195;3.233;49.97;4.100;196.2;7.299;
1-196;3.250;49.97;4.100;196.2;7.321;
1-197;3.267;49.97;4.000;196.3;7.342;
1-198;3.283;49.97;4.100;196.3;7.363;
1-199;3.300;49.97;4.100;196.4;7.384;
1-200;3.317;49.97;4.100;196.5;7.406;
1-201;3.333;49.97;4.100;196.5;7.427;
1-202;3.350;49.97;4.000;196.6;7.449;
1-203;3.367;49.97;4.100;196.7;7.470;
1-204;3.383;49.97;4.000;196.8;7.491;
1-205;3.400;49.97;4.000;196.8;7.512;
1-206;3.417;49.97;4.000;196.9;7.533;
1-207;3.433;49.97;4.000;197.0;7.554;
1-208;3.450;49.97;4.000;197.0;7.575;
1-209;3.467;49.97;4.000;197.1;7.596;
1-210;3.483;49.97;4.000;197.1;7.617;
1-211;3.500;49.97;3.900;197.2;7.637;
1-212;3.517;49.97;4.000;197.3;7.658;
1-213;3.533;49.97;3.900;197.3;7.679;
1-214;3.550;49.97;4.000;197.4;7.699;
1-215;3.567;49.97;3.900;197.5;7.720;
1-216;3.583;49.97;3.900;197.5;7.740;
1-217;3.600;49.97;3.900;197.6;7.761;
