D:\Documents and Settings\All Users\Documents\Thermo\PolySoft\Projects\JanLDHTEST Dec2015.pmp\JanDec_0010.pld


 ;t [min];Revolution Speed [1/min];Torque [Nm];TM [°C];E [kJ];
1-1;0.004950;49.97;41.10;174.7;0.01597;
1-2;0.02162;49.97;32.80;169.7;0.209;
1-3;0.03828;49.97;31.00;161.5;0.376;
1-4;0.05495;49.97;27.60;157.9;0.530;
1-5;0.07162;49.97;26.10;152.5;0.670;
1-6;0.08828;49.97;25.00;149.3;0.804;
1-7;0.105;49.97;23.60;148.3;0.931;
1-8;0.122;49.97;22.90;147.6;1.053;
1-9;0.138;49.97;22.40;147.5;1.171;
1-10;0.155;49.97;21.80;147.6;1.287;
1-11;0.172;49.97;21.20;148.3;1.399;
1-12;0.188;49.97;20.00;149.1;1.507;
1-13;0.205;49.97;20.30;149.6;1.613;
1-14;0.222;49.97;19.00;150.4;1.715;
1-15;0.238;49.97;19.00;151.5;1.815;
1-16;0.255;49.97;18.50;152.0;1.913;
1-17;0.272;49.97;18.10;153.0;2.009;
1-18;0.288;49.97;17.50;154.1;2.102;
1-19;0.305;49.97;17.00;154.7;2.192;
1-20;0.322;49.97;16.80;156.1;2.281;
1-21;0.338;49.97;16.30;157.5;2.367;
1-22;0.355;49.97;16.10;158.1;2.452;
1-23;0.372;49.97;15.30;159.4;2.534;
1-24;0.388;49.97;15.20;160.7;2.614;
1-25;0.405;49.97;14.60;161.3;2.692;
1-26;0.422;49.97;14.30;162.4;2.768;
1-27;0.438;49.97;14.00;163.6;2.842;
1-28;0.455;49.97;13.80;164.2;2.914;
1-29;0.472;49.97;13.20;165.3;2.985;
1-30;0.488;49.97;12.60;166.3;3.053;
1-31;0.505;49.97;12.60;166.8;3.119;
1-32;0.522;49.97;11.90;167.8;3.183;
1-33;0.538;49.97;11.80;168.9;3.245;
1-34;0.555;49.97;11.30;169.3;3.305;
1-35;0.572;49.97;11.10;170.2;3.364;
1-36;0.588;49.97;10.60;171.0;3.420;
1-37;0.605;49.97;10.70;171.4;3.476;
1-38;0.622;49.97;10.20;172.2;3.531;
1-39;0.638;49.97;10.20;172.9;3.584;
1-40;0.655;49.97;10.00;173.3;3.637;
1-41;0.672;49.97;9.800;173.9;3.689;
1-42;0.688;49.97;9.500;174.5;3.739;
1-43;0.705;49.97;9.400;174.9;3.789;
1-44;0.722;49.97;9.200;175.4;3.838;
1-45;0.738;49.97;9.100;176.0;3.885;
1-46;0.755;49.97;8.900;176.3;3.933;
1-47;0.772;49.97;8.900;176.8;3.979;
1-48;0.788;49.97;8.600;177.4;4.025;
1-49;0.805;49.97;8.600;177.9;4.070;
1-50;0.822;49.97;8.400;178.1;4.114;
1-51;0.838;49.97;8.400;178.6;4.158;
1-52;0.855;49.97;8.200;179.0;4.202;
1-53;0.872;49.97;8.200;179.3;4.245;
1-54;0.888;49.97;8.000;179.7;4.287;
1-55;0.905;49.97;8.100;180.1;4.329;
1-56;0.922;49.97;7.900;180.3;4.371;
1-57;0.938;49.97;7.900;180.7;4.412;
1-58;0.955;49.97;7.800;181.0;4.454;
1-59;0.972;49.97;7.700;181.2;4.494;
1-60;0.988;49.97;7.700;181.6;4.534;
1-61;1.005;49.97;7.600;181.9;4.574;
1-62;1.022;49.97;7.500;182.0;4.614;
1-63;1.038;49.97;7.500;182.4;4.653;
1-64;1.055;49.97;7.400;182.7;4.692;
1-65;1.072;49.97;7.400;182.9;4.731;
1-66;1.088;49.97;7.200;183.2;4.769;
1-67;1.105;49.97;7.300;183.5;4.807;
1-68;1.122;49.97;7.100;183.6;4.845;
1-69;1.138;49.97;7.200;183.8;4.882;
1-70;1.155;49.97;7.100;184.1;4.920;
1-71;1.172;49.97;7.200;184.3;4.957;
1-72;1.188;49.97;7.000;184.5;4.994;
1-73;1.205;49.97;7.000;184.7;5.031;
1-74;1.222;49.97;6.900;184.9;5.067;
1-75;1.238;49.97;6.900;185.1;5.103;
1-76;1.255;49.97;6.900;185.3;5.139;
1-77;1.272;49.97;6.800;185.4;5.175;
1-78;1.288;49.97;6.800;185.7;5.211;
1-79;1.305;49.97;6.700;185.9;5.246;
1-80;1.322;49.97;6.700;186.0;5.281;
1-81;1.338;49.97;6.600;186.2;5.316;
1-82;1.355;49.97;6.700;186.4;5.351;
1-83;1.372;49.97;6.600;186.5;5.386;
1-84;1.388;49.97;6.500;186.6;5.420;
1-85;1.405;49.97;6.600;186.8;5.454;
1-86;1.422;49.97;6.500;186.9;5.488;
1-87;1.438;49.97;6.500;187.1;5.522;
1-88;1.455;49.97;6.400;187.3;5.556;
1-89;1.472;49.97;6.500;187.4;5.590;
1-90;1.488;49.97;6.400;187.5;5.624;
1-91;1.505;49.97;6.400;187.8;5.657;
1-92;1.522;49.97;6.400;187.9;5.691;
1-93;1.538;49.97;6.300;188.0;5.724;
1-94;1.555;49.97;6.400;188.1;5.757;
1-95;1.572;49.97;6.300;188.2;5.790;
1-96;1.588;49.97;6.300;188.4;5.823;
1-97;1.605;49.97;6.200;188.5;5.856;
1-98;1.622;49.97;6.200;188.6;5.889;
1-99;1.638;49.97;6.200;188.8;5.921;
1-100;1.655;49.97;6.200;188.9;5.953;
1-101;1.672;49.97;6.200;189.0;5.986;
1-102;1.688;49.97;6.200;189.1;6.018;
1-103;1.705;49.97;6.200;189.3;6.051;
1-104;1.722;49.97;6.100;189.3;6.083;
1-105;1.738;49.97;6.100;189.4;6.115;
1-106;1.755;49.97;6.000;189.6;6.147;
1-107;1.772;49.97;6.000;189.6;6.178;
1-108;1.788;49.97;5.900;189.8;6.209;
1-109;1.805;49.97;5.900;189.9;6.240;
1-110;1.822;49.97;5.900;190.0;6.271;
1-111;1.838;49.97;5.900;190.2;6.302;
1-112;1.855;49.97;5.900;190.3;6.333;
1-113;1.872;49.97;5.900;190.3;6.363;
1-114;1.888;49.97;5.900;190.5;6.394;
1-115;1.905;49.97;5.800;190.6;6.425;
1-116;1.922;49.97;5.800;190.6;6.455;
1-117;1.938;49.97;5.800;190.8;6.486;
1-118;1.955;49.97;5.800;190.9;6.516;
1-119;1.972;49.97;5.800;191.0;6.546;
1-120;1.988;49.97;5.800;191.1;6.577;
1-121;2.005;49.97;5.800;191.2;6.607;
1-122;2.022;49.97;5.700;191.3;6.637;
1-123;2.038;49.97;5.700;191.4;6.667;
1-124;2.055;49.97;5.700;191.5;6.697;
1-125;2.072;49.97;5.700;191.6;6.727;
1-126;2.088;49.97;5.600;191.7;6.756;
1-127;2.105;49.97;5.600;191.8;6.785;
1-128;2.122;49.97;5.700;191.9;6.815;
1-129;2.138;49.97;5.500;191.9;6.844;
1-130;2.155;49.97;5.600;192.1;6.873;
1-131;2.172;49.97;5.500;192.1;6.902;
1-132;2.188;49.97;5.500;192.2;6.931;
1-133;2.205;49.97;5.400;192.3;6.960;
1-134;2.222;49.97;5.500;192.4;6.988;
1-135;2.238;49.97;5.500;192.5;7.017;
1-136;2.255;49.97;5.500;192.6;7.046;
1-137;2.272;49.97;5.500;192.7;7.075;
1-138;2.288;49.97;5.500;192.8;7.103;
1-139;2.305;49.97;5.500;192.9;7.132;
1-140;2.322;49.97;5.400;192.9;7.161;
1-141;2.338;49.97;5.400;193.0;7.189;
1-142;2.355;49.97;5.400;193.1;7.217;
1-143;2.372;49.97;5.400;193.2;7.245;
1-144;2.388;49.97;5.400;193.3;7.274;
1-145;2.405;49.97;5.300;193.4;7.302;
1-146;2.422;49.97;5.400;193.4;7.330;
1-147;2.438;49.97;5.200;193.5;7.357;
1-148;2.455;49.97;5.300;193.6;7.385;
1-149;2.472;49.97;5.200;193.7;7.412;
1-150;2.488;49.97;5.300;193.8;7.440;
1-151;2.505;49.97;5.200;193.9;7.467;
1-152;2.522;49.97;5.200;194.0;7.495;
1-153;2.538;49.97;5.100;194.1;7.522;
1-154;2.555;49.97;5.200;194.2;7.549;
1-155;2.572;49.97;5.200;194.2;7.576;
1-156;2.588;49.97;5.100;194.3;7.603;
1-157;2.605;49.97;5.100;194.4;7.629;
1-158;2.622;49.97;5.100;194.5;7.656;
1-159;2.638;49.97;5.100;194.6;7.683;
1-160;2.655;49.97;5.100;194.6;7.709;
1-161;2.672;49.97;5.100;194.7;7.736;
1-162;2.688;49.97;5.100;194.8;7.763;
1-163;2.705;49.97;5.000;194.9;7.789;
1-164;2.722;49.97;5.100;195.0;7.816;
1-165;2.738;49.97;4.900;195.0;7.842;
1-166;2.755;49.97;5.000;195.1;7.868;
1-167;2.772;49.97;5.000;195.2;7.894;
1-168;2.788;49.97;5.100;195.3;7.920;
1-169;2.805;49.97;4.900;195.3;7.946;
1-170;2.822;49.97;5.000;195.4;7.972;
1-171;2.838;49.97;4.900;195.5;7.998;
1-172;2.855;49.97;4.900;195.6;8.024;
1-173;2.872;49.97;4.900;195.6;8.050;
1-174;2.888;49.97;4.900;195.7;8.075;
1-175;2.905;49.97;5.000;195.8;8.101;
1-176;2.922;49.97;4.900;195.8;8.127;
1-177;2.938;49.97;4.800;195.9;8.152;
1-178;2.955;49.97;4.900;196.0;8.178;
1-179;2.972;49.97;4.900;196.0;8.203;
1-180;2.988;49.97;4.900;196.1;8.229;
1-181;3.005;49.97;4.800;196.2;8.254;
1-182;3.022;49.97;4.900;196.2;8.280;
1-183;3.038;49.97;4.700;196.3;8.305;
1-184;3.055;49.97;4.800;196.4;8.330;
1-185;3.072;49.97;4.700;196.4;8.355;
1-186;3.088;49.97;4.800;196.5;8.380;
1-187;3.105;49.97;4.700;196.6;8.404;
1-188;3.122;49.97;4.700;196.6;8.429;
