D:\Documents and Settings\All Users\Documents\Thermo\PolySoft\Projects\JanLDHTEST Dec2015.pmp\JanDec_0015.pld


 ;t [min];Revolution Speed [1/min];Torque [Nm];TM [°C];E [kJ];
1-1;0.01250;49.97;38.40;172.8;0.03768;
1-2;0.02917;49.97;36.80;165.8;0.234;
1-3;0.04583;49.97;33.80;160.0;0.419;
1-4;0.06250;49.97;31.80;157.8;0.591;
1-5;0.07917;49.97;30.50;154.1;0.754;
1-6;0.09583;49.97;28.90;152.2;0.909;
1-7;0.113;49.97;27.40;151.8;1.057;
1-8;0.129;49.97;26.90;151.6;1.199;
1-9;0.146;49.97;25.70;152.0;1.336;
1-10;0.163;49.97;24.40;152.3;1.467;
1-11;0.179;49.97;25.40;153.1;1.598;
1-12;0.196;49.97;23.60;153.8;1.726;
1-13;0.213;49.97;22.40;154.2;1.846;
1-14;0.229;49.97;22.20;155.0;1.963;
1-15;0.246;49.97;21.90;155.8;2.078;
1-16;0.263;49.97;20.80;156.3;2.190;
1-17;0.279;49.97;20.50;157.2;2.298;
1-18;0.296;49.97;20.50;158.3;2.405;
1-19;0.313;49.97;19.50;158.8;2.510;
1-20;0.329;49.97;18.70;159.8;2.610;
1-21;0.346;49.97;18.50;160.9;2.707;
1-22;0.363;49.97;17.80;161.4;2.802;
1-23;0.379;49.97;17.50;162.4;2.895;
1-24;0.396;49.97;16.80;162.4;2.985;
1-25;0.413;49.97;16.30;164.0;3.071;
1-26;0.429;49.97;15.70;165.0;3.155;
1-27;0.446;49.97;15.50;166.0;3.237;
1-28;0.463;49.97;14.70;166.0;3.316;
1-29;0.479;49.97;14.50;166.5;3.392;
1-30;0.496;49.97;14.00;167.4;3.467;
1-31;0.513;49.97;13.30;168.3;3.538;
1-32;0.529;49.97;13.00;168.8;3.607;
1-33;0.546;49.97;12.40;169.7;3.673;
1-34;0.563;49.97;12.10;170.5;3.737;
1-35;0.579;49.97;11.80;170.9;3.800;
1-36;0.596;49.97;11.50;171.7;3.861;
1-37;0.613;49.97;11.10;172.5;3.920;
1-38;0.629;49.97;10.90;172.9;3.978;
1-39;0.646;49.97;10.70;173.6;4.034;
1-40;0.663;49.97;10.30;174.3;4.089;
1-41;0.679;49.97;10.30;174.6;4.143;
1-42;0.696;49.97;10.10;175.3;4.196;
1-43;0.713;49.97;9.900;175.9;4.249;
1-44;0.729;49.97;9.600;176.2;4.300;
1-45;0.746;49.97;9.500;176.8;4.350;
1-46;0.763;49.97;9.300;177.3;4.399;
1-47;0.779;49.97;9.200;177.6;4.447;
1-48;0.796;49.97;9.100;178.1;4.495;
1-49;0.813;49.97;8.900;178.6;4.542;
1-50;0.829;49.97;8.700;178.9;4.588;
1-51;0.846;49.97;8.700;179.3;4.634;
1-52;0.863;49.97;8.500;179.8;4.679;
1-53;0.879;49.97;8.500;180.0;4.723;
1-54;0.896;49.97;8.400;180.4;4.768;
1-55;0.913;49.97;8.300;180.8;4.811;
1-56;0.929;49.97;8.100;181.0;4.854;
1-57;0.946;49.97;8.200;181.5;4.897;
1-58;0.963;49.97;7.900;181.8;4.939;
1-59;0.979;49.97;8.000;182.1;4.981;
1-60;0.996;49.97;7.900;182.4;5.022;
1-61;1.013;49.97;7.800;182.7;5.063;
1-62;1.029;49.97;7.700;182.9;5.104;
1-63;1.046;49.97;7.700;183.2;5.144;
1-64;1.063;49.97;7.600;183.6;5.184;
1-65;1.079;49.97;7.600;183.7;5.224;
1-66;1.096;49.97;7.500;184.0;5.263;
1-67;1.113;49.97;7.400;184.3;5.302;
1-68;1.129;49.97;7.400;184.5;5.341;
1-69;1.146;49.97;7.400;184.7;5.380;
1-70;1.163;49.97;7.300;185.0;5.418;
1-71;1.179;49.97;7.300;185.1;5.456;
1-72;1.196;49.97;7.300;185.4;5.495;
1-73;1.213;49.97;7.200;185.6;5.533;
1-74;1.229;49.97;7.100;185.7;5.570;
1-75;1.246;49.97;7.200;185.9;5.607;
1-76;1.263;49.97;7.100;186.1;5.645;
1-77;1.279;49.97;7.100;186.3;5.682;
1-78;1.296;49.97;7.000;186.5;5.719;
1-79;1.313;49.97;7.100;186.7;5.756;
1-80;1.329;49.97;6.900;186.8;5.792;
1-81;1.346;49.97;7.000;187.0;5.829;
1-82;1.363;49.97;6.800;187.2;5.865;
1-83;1.379;49.97;6.900;187.3;5.901;
1-84;1.396;49.97;6.900;187.5;5.937;
1-85;1.413;49.97;6.800;187.7;5.973;
1-86;1.429;49.97;6.800;187.7;6.008;
1-87;1.446;49.97;6.800;187.9;6.044;
1-88;1.463;49.97;6.700;188.1;6.079;
1-89;1.479;49.97;6.700;188.2;6.114;
1-90;1.496;49.97;6.700;188.3;6.149;
1-91;1.513;49.97;6.700;188.5;6.184;
1-92;1.529;49.97;6.600;188.6;6.219;
1-93;1.546;49.97;6.600;188.8;6.254;
1-94;1.563;49.97;6.500;188.9;6.288;
1-95;1.579;49.97;6.600;189.0;6.322;
1-96;1.596;49.97;6.500;189.2;6.357;
1-97;1.613;49.97;6.600;189.3;6.391;
1-98;1.629;49.97;6.400;189.4;6.425;
1-99;1.646;49.97;6.500;189.5;6.459;
1-100;1.663;49.97;6.400;189.6;6.492;
1-101;1.679;49.97;6.400;189.7;6.526;
1-102;1.696;49.97;6.400;189.9;6.559;
1-103;1.713;49.97;6.400;190.0;6.593;
1-104;1.729;49.97;6.300;190.0;6.626;
1-105;1.746;49.97;6.300;190.2;6.659;
1-106;1.763;49.97;6.300;190.3;6.692;
1-107;1.779;49.97;6.200;190.4;6.725;
1-108;1.796;49.97;6.300;190.5;6.757;
1-109;1.813;49.97;6.300;190.6;6.790;
1-110;1.829;49.97;6.200;190.7;6.823;
1-111;1.846;49.97;6.200;190.8;6.856;
1-112;1.863;49.97;6.100;191.0;6.888;
1-113;1.879;49.97;6.200;191.0;6.920;
1-114;1.896;49.97;6.100;191.2;6.952;
1-115;1.913;49.97;6.200;191.3;6.984;
1-116;1.929;49.97;6.000;191.4;7.016;
1-117;1.946;49.97;6.100;191.5;7.048;
1-118;1.963;49.97;6.000;191.6;7.080;
1-119;1.979;49.97;6.000;191.7;7.111;
1-120;1.996;49.97;6.000;191.8;7.142;
1-121;2.013;49.97;6.000;191.9;7.174;
1-122;2.029;49.97;5.900;192.0;7.205;
1-123;2.046;49.97;6.000;192.1;7.236;
1-124;2.063;49.97;5.900;192.2;7.267;
1-125;2.079;49.97;5.900;192.2;7.298;
1-126;2.096;49.97;5.900;192.4;7.329;
1-127;2.113;49.97;5.900;192.4;7.360;
1-128;2.129;49.97;5.800;192.5;7.390;
1-129;2.146;49.97;5.900;192.6;7.421;
1-130;2.163;49.97;5.800;192.7;7.452;
1-131;2.179;49.97;5.800;192.8;7.482;
1-132;2.196;49.97;5.800;192.8;7.512;
1-133;2.213;49.97;5.800;193.0;7.543;
1-134;2.229;49.97;5.700;193.0;7.573;
1-135;2.246;49.97;5.800;193.1;7.603;
1-136;2.263;49.97;5.700;193.2;7.633;
1-137;2.279;49.97;5.700;193.3;7.663;
1-138;2.296;49.97;5.700;193.4;7.693;
1-139;2.313;49.97;5.700;193.5;7.723;
1-140;2.329;49.97;5.700;193.5;7.752;
1-141;2.346;49.97;5.700;193.6;7.782;
1-142;2.363;49.97;5.700;193.7;7.812;
1-143;2.379;49.97;5.600;193.7;7.842;
1-144;2.396;49.97;5.700;193.8;7.871;
1-145;2.413;49.97;5.600;193.9;7.901;
1-146;2.429;49.97;5.600;194.0;7.930;
1-147;2.446;49.97;5.600;194.1;7.959;
1-148;2.463;49.97;5.500;194.2;7.988;
1-149;2.479;49.97;5.500;194.2;8.017;
1-150;2.496;49.97;5.500;194.3;8.046;
1-151;2.513;49.97;5.500;194.4;8.075;
1-152;2.529;49.97;5.500;194.5;8.103;
1-153;2.546;49.97;5.500;194.6;8.132;
1-154;2.563;49.97;5.500;194.6;8.161;
1-155;2.579;49.97;5.400;194.7;8.190;
1-156;2.596;49.97;5.500;194.8;8.218;
1-157;2.613;49.97;5.400;194.9;8.247;
1-158;2.629;49.97;5.500;194.9;8.275;
1-159;2.646;49.97;5.400;195.0;8.304;
1-160;2.663;49.97;5.400;195.1;8.332;
1-161;2.679;49.97;5.400;195.2;8.360;
1-162;2.696;49.97;5.400;195.3;8.388;
1-163;2.713;49.97;5.400;195.4;8.417;
1-164;2.729;49.97;5.300;195.4;8.445;
1-165;2.746;49.97;5.300;195.5;8.472;
1-166;2.763;49.97;5.300;195.6;8.500;
1-167;2.779;49.97;5.300;195.6;8.528;
1-168;2.796;49.97;5.300;195.7;8.556;
1-169;2.813;49.97;5.300;195.8;8.583;
1-170;2.829;49.97;5.300;195.8;8.611;
1-171;2.846;49.97;5.200;195.9;8.639;
1-172;2.863;49.97;5.300;196.0;8.666;
1-173;2.879;49.97;5.200;196.1;8.694;
1-174;2.896;49.97;5.200;196.2;8.721;
1-175;2.913;49.97;5.100;196.2;8.748;
1-176;2.929;49.97;5.200;196.3;8.775;
1-177;2.946;49.97;5.100;196.4;8.802;
1-178;2.963;49.97;5.200;196.4;8.829;
1-179;2.979;49.97;5.100;196.5;8.856;
1-180;2.996;49.97;5.200;196.6;8.882;
1-181;3.013;49.97;5.100;196.6;8.909;
1-182;3.029;49.97;5.100;196.7;8.936;
1-183;3.046;49.97;5.100;196.8;8.963;
1-184;3.063;49.97;5.100;196.9;8.989;
1-185;3.079;49.97;5.100;196.9;9.016;
1-186;3.096;49.97;5.100;197.0;9.043;
1-187;3.113;49.97;5.100;197.1;9.070;
1-188;3.129;49.97;5.100;197.1;9.096;
1-189;3.146;49.97;5.000;197.2;9.123;
1-190;3.163;49.97;5.100;197.3;9.149;
